"level0","level1","level2","level3","Ethnic group (grouped total responses)(1)","count"
"Female","75–79 Years","Christchurch Central","South Island general electorates","Māori",24
"Male","80–84 Years","Christchurch Central","South Island general electorates","Māori",3
"Female","80–84 Years","Christchurch Central","South Island general electorates","Māori",12
"Male","85 Years And Over","Christchurch Central","South Island general electorates","Māori",6
"Female","85 Years And Over","Christchurch Central","South Island general electorates","Māori",9
"Male","18 Years And Over","Christchurch Central","South Island general electorates","Māori",1878
"Female","18 Years And Over","Christchurch Central","South Island general electorates","Māori",1809
"Male","0–4 Years","Christchurch East","South Island general electorates","Māori",492
"Female","0–4 Years","Christchurch East","South Island general electorates","Māori",465
"Male","5–9 Years","Christchurch East","South Island general electorates","Māori",426
"Female","5–9 Years","Christchurch East","South Island general electorates","Māori",411
"Male","10–14 Years","Christchurch East","South Island general electorates","Māori",387
"Female","10–14 Years","Christchurch East","South Island general electorates","Māori",381
"Male","15–19 Years","Christchurch East","South Island general electorates","Māori",405
"Female","15–19 Years","Christchurch East","South Island general electorates","Māori",336
"Male","20–24 Years","Christchurch East","South Island general electorates","Māori",279
"Female","20–24 Years","Christchurch East","South Island general electorates","Māori",321
"Male","25–29 Years","Christchurch East","South Island general electorates","Māori",222
"Female","25–29 Years","Christchurch East","South Island general electorates","Māori",252
"Male","30–34 Years","Christchurch East","South Island general electorates","Māori",219
"Female","30–34 Years","Christchurch East","South Island general electorates","Māori",258
"Male","35–39 Years","Christchurch East","South Island general electorates","Māori",222
"Female","35–39 Years","Christchurch East","South Island general electorates","Māori",237
"Male","40–44 Years","Christchurch East","South Island general electorates","Māori",246
"Female","40–44 Years","Christchurch East","South Island general electorates","Māori",207
"Male","45–49 Years","Christchurch East","South Island general electorates","Māori",222
"Female","45–49 Years","Christchurch East","South Island general electorates","Māori",201
"Male","50–54 Years","Christchurch East","South Island general electorates","Māori",177
"Female","50–54 Years","Christchurch East","South Island general electorates","Māori",168
"Male","55–59 Years","Christchurch East","South Island general electorates","Māori",153
"Female","55–59 Years","Christchurch East","South Island general electorates","Māori",126
"Male","60–64 Years","Christchurch East","South Island general electorates","Māori",126
"Female","60–64 Years","Christchurch East","South Island general electorates","Māori",87
"Male","65–69 Years","Christchurch East","South Island general electorates","Māori",63
"Female","65–69 Years","Christchurch East","South Island general electorates","Māori",51
"Male","70–74 Years","Christchurch East","South Island general electorates","Māori",54
"Female","70–74 Years","Christchurch East","South Island general electorates","Māori",36
"Male","75–79 Years","Christchurch East","South Island general electorates","Māori",12
"Female","75–79 Years","Christchurch East","South Island general electorates","Māori",18
"Male","80–84 Years","Christchurch East","South Island general electorates","Māori",12
"Female","80–84 Years","Christchurch East","South Island general electorates","Māori",12
"Male","85 Years And Over","Christchurch East","South Island general electorates","Māori",6
"Female","85 Years And Over","Christchurch East","South Island general electorates","Māori",3
"Male","18 Years And Over","Christchurch East","South Island general electorates","Māori",2169
"Female","18 Years And Over","Christchurch East","South Island general electorates","Māori",2097
"Male","0–4 Years","Clutha-Southland","South Island general electorates","Māori",339
"Female","0–4 Years","Clutha-Southland","South Island general electorates","Māori",330
"Male","5–9 Years","Clutha-Southland","South Island general electorates","Māori",327
"Female","5–9 Years","Clutha-Southland","South Island general electorates","Māori",285
"Male","10–14 Years","Clutha-Southland","South Island general electorates","Māori",324
"Female","10–14 Years","Clutha-Southland","South Island general electorates","Māori",264
"Male","15–19 Years","Clutha-Southland","South Island general electorates","Māori",297
"Female","15–19 Years","Clutha-Southland","South Island general electorates","Māori",213
"Male","20–24 Years","Clutha-Southland","South Island general electorates","Māori",219
"Female","20–24 Years","Clutha-Southland","South Island general electorates","Māori",183
"Male","25–29 Years","Clutha-Southland","South Island general electorates","Māori",174
"Female","25–29 Years","Clutha-Southland","South Island general electorates","Māori",174
"Male","30–34 Years","Clutha-Southland","South Island general electorates","Māori",156
"Female","30–34 Years","Clutha-Southland","South Island general electorates","Māori",186
"Male","35–39 Years","Clutha-Southland","South Island general electorates","Māori",147
"Female","35–39 Years","Clutha-Southland","South Island general electorates","Māori",153
"Male","40–44 Years","Clutha-Southland","South Island general electorates","Māori",156
"Female","40–44 Years","Clutha-Southland","South Island general electorates","Māori",180
"Male","45–49 Years","Clutha-Southland","South Island general electorates","Māori",156
"Female","45–49 Years","Clutha-Southland","South Island general electorates","Māori",174
"Male","50–54 Years","Clutha-Southland","South Island general electorates","Māori",132
"Female","50–54 Years","Clutha-Southland","South Island general electorates","Māori",156
"Male","55–59 Years","Clutha-Southland","South Island general electorates","Māori",105
"Female","55–59 Years","Clutha-Southland","South Island general electorates","Māori",96
"Male","60–64 Years","Clutha-Southland","South Island general electorates","Māori",93
"Female","60–64 Years","Clutha-Southland","South Island general electorates","Māori",75
"Male","65–69 Years","Clutha-Southland","South Island general electorates","Māori",51
"Female","65–69 Years","Clutha-Southland","South Island general electorates","Māori",48
"Male","70–74 Years","Clutha-Southland","South Island general electorates","Māori",54
"Female","70–74 Years","Clutha-Southland","South Island general electorates","Māori",30
"Male","75–79 Years","Clutha-Southland","South Island general electorates","Māori",21
"Female","75–79 Years","Clutha-Southland","South Island general electorates","Māori",21
"Male","80–84 Years","Clutha-Southland","South Island general electorates","Māori",12
"Female","80–84 Years","Clutha-Southland","South Island general electorates","Māori",12
"Male","85 Years And Over","Clutha-Southland","South Island general electorates","Māori",9
"Female","85 Years And Over","Clutha-Southland","South Island general electorates","Māori",6
"Male","18 Years And Over","Clutha-Southland","South Island general electorates","Māori",1602
"Female","18 Years And Over","Clutha-Southland","South Island general electorates","Māori",1557
"Male","0–4 Years","Dunedin North","South Island general electorates","Māori",210
"Female","0–4 Years","Dunedin North","South Island general electorates","Māori",189
"Male","5–9 Years","Dunedin North","South Island general electorates","Māori",207
"Female","5–9 Years","Dunedin North","South Island general electorates","Māori",192
"Male","10–14 Years","Dunedin North","South Island general electorates","Māori",204
"Female","10–14 Years","Dunedin North","South Island general electorates","Māori",189
"Male","15–19 Years","Dunedin North","South Island general electorates","Māori",357
"Female","15–19 Years","Dunedin North","South Island general electorates","Māori",471
"Male","20–24 Years","Dunedin North","South Island general electorates","Māori",405
"Female","20–24 Years","Dunedin North","South Island general electorates","Māori",429
"Male","25–29 Years","Dunedin North","South Island general electorates","Māori",126
"Female","25–29 Years","Dunedin North","South Island general electorates","Māori",132
"Male","30–34 Years","Dunedin North","South Island general electorates","Māori",108
"Female","30–34 Years","Dunedin North","South Island general electorates","Māori",108
"Male","35–39 Years","Dunedin North","South Island general electorates","Māori",102
"Female","35–39 Years","Dunedin North","South Island general electorates","Māori",108
"Male","40–44 Years","Dunedin North","South Island general electorates","Māori",108
"Female","40–44 Years","Dunedin North","South Island general electorates","Māori",156
"Male","45–49 Years","Dunedin North","South Island general electorates","Māori",84
"Female","45–49 Years","Dunedin North","South Island general electorates","Māori",96
"Male","50–54 Years","Dunedin North","South Island general electorates","Māori",75
"Female","50–54 Years","Dunedin North","South Island general electorates","Māori",90
"Male","55–59 Years","Dunedin North","South Island general electorates","Māori",66
"Female","55–59 Years","Dunedin North","South Island general electorates","Māori",66
"Male","60–64 Years","Dunedin North","South Island general electorates","Māori",57
"Female","60–64 Years","Dunedin North","South Island general electorates","Māori",39
"Male","65–69 Years","Dunedin North","South Island general electorates","Māori",36
"Female","65–69 Years","Dunedin North","South Island general electorates","Māori",21
"Male","70–74 Years","Dunedin North","South Island general electorates","Māori",21
"Female","70–74 Years","Dunedin North","South Island general electorates","Māori",21
"Male","75–79 Years","Dunedin North","South Island general electorates","Māori",15
"Female","75–79 Years","Dunedin North","South Island general electorates","Māori",18
"Male","80–84 Years","Dunedin North","South Island general electorates","Māori",6
"Female","80–84 Years","Dunedin North","South Island general electorates","Māori",6
"Male","85 Years And Over","Dunedin North","South Island general electorates","Māori",3
"Female","85 Years And Over","Dunedin North","South Island general electorates","Māori",6
"Male","18 Years And Over","Dunedin North","South Island general electorates","Māori",1443
"Female","18 Years And Over","Dunedin North","South Island general electorates","Māori",1617
"Male","0–4 Years","Dunedin South","South Island general electorates","Māori",312
"Female","0–4 Years","Dunedin South","South Island general electorates","Māori",297
"Male","5–9 Years","Dunedin South","South Island general electorates","Māori",342
"Female","5–9 Years","Dunedin South","South Island general electorates","Māori",267
"Male","10–14 Years","Dunedin South","South Island general electorates","Māori",249
"Female","10–14 Years","Dunedin South","South Island general electorates","Māori",216
"Male","15–19 Years","Dunedin South","South Island general electorates","Māori",198
"Female","15–19 Years","Dunedin South","South Island general electorates","Māori",234
"Male","20–24 Years","Dunedin South","South Island general electorates","Māori",150
"Female","20–24 Years","Dunedin South","South Island general electorates","Māori",168
"Male","25–29 Years","Dunedin South","South Island general electorates","Māori",129
"Female","25–29 Years","Dunedin South","South Island general electorates","Māori",147
"Male","30–34 Years","Dunedin South","South Island general electorates","Māori",132
"Female","30–34 Years","Dunedin South","South Island general electorates","Māori",156
"Male","35–39 Years","Dunedin South","South Island general electorates","Māori",123
"Female","35–39 Years","Dunedin South","South Island general electorates","Māori",144
"Male","40–44 Years","Dunedin South","South Island general electorates","Māori",120
"Female","40–44 Years","Dunedin South","South Island general electorates","Māori",174
"Male","45–49 Years","Dunedin South","South Island general electorates","Māori",138
"Female","45–49 Years","Dunedin South","South Island general electorates","Māori",129
"Male","50–54 Years","Dunedin South","South Island general electorates","Māori",102
"Female","50–54 Years","Dunedin South","South Island general electorates","Māori",111
"Male","55–59 Years","Dunedin South","South Island general electorates","Māori",87
"Female","55–59 Years","Dunedin South","South Island general electorates","Māori",84
"Male","60–64 Years","Dunedin South","South Island general electorates","Māori",57
"Female","60–64 Years","Dunedin South","South Island general electorates","Māori",63
"Male","65–69 Years","Dunedin South","South Island general electorates","Māori",51
"Female","65–69 Years","Dunedin South","South Island general electorates","Māori",24
"Male","70–74 Years","Dunedin South","South Island general electorates","Māori",36
"Female","70–74 Years","Dunedin South","South Island general electorates","Māori",27
"Male","75–79 Years","Dunedin South","South Island general electorates","Māori",21
"Female","75–79 Years","Dunedin South","South Island general electorates","Māori",18
"Male","80–84 Years","Dunedin South","South Island general electorates","Māori",9
"Female","80–84 Years","Dunedin South","South Island general electorates","Māori",6
"Male","85 Years And Over","Dunedin South","South Island general electorates","Māori",3
"Female","85 Years And Over","Dunedin South","South Island general electorates","Māori",9
"Male","18 Years And Over","Dunedin South","South Island general electorates","Māori",1233
"Female","18 Years And Over","Dunedin South","South Island general electorates","Māori",1344
"Male","0–4 Years","Ilam","South Island general electorates","Māori",192
"Female","0–4 Years","Ilam","South Island general electorates","Māori",168
"Male","5–9 Years","Ilam","South Island general electorates","Māori",144
"Female","5–9 Years","Ilam","South Island general electorates","Māori",177
"Male","10–14 Years","Ilam","South Island general electorates","Māori",159
"Female","10–14 Years","Ilam","South Island general electorates","Māori",144
"Male","15–19 Years","Ilam","South Island general electorates","Māori",225
"Female","15–19 Years","Ilam","South Island general electorates","Māori",213
"Male","20–24 Years","Ilam","South Island general electorates","Māori",210
"Female","20–24 Years","Ilam","South Island general electorates","Māori",195
"Male","25–29 Years","Ilam","South Island general electorates","Māori",126
"Female","25–29 Years","Ilam","South Island general electorates","Māori",87
"Male","30–34 Years","Ilam","South Island general electorates","Māori",99
"Female","30–34 Years","Ilam","South Island general electorates","Māori",93
"Male","35–39 Years","Ilam","South Island general electorates","Māori",84
"Female","35–39 Years","Ilam","South Island general electorates","Māori",75
"Male","40–44 Years","Ilam","South Island general electorates","Māori",81
"Female","40–44 Years","Ilam","South Island general electorates","Māori",96
"Male","45–49 Years","Ilam","South Island general electorates","Māori",84
"Female","45–49 Years","Ilam","South Island general electorates","Māori",93
"Male","50–54 Years","Ilam","South Island general electorates","Māori",90
"Female","50–54 Years","Ilam","South Island general electorates","Māori",69
"Male","55–59 Years","Ilam","South Island general electorates","Māori",57
"Female","55–59 Years","Ilam","South Island general electorates","Māori",63
"Male","60–64 Years","Ilam","South Island general electorates","Māori",39
"Female","60–64 Years","Ilam","South Island general electorates","Māori",42
"Male","65–69 Years","Ilam","South Island general electorates","Māori",24
"Female","65–69 Years","Ilam","South Island general electorates","Māori",30
"Male","70–74 Years","Ilam","South Island general electorates","Māori",24
"Female","70–74 Years","Ilam","South Island general electorates","Māori",12
"Male","75–79 Years","Ilam","South Island general electorates","Māori",15
"Female","75–79 Years","Ilam","South Island general electorates","Māori",12
"Male","80–84 Years","Ilam","South Island general electorates","Māori",6
"Female","80–84 Years","Ilam","South Island general electorates","Māori",9
"Male","85 Years And Over","Ilam","South Island general electorates","Māori",0
"Female","85 Years And Over","Ilam","South Island general electorates","Māori",9
"Male","18 Years And Over","Ilam","South Island general electorates","Māori",1041
"Female","18 Years And Over","Ilam","South Island general electorates","Māori",978
"Male","0–4 Years","Invercargill","South Island general electorates","Māori",576
"Female","0–4 Years","Invercargill","South Island general electorates","Māori",498
"Male","5–9 Years","Invercargill","South Island general electorates","Māori",525
"Female","5–9 Years","Invercargill","South Island general electorates","Māori",513
"Male","10–14 Years","Invercargill","South Island general electorates","Māori",489
"Female","10–14 Years","Invercargill","South Island general electorates","Māori",492
"Male","15–19 Years","Invercargill","South Island general electorates","Māori",432
"Female","15–19 Years","Invercargill","South Island general electorates","Māori",390
"Male","20–24 Years","Invercargill","South Island general electorates","Māori",309
"Female","20–24 Years","Invercargill","South Island general electorates","Māori",330
"Male","25–29 Years","Invercargill","South Island general electorates","Māori",261
"Female","25–29 Years","Invercargill","South Island general electorates","Māori",318
"Male","30–34 Years","Invercargill","South Island general electorates","Māori",219
"Female","30–34 Years","Invercargill","South Island general electorates","Māori",291
"Male","35–39 Years","Invercargill","South Island general electorates","Māori",258
"Female","35–39 Years","Invercargill","South Island general electorates","Māori",291
"Male","40–44 Years","Invercargill","South Island general electorates","Māori",246
"Female","40–44 Years","Invercargill","South Island general electorates","Māori",255
"Male","45–49 Years","Invercargill","South Island general electorates","Māori",222
"Female","45–49 Years","Invercargill","South Island general electorates","Māori",276
"Male","50–54 Years","Invercargill","South Island general electorates","Māori",201
"Female","50–54 Years","Invercargill","South Island general electorates","Māori",228
"Male","55–59 Years","Invercargill","South Island general electorates","Māori",189
"Female","55–59 Years","Invercargill","South Island general electorates","Māori",186
"Male","60–64 Years","Invercargill","South Island general electorates","Māori",147
"Female","60–64 Years","Invercargill","South Island general electorates","Māori",117
"Male","65–69 Years","Invercargill","South Island general electorates","Māori",102
"Female","65–69 Years","Invercargill","South Island general electorates","Māori",105
"Male","70–74 Years","Invercargill","South Island general electorates","Māori",105
"Female","70–74 Years","Invercargill","South Island general electorates","Māori",72
"Male","75–79 Years","Invercargill","South Island general electorates","Māori",45
"Female","75–79 Years","Invercargill","South Island general electorates","Māori",48
"Male","80–84 Years","Invercargill","South Island general electorates","Māori",27
"Female","80–84 Years","Invercargill","South Island general electorates","Māori",30
"Male","85 Years And Over","Invercargill","South Island general electorates","Māori",9
"Female","85 Years And Over","Invercargill","South Island general electorates","Māori",15
"Male","18 Years And Over","Invercargill","South Island general electorates","Māori",2505
"Female","18 Years And Over","Invercargill","South Island general electorates","Māori",2703
"Male","0–4 Years","Kaikoura","South Island general electorates","Māori",399
"Female","0–4 Years","Kaikoura","South Island general electorates","Māori",393
"Male","5–9 Years","Kaikoura","South Island general electorates","Māori",351
"Female","5–9 Years","Kaikoura","South Island general electorates","Māori",342
"Male","10–14 Years","Kaikoura","South Island general electorates","Māori",348
"Female","10–14 Years","Kaikoura","South Island general electorates","Māori",318
"Male","15–19 Years","Kaikoura","South Island general electorates","Māori",303
"Female","15–19 Years","Kaikoura","South Island general electorates","Māori",306
"Male","20–24 Years","Kaikoura","South Island general electorates","Māori",213
"Female","20–24 Years","Kaikoura","South Island general electorates","Māori",234
"Male","25–29 Years","Kaikoura","South Island general electorates","Māori",153
"Female","25–29 Years","Kaikoura","South Island general electorates","Māori",198
"Male","30–34 Years","Kaikoura","South Island general electorates","Māori",147
"Female","30–34 Years","Kaikoura","South Island general electorates","Māori",201
"Male","35–39 Years","Kaikoura","South Island general electorates","Māori",183
"Female","35–39 Years","Kaikoura","South Island general electorates","Māori",186
"Male","40–44 Years","Kaikoura","South Island general electorates","Māori",195
"Female","40–44 Years","Kaikoura","South Island general electorates","Māori",210
"Male","45–49 Years","Kaikoura","South Island general electorates","Māori",189
"Female","45–49 Years","Kaikoura","South Island general electorates","Māori",207
"Male","50–54 Years","Kaikoura","South Island general electorates","Māori",162
"Female","50–54 Years","Kaikoura","South Island general electorates","Māori",231
"Male","55–59 Years","Kaikoura","South Island general electorates","Māori",141
"Female","55–59 Years","Kaikoura","South Island general electorates","Māori",144
"Male","60–64 Years","Kaikoura","South Island general electorates","Māori",120
"Female","60–64 Years","Kaikoura","South Island general electorates","Māori",120
"Male","65–69 Years","Kaikoura","South Island general electorates","Māori",87
"Female","65–69 Years","Kaikoura","South Island general electorates","Māori",90
"Male","70–74 Years","Kaikoura","South Island general electorates","Māori",69
"Female","70–74 Years","Kaikoura","South Island general electorates","Māori",54
"Male","75–79 Years","Kaikoura","South Island general electorates","Māori",30
"Female","75–79 Years","Kaikoura","South Island general electorates","Māori",30
"Male","80–84 Years","Kaikoura","South Island general electorates","Māori",15
"Female","80–84 Years","Kaikoura","South Island general electorates","Māori",24
"Male","85 Years And Over","Kaikoura","South Island general electorates","Māori",9
"Female","85 Years And Over","Kaikoura","South Island general electorates","Māori",15
"Male","18 Years And Over","Kaikoura","South Island general electorates","Māori",1809
"Female","18 Years And Over","Kaikoura","South Island general electorates","Māori",2037
"Male","0–4 Years","Nelson","South Island general electorates","Māori",312
"Female","0–4 Years","Nelson","South Island general electorates","Māori",300
"Male","5–9 Years","Nelson","South Island general electorates","Māori",324
"Female","5–9 Years","Nelson","South Island general electorates","Māori",303
"Male","10–14 Years","Nelson","South Island general electorates","Māori",306
"Female","10–14 Years","Nelson","South Island general electorates","Māori",303
"Male","15–19 Years","Nelson","South Island general electorates","Māori",303
"Female","15–19 Years","Nelson","South Island general electorates","Māori",243
"Male","20–24 Years","Nelson","South Island general electorates","Māori",210
"Female","20–24 Years","Nelson","South Island general electorates","Māori",192
"Male","25–29 Years","Nelson","South Island general electorates","Māori",126
"Female","25–29 Years","Nelson","South Island general electorates","Māori",165
"Male","30–34 Years","Nelson","South Island general electorates","Māori",132
"Female","30–34 Years","Nelson","South Island general electorates","Māori",147
"Male","35–39 Years","Nelson","South Island general electorates","Māori",150
"Female","35–39 Years","Nelson","South Island general electorates","Māori",180
"Male","40–44 Years","Nelson","South Island general electorates","Māori",168
"Female","40–44 Years","Nelson","South Island general electorates","Māori",210
"Male","45–49 Years","Nelson","South Island general electorates","Māori",165
"Female","45–49 Years","Nelson","South Island general electorates","Māori",174
"Male","50–54 Years","Nelson","South Island general electorates","Māori",129
"Female","50–54 Years","Nelson","South Island general electorates","Māori",141
"Male","55–59 Years","Nelson","South Island general electorates","Māori",93
"Female","55–59 Years","Nelson","South Island general electorates","Māori",93
"Male","60–64 Years","Nelson","South Island general electorates","Māori",48
"Female","60–64 Years","Nelson","South Island general electorates","Māori",81
"Male","65–69 Years","Nelson","South Island general electorates","Māori",33
"Female","65–69 Years","Nelson","South Island general electorates","Māori",45
"Male","70–74 Years","Nelson","South Island general electorates","Māori",24
"Female","70–74 Years","Nelson","South Island general electorates","Māori",39
"Male","75–79 Years","Nelson","South Island general electorates","Māori",15
"Female","75–79 Years","Nelson","South Island general electorates","Māori",24
"Male","80–84 Years","Nelson","South Island general electorates","Māori",6
"Female","80–84 Years","Nelson","South Island general electorates","Māori",15
"Male","85 Years And Over","Nelson","South Island general electorates","Māori",3
"Female","85 Years And Over","Nelson","South Island general electorates","Māori",9
"Male","18 Years And Over","Nelson","South Island general electorates","Māori",1416
"Female","18 Years And Over","Nelson","South Island general electorates","Māori",1596
"Male","0–4 Years","Port Hills","South Island general electorates","Māori",258
"Female","0–4 Years","Port Hills","South Island general electorates","Māori",270
"Male","5–9 Years","Port Hills","South Island general electorates","Māori",231
"Female","5–9 Years","Port Hills","South Island general electorates","Māori",246
"Male","10–14 Years","Port Hills","South Island general electorates","Māori",252
"Female","10–14 Years","Port Hills","South Island general electorates","Māori",207
"Male","15–19 Years","Port Hills","South Island general electorates","Māori",234
"Female","15–19 Years","Port Hills","South Island general electorates","Māori",189
"Male","20–24 Years","Port Hills","South Island general electorates","Māori",159
"Female","20–24 Years","Port Hills","South Island general electorates","Māori",183
"Male","25–29 Years","Port Hills","South Island general electorates","Māori",138
"Female","25–29 Years","Port Hills","South Island general electorates","Māori",126
"Male","30–34 Years","Port Hills","South Island general electorates","Māori",105
"Female","30–34 Years","Port Hills","South Island general electorates","Māori",129
"Male","35–39 Years","Port Hills","South Island general electorates","Māori",138
"Female","35–39 Years","Port Hills","South Island general electorates","Māori",147
"Male","40–44 Years","Port Hills","South Island general electorates","Māori",135
"Female","40–44 Years","Port Hills","South Island general electorates","Māori",144
"Male","45–49 Years","Port Hills","South Island general electorates","Māori",117
"Female","45–49 Years","Port Hills","South Island general electorates","Māori",141
"Male","50–54 Years","Port Hills","South Island general electorates","Māori",123
"Female","50–54 Years","Port Hills","South Island general electorates","Māori",120
"Male","55–59 Years","Port Hills","South Island general electorates","Māori",96
"Female","55–59 Years","Port Hills","South Island general electorates","Māori",90
"Male","60–64 Years","Port Hills","South Island general electorates","Māori",72
"Female","60–64 Years","Port Hills","South Island general electorates","Māori",72
"Male","65–69 Years","Port Hills","South Island general electorates","Māori",48
"Female","65–69 Years","Port Hills","South Island general electorates","Māori",45
"Male","70–74 Years","Port Hills","South Island general electorates","Māori",27
"Female","70–74 Years","Port Hills","South Island general electorates","Māori",30
"Male","75–79 Years","Port Hills","South Island general electorates","Māori",21
"Female","75–79 Years","Port Hills","South Island general electorates","Māori",21
"Male","80–84 Years","Port Hills","South Island general electorates","Māori",6
"Female","80–84 Years","Port Hills","South Island general electorates","Māori",12
"Male","85 Years And Over","Port Hills","South Island general electorates","Māori",3
"Female","85 Years And Over","Port Hills","South Island general electorates","Māori",9
"Male","18 Years And Over","Port Hills","South Island general electorates","Māori",1269
"Female","18 Years And Over","Port Hills","South Island general electorates","Māori",1320
"Male","0–4 Years","Rangitata","South Island general electorates","Māori",345
"Female","0–4 Years","Rangitata","South Island general electorates","Māori",327
"Male","5–9 Years","Rangitata","South Island general electorates","Māori",297
"Female","5–9 Years","Rangitata","South Island general electorates","Māori",252
"Male","10–14 Years","Rangitata","South Island general electorates","Māori",279
"Female","10–14 Years","Rangitata","South Island general electorates","Māori",279
"Male","15–19 Years","Rangitata","South Island general electorates","Māori",246
"Female","15–19 Years","Rangitata","South Island general electorates","Māori",195
"Male","20–24 Years","Rangitata","South Island general electorates","Māori",186
"Female","20–24 Years","Rangitata","South Island general electorates","Māori",183
"Male","25–29 Years","Rangitata","South Island general electorates","Māori",153
"Female","25–29 Years","Rangitata","South Island general electorates","Māori",150
"Male","30–34 Years","Rangitata","South Island general electorates","Māori",117
"Female","30–34 Years","Rangitata","South Island general electorates","Māori",165
"Male","35–39 Years","Rangitata","South Island general electorates","Māori",141
"Female","35–39 Years","Rangitata","South Island general electorates","Māori",174
"Male","40–44 Years","Rangitata","South Island general electorates","Māori",132
"Female","40–44 Years","Rangitata","South Island general electorates","Māori",168
"Male","45–49 Years","Rangitata","South Island general electorates","Māori",99
"Female","45–49 Years","Rangitata","South Island general electorates","Māori",126
"Male","50–54 Years","Rangitata","South Island general electorates","Māori",102
"Female","50–54 Years","Rangitata","South Island general electorates","Māori",105
"Male","55–59 Years","Rangitata","South Island general electorates","Māori",75
"Female","55–59 Years","Rangitata","South Island general electorates","Māori",81
"Male","60–64 Years","Rangitata","South Island general electorates","Māori",78
"Female","60–64 Years","Rangitata","South Island general electorates","Māori",63
"Male","65–69 Years","Rangitata","South Island general electorates","Māori",48
"Female","65–69 Years","Rangitata","South Island general electorates","Māori",39
"Male","70–74 Years","Rangitata","South Island general electorates","Māori",36
"Female","70–74 Years","Rangitata","South Island general electorates","Māori",27
"Male","75–79 Years","Rangitata","South Island general electorates","Māori",24
"Female","75–79 Years","Rangitata","South Island general electorates","Māori",15
"Male","80–84 Years","Rangitata","South Island general electorates","Māori",6
"Female","80–84 Years","Rangitata","South Island general electorates","Māori",18
"Male","85 Years And Over","Rangitata","South Island general electorates","Māori",6
"Female","85 Years And Over","Rangitata","South Island general electorates","Māori",9
"Male","18 Years And Over","Rangitata","South Island general electorates","Māori",1284
"Female","18 Years And Over","Rangitata","South Island general electorates","Māori",1380
"Male","0–4 Years","Selwyn","South Island general electorates","Māori",237
"Female","0–4 Years","Selwyn","South Island general electorates","Māori",234
"Male","5–9 Years","Selwyn","South Island general electorates","Māori",246
"Female","5–9 Years","Selwyn","South Island general electorates","Māori",234
"Male","10–14 Years","Selwyn","South Island general electorates","Māori",249
"Female","10–14 Years","Selwyn","South Island general electorates","Māori",207
"Male","15–19 Years","Selwyn","South Island general electorates","Māori",258
"Female","15–19 Years","Selwyn","South Island general electorates","Māori",210
"Male","20–24 Years","Selwyn","South Island general electorates","Māori",249
"Female","20–24 Years","Selwyn","South Island general electorates","Māori",129
"Male","25–29 Years","Selwyn","South Island general electorates","Māori",150
"Female","25–29 Years","Selwyn","South Island general electorates","Māori",99
"Male","30–34 Years","Selwyn","South Island general electorates","Māori",114
"Female","30–34 Years","Selwyn","South Island general electorates","Māori",102
"Male","35–39 Years","Selwyn","South Island general electorates","Māori",120
"Female","35–39 Years","Selwyn","South Island general electorates","Māori",132
"Male","40–44 Years","Selwyn","South Island general electorates","Māori",168
"Female","40–44 Years","Selwyn","South Island general electorates","Māori",150
"Male","45–49 Years","Selwyn","South Island general electorates","Māori",147
"Female","45–49 Years","Selwyn","South Island general electorates","Māori",129
"Male","50–54 Years","Selwyn","South Island general electorates","Māori",111
"Female","50–54 Years","Selwyn","South Island general electorates","Māori",102
"Male","55–59 Years","Selwyn","South Island general electorates","Māori",84
"Female","55–59 Years","Selwyn","South Island general electorates","Māori",57
"Male","60–64 Years","Selwyn","South Island general electorates","Māori",75
"Female","60–64 Years","Selwyn","South Island general electorates","Māori",45
"Male","65–69 Years","Selwyn","South Island general electorates","Māori",36
"Female","65–69 Years","Selwyn","South Island general electorates","Māori",33
"Male","70–74 Years","Selwyn","South Island general electorates","Māori",27
"Female","70–74 Years","Selwyn","South Island general electorates","Māori",18
"Male","75–79 Years","Selwyn","South Island general electorates","Māori",12
"Female","75–79 Years","Selwyn","South Island general electorates","Māori",15
"Male","80–84 Years","Selwyn","South Island general electorates","Māori",3
"Female","80–84 Years","Selwyn","South Island general electorates","Māori",6
"Male","85 Years And Over","Selwyn","South Island general electorates","Māori",0
"Female","85 Years And Over","Selwyn","South Island general electorates","Māori",3
"Male","18 Years And Over","Selwyn","South Island general electorates","Māori",1407
"Female","18 Years And Over","Selwyn","South Island general electorates","Māori",1098
"Male","0–4 Years","Waimakariri","South Island general electorates","Māori",237
"Female","0–4 Years","Waimakariri","South Island general electorates","Māori",234
"Male","5–9 Years","Waimakariri","South Island general electorates","Māori",285
"Female","5–9 Years","Waimakariri","South Island general electorates","Māori",222
"Male","10–14 Years","Waimakariri","South Island general electorates","Māori",270
"Female","10–14 Years","Waimakariri","South Island general electorates","Māori",231
"Male","15–19 Years","Waimakariri","South Island general electorates","Māori",234
"Female","15–19 Years","Waimakariri","South Island general electorates","Māori",195
"Male","20–24 Years","Waimakariri","South Island general electorates","Māori",165
"Female","20–24 Years","Waimakariri","South Island general electorates","Māori",126
"Male","25–29 Years","Waimakariri","South Island general electorates","Māori",102
"Female","25–29 Years","Waimakariri","South Island general electorates","Māori",120
"Male","30–34 Years","Waimakariri","South Island general electorates","Māori",105
"Female","30–34 Years","Waimakariri","South Island general electorates","Māori",120
"Male","35–39 Years","Waimakariri","South Island general electorates","Māori",96
"Female","35–39 Years","Waimakariri","South Island general electorates","Māori",147
