"level0","level1","level2","level3","Cigarette smoking behaviour","count"
"Female","40–44 Years","Taupo","North Island general electorates","Regular Smoker",615
"Male","45–49 Years","Taupo","North Island general electorates","Regular Smoker",513
"Female","45–49 Years","Taupo","North Island general electorates","Regular Smoker",567
"Male","50–54 Years","Taupo","North Island general electorates","Regular Smoker",495
"Female","50–54 Years","Taupo","North Island general electorates","Regular Smoker",558
"Male","55–59 Years","Taupo","North Island general electorates","Regular Smoker",354
"Female","55–59 Years","Taupo","North Island general electorates","Regular Smoker",414
"Male","60–64 Years","Taupo","North Island general electorates","Regular Smoker",267
"Female","60–64 Years","Taupo","North Island general electorates","Regular Smoker",297
"Male","65–69 Years","Taupo","North Island general electorates","Regular Smoker",198
"Female","65–69 Years","Taupo","North Island general electorates","Regular Smoker",222
"Male","70–74 Years","Taupo","North Island general electorates","Regular Smoker",117
"Female","70–74 Years","Taupo","North Island general electorates","Regular Smoker",117
"Male","75–79 Years","Taupo","North Island general electorates","Regular Smoker",57
"Female","75–79 Years","Taupo","North Island general electorates","Regular Smoker",66
"Male","80–84 Years","Taupo","North Island general electorates","Regular Smoker",36
"Female","80–84 Years","Taupo","North Island general electorates","Regular Smoker",27
"Male","85 Years And Over","Taupo","North Island general electorates","Regular Smoker",12
"Female","85 Years And Over","Taupo","North Island general electorates","Regular Smoker",18
"Male","15–19 Years","Tauranga","North Island general electorates","Regular Smoker",198
"Female","15–19 Years","Tauranga","North Island general electorates","Regular Smoker",213
"Male","20–24 Years","Tauranga","North Island general electorates","Regular Smoker",369
"Female","20–24 Years","Tauranga","North Island general electorates","Regular Smoker",378
"Male","25–29 Years","Tauranga","North Island general electorates","Regular Smoker",339
"Female","25–29 Years","Tauranga","North Island general electorates","Regular Smoker",321
"Male","30–34 Years","Tauranga","North Island general electorates","Regular Smoker",309
"Female","30–34 Years","Tauranga","North Island general electorates","Regular Smoker",306
"Male","35–39 Years","Tauranga","North Island general electorates","Regular Smoker",300
"Female","35–39 Years","Tauranga","North Island general electorates","Regular Smoker",294
"Male","40–44 Years","Tauranga","North Island general electorates","Regular Smoker",327
"Female","40–44 Years","Tauranga","North Island general electorates","Regular Smoker",345
"Male","45–49 Years","Tauranga","North Island general electorates","Regular Smoker",297
"Female","45–49 Years","Tauranga","North Island general electorates","Regular Smoker",354
"Male","50–54 Years","Tauranga","North Island general electorates","Regular Smoker",291
"Female","50–54 Years","Tauranga","North Island general electorates","Regular Smoker",357
"Male","55–59 Years","Tauranga","North Island general electorates","Regular Smoker",243
"Female","55–59 Years","Tauranga","North Island general electorates","Regular Smoker",240
"Male","60–64 Years","Tauranga","North Island general electorates","Regular Smoker",159
"Female","60–64 Years","Tauranga","North Island general electorates","Regular Smoker",189
"Male","65–69 Years","Tauranga","North Island general electorates","Regular Smoker",126
"Female","65–69 Years","Tauranga","North Island general electorates","Regular Smoker",138
"Male","70–74 Years","Tauranga","North Island general electorates","Regular Smoker",69
"Female","70–74 Years","Tauranga","North Island general electorates","Regular Smoker",84
"Male","75–79 Years","Tauranga","North Island general electorates","Regular Smoker",24
"Female","75–79 Years","Tauranga","North Island general electorates","Regular Smoker",54
"Male","80–84 Years","Tauranga","North Island general electorates","Regular Smoker",24
"Female","80–84 Years","Tauranga","North Island general electorates","Regular Smoker",27
"Male","85 Years And Over","Tauranga","North Island general electorates","Regular Smoker",15
"Female","85 Years And Over","Tauranga","North Island general electorates","Regular Smoker",15
"Male","15–19 Years","Te Atatu","North Island general electorates","Regular Smoker",207
"Female","15–19 Years","Te Atatu","North Island general electorates","Regular Smoker",234
"Male","20–24 Years","Te Atatu","North Island general electorates","Regular Smoker",456
"Female","20–24 Years","Te Atatu","North Island general electorates","Regular Smoker",411
"Male","25–29 Years","Te Atatu","North Island general electorates","Regular Smoker",468
"Female","25–29 Years","Te Atatu","North Island general electorates","Regular Smoker",378
"Male","30–34 Years","Te Atatu","North Island general electorates","Regular Smoker",420
"Female","30–34 Years","Te Atatu","North Island general electorates","Regular Smoker",333
"Male","35–39 Years","Te Atatu","North Island general electorates","Regular Smoker",420
"Female","35–39 Years","Te Atatu","North Island general electorates","Regular Smoker",366
"Male","40–44 Years","Te Atatu","North Island general electorates","Regular Smoker",438
"Female","40–44 Years","Te Atatu","North Island general electorates","Regular Smoker",402
"Male","45–49 Years","Te Atatu","North Island general electorates","Regular Smoker",411
"Female","45–49 Years","Te Atatu","North Island general electorates","Regular Smoker",363
"Male","50–54 Years","Te Atatu","North Island general electorates","Regular Smoker",378
"Female","50–54 Years","Te Atatu","North Island general electorates","Regular Smoker",360
"Male","55–59 Years","Te Atatu","North Island general electorates","Regular Smoker",279
"Female","55–59 Years","Te Atatu","North Island general electorates","Regular Smoker",264
"Male","60–64 Years","Te Atatu","North Island general electorates","Regular Smoker",213
"Female","60–64 Years","Te Atatu","North Island general electorates","Regular Smoker",171
"Male","65–69 Years","Te Atatu","North Island general electorates","Regular Smoker",144
"Female","65–69 Years","Te Atatu","North Island general electorates","Regular Smoker",111
"Male","70–74 Years","Te Atatu","North Island general electorates","Regular Smoker",63
"Female","70–74 Years","Te Atatu","North Island general electorates","Regular Smoker",75
"Male","75–79 Years","Te Atatu","North Island general electorates","Regular Smoker",45
"Female","75–79 Years","Te Atatu","North Island general electorates","Regular Smoker",36
"Male","80–84 Years","Te Atatu","North Island general electorates","Regular Smoker",18
"Female","80–84 Years","Te Atatu","North Island general electorates","Regular Smoker",21
"Male","85 Years And Over","Te Atatu","North Island general electorates","Regular Smoker",9
"Female","85 Years And Over","Te Atatu","North Island general electorates","Regular Smoker",9
"Male","15–19 Years","Tukituki","North Island general electorates","Regular Smoker",348
"Female","15–19 Years","Tukituki","North Island general electorates","Regular Smoker",345
"Male","20–24 Years","Tukituki","North Island general electorates","Regular Smoker",453
"Female","20–24 Years","Tukituki","North Island general electorates","Regular Smoker",555
"Male","25–29 Years","Tukituki","North Island general electorates","Regular Smoker",429
"Female","25–29 Years","Tukituki","North Island general electorates","Regular Smoker",471
"Male","30–34 Years","Tukituki","North Island general electorates","Regular Smoker",399
"Female","30–34 Years","Tukituki","North Island general electorates","Regular Smoker",405
"Male","35–39 Years","Tukituki","North Island general electorates","Regular Smoker",423
"Female","35–39 Years","Tukituki","North Island general electorates","Regular Smoker",450
"Male","40–44 Years","Tukituki","North Island general electorates","Regular Smoker",459
"Female","40–44 Years","Tukituki","North Island general electorates","Regular Smoker",576
"Male","45–49 Years","Tukituki","North Island general electorates","Regular Smoker",438
"Female","45–49 Years","Tukituki","North Island general electorates","Regular Smoker",519
"Male","50–54 Years","Tukituki","North Island general electorates","Regular Smoker",396
"Female","50–54 Years","Tukituki","North Island general electorates","Regular Smoker",501
"Male","55–59 Years","Tukituki","North Island general electorates","Regular Smoker",336
"Female","55–59 Years","Tukituki","North Island general electorates","Regular Smoker",342
"Male","60–64 Years","Tukituki","North Island general electorates","Regular Smoker",243
"Female","60–64 Years","Tukituki","North Island general electorates","Regular Smoker",267
"Male","65–69 Years","Tukituki","North Island general electorates","Regular Smoker",162
"Female","65–69 Years","Tukituki","North Island general electorates","Regular Smoker",177
"Male","70–74 Years","Tukituki","North Island general electorates","Regular Smoker",81
"Female","70–74 Years","Tukituki","North Island general electorates","Regular Smoker",93
"Male","75–79 Years","Tukituki","North Island general electorates","Regular Smoker",39
"Female","75–79 Years","Tukituki","North Island general electorates","Regular Smoker",42
"Male","80–84 Years","Tukituki","North Island general electorates","Regular Smoker",18
"Female","80–84 Years","Tukituki","North Island general electorates","Regular Smoker",27
"Male","85 Years And Over","Tukituki","North Island general electorates","Regular Smoker",6
"Female","85 Years And Over","Tukituki","North Island general electorates","Regular Smoker",15
"Male","15–19 Years","Upper Harbour","North Island general electorates","Regular Smoker",195
"Female","15–19 Years","Upper Harbour","North Island general electorates","Regular Smoker",153
"Male","20–24 Years","Upper Harbour","North Island general electorates","Regular Smoker",447
"Female","20–24 Years","Upper Harbour","North Island general electorates","Regular Smoker",351
"Male","25–29 Years","Upper Harbour","North Island general electorates","Regular Smoker",471
"Female","25–29 Years","Upper Harbour","North Island general electorates","Regular Smoker",318
"Male","30–34 Years","Upper Harbour","North Island general electorates","Regular Smoker",510
"Female","30–34 Years","Upper Harbour","North Island general electorates","Regular Smoker",267
"Male","35–39 Years","Upper Harbour","North Island general electorates","Regular Smoker",366
"Female","35–39 Years","Upper Harbour","North Island general electorates","Regular Smoker",267
"Male","40–44 Years","Upper Harbour","North Island general electorates","Regular Smoker",402
"Female","40–44 Years","Upper Harbour","North Island general electorates","Regular Smoker",327
"Male","45–49 Years","Upper Harbour","North Island general electorates","Regular Smoker",360
"Female","45–49 Years","Upper Harbour","North Island general electorates","Regular Smoker",336
"Male","50–54 Years","Upper Harbour","North Island general electorates","Regular Smoker",312
"Female","50–54 Years","Upper Harbour","North Island general electorates","Regular Smoker",282
"Male","55–59 Years","Upper Harbour","North Island general electorates","Regular Smoker",219
"Female","55–59 Years","Upper Harbour","North Island general electorates","Regular Smoker",186
"Male","60–64 Years","Upper Harbour","North Island general electorates","Regular Smoker",162
"Female","60–64 Years","Upper Harbour","North Island general electorates","Regular Smoker",135
"Male","65–69 Years","Upper Harbour","North Island general electorates","Regular Smoker",99
"Female","65–69 Years","Upper Harbour","North Island general electorates","Regular Smoker",93
"Male","70–74 Years","Upper Harbour","North Island general electorates","Regular Smoker",42
"Female","70–74 Years","Upper Harbour","North Island general electorates","Regular Smoker",48
"Male","75–79 Years","Upper Harbour","North Island general electorates","Regular Smoker",18
"Female","75–79 Years","Upper Harbour","North Island general electorates","Regular Smoker",21
"Male","80–84 Years","Upper Harbour","North Island general electorates","Regular Smoker",3
"Female","80–84 Years","Upper Harbour","North Island general electorates","Regular Smoker",12
"Male","85 Years And Over","Upper Harbour","North Island general electorates","Regular Smoker",6
"Female","85 Years And Over","Upper Harbour","North Island general electorates","Regular Smoker",6
"Male","15–19 Years","Waikato","North Island general electorates","Regular Smoker",366
"Female","15–19 Years","Waikato","North Island general electorates","Regular Smoker",303
"Male","20–24 Years","Waikato","North Island general electorates","Regular Smoker",582
"Female","20–24 Years","Waikato","North Island general electorates","Regular Smoker",489
"Male","25–29 Years","Waikato","North Island general electorates","Regular Smoker",489
"Female","25–29 Years","Waikato","North Island general electorates","Regular Smoker",453
"Male","30–34 Years","Waikato","North Island general electorates","Regular Smoker",411
"Female","30–34 Years","Waikato","North Island general electorates","Regular Smoker",429
"Male","35–39 Years","Waikato","North Island general electorates","Regular Smoker",456
"Female","35–39 Years","Waikato","North Island general electorates","Regular Smoker",477
"Male","40–44 Years","Waikato","North Island general electorates","Regular Smoker",492
"Female","40–44 Years","Waikato","North Island general electorates","Regular Smoker",588
"Male","45–49 Years","Waikato","North Island general electorates","Regular Smoker",486
"Female","45–49 Years","Waikato","North Island general electorates","Regular Smoker",519
"Male","50–54 Years","Waikato","North Island general electorates","Regular Smoker",471
"Female","50–54 Years","Waikato","North Island general electorates","Regular Smoker",501
"Male","55–59 Years","Waikato","North Island general electorates","Regular Smoker",348
"Female","55–59 Years","Waikato","North Island general electorates","Regular Smoker",333
"Male","60–64 Years","Waikato","North Island general electorates","Regular Smoker",216
"Female","60–64 Years","Waikato","North Island general electorates","Regular Smoker",204
"Male","65–69 Years","Waikato","North Island general electorates","Regular Smoker",180
"Female","65–69 Years","Waikato","North Island general electorates","Regular Smoker",159
"Male","70–74 Years","Waikato","North Island general electorates","Regular Smoker",84
"Female","70–74 Years","Waikato","North Island general electorates","Regular Smoker",96
"Male","75–79 Years","Waikato","North Island general electorates","Regular Smoker",42
"Female","75–79 Years","Waikato","North Island general electorates","Regular Smoker",30
"Male","80–84 Years","Waikato","North Island general electorates","Regular Smoker",12
"Female","80–84 Years","Waikato","North Island general electorates","Regular Smoker",18
"Male","85 Years And Over","Waikato","North Island general electorates","Regular Smoker",12
"Female","85 Years And Over","Waikato","North Island general electorates","Regular Smoker",9
"Male","15–19 Years","Wairarapa","North Island general electorates","Regular Smoker",318
"Female","15–19 Years","Wairarapa","North Island general electorates","Regular Smoker",306
"Male","20–24 Years","Wairarapa","North Island general electorates","Regular Smoker",453
"Female","20–24 Years","Wairarapa","North Island general electorates","Regular Smoker",492
"Male","25–29 Years","Wairarapa","North Island general electorates","Regular Smoker",375
"Female","25–29 Years","Wairarapa","North Island general electorates","Regular Smoker",408
"Male","30–34 Years","Wairarapa","North Island general electorates","Regular Smoker",408
"Female","30–34 Years","Wairarapa","North Island general electorates","Regular Smoker",402
"Male","35–39 Years","Wairarapa","North Island general electorates","Regular Smoker",402
"Female","35–39 Years","Wairarapa","North Island general electorates","Regular Smoker",387
"Male","40–44 Years","Wairarapa","North Island general electorates","Regular Smoker",516
"Female","40–44 Years","Wairarapa","North Island general electorates","Regular Smoker",588
"Male","45–49 Years","Wairarapa","North Island general electorates","Regular Smoker",519
"Female","45–49 Years","Wairarapa","North Island general electorates","Regular Smoker",516
"Male","50–54 Years","Wairarapa","North Island general electorates","Regular Smoker",525
"Female","50–54 Years","Wairarapa","North Island general electorates","Regular Smoker",573
"Male","55–59 Years","Wairarapa","North Island general electorates","Regular Smoker",399
"Female","55–59 Years","Wairarapa","North Island general electorates","Regular Smoker",378
"Male","60–64 Years","Wairarapa","North Island general electorates","Regular Smoker",297
"Female","60–64 Years","Wairarapa","North Island general electorates","Regular Smoker",297
"Male","65–69 Years","Wairarapa","North Island general electorates","Regular Smoker",201
"Female","65–69 Years","Wairarapa","North Island general electorates","Regular Smoker",207
"Male","70–74 Years","Wairarapa","North Island general electorates","Regular Smoker",102
"Female","70–74 Years","Wairarapa","North Island general electorates","Regular Smoker",114
"Male","75–79 Years","Wairarapa","North Island general electorates","Regular Smoker",60
"Female","75–79 Years","Wairarapa","North Island general electorates","Regular Smoker",63
"Male","80–84 Years","Wairarapa","North Island general electorates","Regular Smoker",45
"Female","80–84 Years","Wairarapa","North Island general electorates","Regular Smoker",39
"Male","85 Years And Over","Wairarapa","North Island general electorates","Regular Smoker",9
"Female","85 Years And Over","Wairarapa","North Island general electorates","Regular Smoker",24
"Male","15–19 Years","Wellington Central","North Island general electorates","Regular Smoker",186
"Female","15–19 Years","Wellington Central","North Island general electorates","Regular Smoker",159
"Male","20–24 Years","Wellington Central","North Island general electorates","Regular Smoker",573
"Female","20–24 Years","Wellington Central","North Island general electorates","Regular Smoker",483
"Male","25–29 Years","Wellington Central","North Island general electorates","Regular Smoker",495
"Female","25–29 Years","Wellington Central","North Island general electorates","Regular Smoker",345
"Male","30–34 Years","Wellington Central","North Island general electorates","Regular Smoker",387
"Female","30–34 Years","Wellington Central","North Island general electorates","Regular Smoker",204
"Male","35–39 Years","Wellington Central","North Island general electorates","Regular Smoker",258
"Female","35–39 Years","Wellington Central","North Island general electorates","Regular Smoker",135
"Male","40–44 Years","Wellington Central","North Island general electorates","Regular Smoker",231
"Female","40–44 Years","Wellington Central","North Island general electorates","Regular Smoker",138
"Male","45–49 Years","Wellington Central","North Island general electorates","Regular Smoker",195
"Female","45–49 Years","Wellington Central","North Island general electorates","Regular Smoker",120
"Male","50–54 Years","Wellington Central","North Island general electorates","Regular Smoker",156
"Female","50–54 Years","Wellington Central","North Island general electorates","Regular Smoker",114
"Male","55–59 Years","Wellington Central","North Island general electorates","Regular Smoker",117
"Female","55–59 Years","Wellington Central","North Island general electorates","Regular Smoker",99
"Male","60–64 Years","Wellington Central","North Island general electorates","Regular Smoker",90
"Female","60–64 Years","Wellington Central","North Island general electorates","Regular Smoker",78
"Male","65–69 Years","Wellington Central","North Island general electorates","Regular Smoker",60
"Female","65–69 Years","Wellington Central","North Island general electorates","Regular Smoker",48
"Male","70–74 Years","Wellington Central","North Island general electorates","Regular Smoker",36
"Female","70–74 Years","Wellington Central","North Island general electorates","Regular Smoker",21
"Male","75–79 Years","Wellington Central","North Island general electorates","Regular Smoker",9
"Female","75–79 Years","Wellington Central","North Island general electorates","Regular Smoker",12
"Male","80–84 Years","Wellington Central","North Island general electorates","Regular Smoker",0
"Female","80–84 Years","Wellington Central","North Island general electorates","Regular Smoker",9
"Male","85 Years And Over","Wellington Central","North Island general electorates","Regular Smoker",3
"Female","85 Years And Over","Wellington Central","North Island general electorates","Regular Smoker",3
"Male","15–19 Years","Whanganui","North Island general electorates","Regular Smoker",348
"Female","15–19 Years","Whanganui","North Island general electorates","Regular Smoker",327
"Male","20–24 Years","Whanganui","North Island general electorates","Regular Smoker",552
"Female","20–24 Years","Whanganui","North Island general electorates","Regular Smoker",543
"Male","25–29 Years","Whanganui","North Island general electorates","Regular Smoker",495
"Female","25–29 Years","Whanganui","North Island general electorates","Regular Smoker",588
"Male","30–34 Years","Whanganui","North Island general electorates","Regular Smoker",465
"Female","30–34 Years","Whanganui","North Island general electorates","Regular Smoker",459
"Male","35–39 Years","Whanganui","North Island general electorates","Regular Smoker",453
"Female","35–39 Years","Whanganui","North Island general electorates","Regular Smoker",492
"Male","40–44 Years","Whanganui","North Island general electorates","Regular Smoker",552
"Female","40–44 Years","Whanganui","North Island general electorates","Regular Smoker",564
"Male","45–49 Years","Whanganui","North Island general electorates","Regular Smoker",555
"Female","45–49 Years","Whanganui","North Island general electorates","Regular Smoker",546
"Male","50–54 Years","Whanganui","North Island general electorates","Regular Smoker",507
"Female","50–54 Years","Whanganui","North Island general electorates","Regular Smoker",600
"Male","55–59 Years","Whanganui","North Island general electorates","Regular Smoker",393
"Female","55–59 Years","Whanganui","North Island general electorates","Regular Smoker",393
"Male","60–64 Years","Whanganui","North Island general electorates","Regular Smoker",288
"Female","60–64 Years","Whanganui","North Island general electorates","Regular Smoker",285
"Male","65–69 Years","Whanganui","North Island general electorates","Regular Smoker",210
"Female","65–69 Years","Whanganui","North Island general electorates","Regular Smoker",207
"Male","70–74 Years","Whanganui","North Island general electorates","Regular Smoker",111
"Female","70–74 Years","Whanganui","North Island general electorates","Regular Smoker",123
"Male","75–79 Years","Whanganui","North Island general electorates","Regular Smoker",51
"Female","75–79 Years","Whanganui","North Island general electorates","Regular Smoker",72
"Male","80–84 Years","Whanganui","North Island general electorates","Regular Smoker",33
"Female","80–84 Years","Whanganui","North Island general electorates","Regular Smoker",36
"Male","85 Years And Over","Whanganui","North Island general electorates","Regular Smoker",9
"Female","85 Years And Over","Whanganui","North Island general electorates","Regular Smoker",24
"Male","15–19 Years","Whangarei","North Island general electorates","Regular Smoker",276
"Female","15–19 Years","Whangarei","North Island general electorates","Regular Smoker",270
"Male","20–24 Years","Whangarei","North Island general electorates","Regular Smoker",408
"Female","20–24 Years","Whangarei","North Island general electorates","Regular Smoker",471
"Male","25–29 Years","Whangarei","North Island general electorates","Regular Smoker",375
"Female","25–29 Years","Whangarei","North Island general electorates","Regular Smoker",435
"Male","30–34 Years","Whangarei","North Island general electorates","Regular Smoker",339
"Female","30–34 Years","Whangarei","North Island general electorates","Regular Smoker",384
"Male","35–39 Years","Whangarei","North Island general electorates","Regular Smoker",378
"Female","35–39 Years","Whangarei","North Island general electorates","Regular Smoker",375
"Male","40–44 Years","Whangarei","North Island general electorates","Regular Smoker",471
"Female","40–44 Years","Whangarei","North Island general electorates","Regular Smoker",507
"Male","45–49 Years","Whangarei","North Island general electorates","Regular Smoker",507
"Female","45–49 Years","Whangarei","North Island general electorates","Regular Smoker",519
"Male","50–54 Years","Whangarei","North Island general electorates","Regular Smoker",486
"Female","50–54 Years","Whangarei","North Island general electorates","Regular Smoker",534
"Male","55–59 Years","Whangarei","North Island general electorates","Regular Smoker",369
"Female","55–59 Years","Whangarei","North Island general electorates","Regular Smoker",375
"Male","60–64 Years","Whangarei","North Island general electorates","Regular Smoker",249
"Female","60–64 Years","Whangarei","North Island general electorates","Regular Smoker",258
"Male","65–69 Years","Whangarei","North Island general electorates","Regular Smoker",186
"Female","65–69 Years","Whangarei","North Island general electorates","Regular Smoker",186
"Male","70–74 Years","Whangarei","North Island general electorates","Regular Smoker",102
"Female","70–74 Years","Whangarei","North Island general electorates","Regular Smoker",111
"Male","75–79 Years","Whangarei","North Island general electorates","Regular Smoker",51
"Female","75–79 Years","Whangarei","North Island general electorates","Regular Smoker",54
"Male","80–84 Years","Whangarei","North Island general electorates","Regular Smoker",30
"Female","80–84 Years","Whangarei","North Island general electorates","Regular Smoker",27
"Male","85 Years And Over","Whangarei","North Island general electorates","Regular Smoker",15
"Female","85 Years And Over","Whangarei","North Island general electorates","Regular Smoker",15
"Male","15–19 Years","Christchurch Central","South Island general electorates","Regular Smoker",237
"Female","15–19 Years","Christchurch Central","South Island general electorates","Regular Smoker",219
"Male","20–24 Years","Christchurch Central","South Island general electorates","Regular Smoker",699
"Female","20–24 Years","Christchurch Central","South Island general electorates","Regular Smoker",549
"Male","25–29 Years","Christchurch Central","South Island general electorates","Regular Smoker",699
"Female","25–29 Years","Christchurch Central","South Island general electorates","Regular Smoker",492
"Male","30–34 Years","Christchurch Central","South Island general electorates","Regular Smoker",561
"Female","30–34 Years","Christchurch Central","South Island general electorates","Regular Smoker",378
"Male","35–39 Years","Christchurch Central","South Island general electorates","Regular Smoker",453
"Female","35–39 Years","Christchurch Central","South Island general electorates","Regular Smoker",345
"Male","40–44 Years","Christchurch Central","South Island general electorates","Regular Smoker",456
"Female","40–44 Years","Christchurch Central","South Island general electorates","Regular Smoker",396
"Male","45–49 Years","Christchurch Central","South Island general electorates","Regular Smoker",447
"Female","45–49 Years","Christchurch Central","South Island general electorates","Regular Smoker",351
"Male","50–54 Years","Christchurch Central","South Island general electorates","Regular Smoker",423
"Female","50–54 Years","Christchurch Central","South Island general electorates","Regular Smoker",372
"Male","55–59 Years","Christchurch Central","South Island general electorates","Regular Smoker",306
"Female","55–59 Years","Christchurch Central","South Island general electorates","Regular Smoker",264
"Male","60–64 Years","Christchurch Central","South Island general electorates","Regular Smoker",207
"Female","60–64 Years","Christchurch Central","South Island general electorates","Regular Smoker",195
"Male","65–69 Years","Christchurch Central","South Island general electorates","Regular Smoker",156
"Female","65–69 Years","Christchurch Central","South Island general electorates","Regular Smoker",129
"Male","70–74 Years","Christchurch Central","South Island general electorates","Regular Smoker",72
"Female","70–74 Years","Christchurch Central","South Island general electorates","Regular Smoker",69
"Male","75–79 Years","Christchurch Central","South Island general electorates","Regular Smoker",33
"Female","75–79 Years","Christchurch Central","South Island general electorates","Regular Smoker",48
"Male","80–84 Years","Christchurch Central","South Island general electorates","Regular Smoker",18
"Female","80–84 Years","Christchurch Central","South Island general electorates","Regular Smoker",21
"Male","85 Years And Over","Christchurch Central","South Island general electorates","Regular Smoker",12
"Female","85 Years And Over","Christchurch Central","South Island general electorates","Regular Smoker",21
"Male","15–19 Years","Christchurch East","South Island general electorates","Regular Smoker",306
"Female","15–19 Years","Christchurch East","South Island general electorates","Regular Smoker",267
"Male","20–24 Years","Christchurch East","South Island general electorates","Regular Smoker",567
"Female","20–24 Years","Christchurch East","South Island general electorates","Regular Smoker",537
"Male","25–29 Years","Christchurch East","South Island general electorates","Regular Smoker",534
"Female","25–29 Years","Christchurch East","South Island general electorates","Regular Smoker",447
"Male","30–34 Years","Christchurch East","South Island general electorates","Regular Smoker",477
"Female","30–34 Years","Christchurch East","South Island general electorates","Regular Smoker",426
"Male","35–39 Years","Christchurch East","South Island general electorates","Regular Smoker",510
"Female","35–39 Years","Christchurch East","South Island general electorates","Regular Smoker",414
"Male","40–44 Years","Christchurch East","South Island general electorates","Regular Smoker",537
"Female","40–44 Years","Christchurch East","South Island general electorates","Regular Smoker",495
"Male","45–49 Years","Christchurch East","South Island general electorates","Regular Smoker",474
"Female","45–49 Years","Christchurch East","South Island general electorates","Regular Smoker",468
"Male","50–54 Years","Christchurch East","South Island general electorates","Regular Smoker",450
"Female","50–54 Years","Christchurch East","South Island general electorates","Regular Smoker",459
"Male","55–59 Years","Christchurch East","South Island general electorates","Regular Smoker",378
"Female","55–59 Years","Christchurch East","South Island general electorates","Regular Smoker",378
"Male","60–64 Years","Christchurch East","South Island general electorates","Regular Smoker",270
"Female","60–64 Years","Christchurch East","South Island general electorates","Regular Smoker",243
"Male","65–69 Years","Christchurch East","South Island general electorates","Regular Smoker",141
"Female","65–69 Years","Christchurch East","South Island general electorates","Regular Smoker",162
"Male","70–74 Years","Christchurch East","South Island general electorates","Regular Smoker",72
"Female","70–74 Years","Christchurch East","South Island general electorates","Regular Smoker",96
"Male","75–79 Years","Christchurch East","South Island general electorates","Regular Smoker",45
"Female","75–79 Years","Christchurch East","South Island general electorates","Regular Smoker",42
"Male","80–84 Years","Christchurch East","South Island general electorates","Regular Smoker",24
"Female","80–84 Years","Christchurch East","South Island general electorates","Regular Smoker",24
"Male","85 Years And Over","Christchurch East","South Island general electorates","Regular Smoker",6
"Female","85 Years And Over","Christchurch East","South Island general electorates","Regular Smoker",6
"Male","15–19 Years","Clutha-Southland","South Island general electorates","Regular Smoker",261
"Female","15–19 Years","Clutha-Southland","South Island general electorates","Regular Smoker",177
"Male","20–24 Years","Clutha-Southland","South Island general electorates","Regular Smoker",540
"Female","20–24 Years","Clutha-Southland","South Island general electorates","Regular Smoker",396
"Male","25–29 Years","Clutha-Southland","South Island general electorates","Regular Smoker",588
"Female","25–29 Years","Clutha-Southland","South Island general electorates","Regular Smoker",405
"Male","30–34 Years","Clutha-Southland","South Island general electorates","Regular Smoker",510
"Female","30–34 Years","Clutha-Southland","South Island general electorates","Regular Smoker",372
"Male","35–39 Years","Clutha-Southland","South Island general electorates","Regular Smoker",474
"Female","35–39 Years","Clutha-Southland","South Island general electorates","Regular Smoker",348
"Male","40–44 Years","Clutha-Southland","South Island general electorates","Regular Smoker",450
"Female","40–44 Years","Clutha-Southland","South Island general electorates","Regular Smoker",426
"Male","45–49 Years","Clutha-Southland","South Island general electorates","Regular Smoker",387
"Female","45–49 Years","Clutha-Southland","South Island general electorates","Regular Smoker",321
"Male","50–54 Years","Clutha-Southland","South Island general electorates","Regular Smoker",369
"Female","50–54 Years","Clutha-Southland","South Island general electorates","Regular Smoker",375
"Male","55–59 Years","Clutha-Southland","South Island general electorates","Regular Smoker",297
"Female","55–59 Years","Clutha-Southland","South Island general electorates","Regular Smoker",261
"Male","60–64 Years","Clutha-Southland","South Island general electorates","Regular Smoker",204
"Female","60–64 Years","Clutha-Southland","South Island general electorates","Regular Smoker",192
"Male","65–69 Years","Clutha-Southland","South Island general electorates","Regular Smoker",168
"Female","65–69 Years","Clutha-Southland","South Island general electorates","Regular Smoker",147
"Male","70–74 Years","Clutha-Southland","South Island general electorates","Regular Smoker",84
"Female","70–74 Years","Clutha-Southland","South Island general electorates","Regular Smoker",84
"Male","75–79 Years","Clutha-Southland","South Island general electorates","Regular Smoker",30
"Female","75–79 Years","Clutha-Southland","South Island general electorates","Regular Smoker",21
"Male","80–84 Years","Clutha-Southland","South Island general electorates","Regular Smoker",21
"Female","80–84 Years","Clutha-Southland","South Island general electorates","Regular Smoker",15
"Male","85 Years And Over","Clutha-Southland","South Island general electorates","Regular Smoker",3
"Female","85 Years And Over","Clutha-Southland","South Island general electorates","Regular Smoker",6
"Male","15–19 Years","Dunedin North","South Island general electorates","Regular Smoker",249
"Female","15–19 Years","Dunedin North","South Island general electorates","Regular Smoker",192
"Male","20–24 Years","Dunedin North","South Island general electorates","Regular Smoker",576
"Female","20–24 Years","Dunedin North","South Island general electorates","Regular Smoker",417
"Male","25–29 Years","Dunedin North","South Island general electorates","Regular Smoker",342
"Female","25–29 Years","Dunedin North","South Island general electorates","Regular Smoker",231
"Male","30–34 Years","Dunedin North","South Island general electorates","Regular Smoker",279
"Female","30–34 Years","Dunedin North","South Island general electorates","Regular Smoker",225
"Male","35–39 Years","Dunedin North","South Island general electorates","Regular Smoker",264
"Female","35–39 Years","Dunedin North","South Island general electorates","Regular Smoker",201
"Male","40–44 Years","Dunedin North","South Island general electorates","Regular Smoker",297
