"level0","level1","Religious affiliation (total responses)(1)","count"
"Northcote","North Island general electorates","Other Christian Religions",1761
"Northland","North Island general electorates","Other Christian Religions",2637
"Ohariu","North Island general electorates","Other Christian Religions",2094
"Otaki","North Island general electorates","Other Christian Religions",1764
"Pakuranga","North Island general electorates","Other Christian Religions",1638
"Palmerston North","North Island general electorates","Other Christian Religions",2493
"Papakura","North Island general electorates","Other Christian Religions",1911
"Rangitikei","North Island general electorates","Other Christian Religions",2076
"Rimutaka","North Island general electorates","Other Christian Religions",1755
"Rodney","North Island general electorates","Other Christian Religions",1572
"Rongotai","North Island general electorates","Other Christian Religions",3012
"Rotorua","North Island general electorates","Other Christian Religions",1674
"Tamaki","North Island general electorates","Other Christian Religions",1362
"Taranaki-King Country","North Island general electorates","Other Christian Religions",1299
"Taupo","North Island general electorates","Other Christian Religions",2139
"Tauranga","North Island general electorates","Other Christian Religions",1626
"Te Atatu","North Island general electorates","Other Christian Religions",2307
"Tukituki","North Island general electorates","Other Christian Religions",1941
"Upper Harbour","North Island general electorates","Other Christian Religions",2079
"Waikato","North Island general electorates","Other Christian Religions",1638
"Wairarapa","North Island general electorates","Other Christian Religions",1500
"Wellington Central","North Island general electorates","Other Christian Religions",1272
"Whanganui","North Island general electorates","Other Christian Religions",1647
"Whangarei","North Island general electorates","Other Christian Religions",1905
"Christchurch Central","South Island general electorates","Other Christian Religions",1521
"Christchurch East","South Island general electorates","Other Christian Religions",1476
"Clutha-Southland","South Island general electorates","Other Christian Religions",993
"Dunedin North","South Island general electorates","Other Christian Religions",891
"Dunedin South","South Island general electorates","Other Christian Religions",1014
"Ilam","South Island general electorates","Other Christian Religions",1572
"Invercargill","South Island general electorates","Other Christian Religions",1524
"Kaikoura","South Island general electorates","Other Christian Religions",1419
"Nelson","South Island general electorates","Other Christian Religions",1854
"Port Hills","South Island general electorates","Other Christian Religions",1146
"Rangitata","South Island general electorates","Other Christian Religions",1353
"Selwyn","South Island general electorates","Other Christian Religions",819
"Waimakariri","South Island general electorates","Other Christian Religions",1530
"Waitaki","South Island general electorates","Other Christian Religions",927
"West Coast-Tasman","South Island general electorates","Other Christian Religions",1719
"Wigram","South Island general electorates","Other Christian Religions",1503
"Area Outside General Electorate","South Island general electorates","Other Christian Religions",NA
"Auckland Central","North Island general electorates","Ratana",168
"Bay of Plenty","North Island general electorates","Ratana",1497
"Botany","North Island general electorates","Ratana",225
"Coromandel","North Island general electorates","Ratana",723
"East Coast","North Island general electorates","Ratana",1689
"East Coast Bays","North Island general electorates","Ratana",72
"Epsom","North Island general electorates","Ratana",69
"Hamilton East","North Island general electorates","Ratana",582
"Hamilton West","North Island general electorates","Ratana",705
"Helensville","North Island general electorates","Ratana",363
"Hunua","North Island general electorates","Ratana",480
"Hutt South","North Island general electorates","Ratana",444
"Kelston","North Island general electorates","Ratana",489
"Mana","North Island general electorates","Ratana",558
"Mangere","North Island general electorates","Ratana",999
"Manukau East","North Island general electorates","Ratana",924
"Manurewa","North Island general electorates","Ratana",1677
"Maungakiekie","North Island general electorates","Ratana",636
"Mt Albert","North Island general electorates","Ratana",150
"Mt Roskill","North Island general electorates","Ratana",183
"Napier","North Island general electorates","Ratana",1947
"New Lynn","North Island general electorates","Ratana",186
"New Plymouth","North Island general electorates","Ratana",318
"North Shore","North Island general electorates","Ratana",87
"Northcote","North Island general electorates","Ratana",222
"Northland","North Island general electorates","Ratana",3423
"Ohariu","North Island general electorates","Ratana",144
"Otaki","North Island general electorates","Ratana",477
"Pakuranga","North Island general electorates","Ratana",186
"Palmerston North","North Island general electorates","Ratana",666
"Papakura","North Island general electorates","Ratana",1356
"Rangitikei","North Island general electorates","Ratana",1509
"Rimutaka","North Island general electorates","Ratana",675
"Rodney","North Island general electorates","Ratana",180
"Rongotai","North Island general electorates","Ratana",261
"Rotorua","North Island general electorates","Ratana",1476
"Tamaki","North Island general electorates","Ratana",333
"Taranaki-King Country","North Island general electorates","Ratana",837
"Taupo","North Island general electorates","Ratana",2220
"Tauranga","North Island general electorates","Ratana",819
"Te Atatu","North Island general electorates","Ratana",621
"Tukituki","North Island general electorates","Ratana",1575
"Upper Harbour","North Island general electorates","Ratana",372
"Waikato","North Island general electorates","Ratana",672
"Wairarapa","North Island general electorates","Ratana",1050
"Wellington Central","North Island general electorates","Ratana",120
"Whanganui","North Island general electorates","Ratana",1452
"Whangarei","North Island general electorates","Ratana",1548
"Christchurch Central","South Island general electorates","Ratana",240
"Christchurch East","South Island general electorates","Ratana",285
"Clutha-Southland","South Island general electorates","Ratana",195
"Dunedin North","South Island general electorates","Ratana",108
"Dunedin South","South Island general electorates","Ratana",81
"Ilam","South Island general electorates","Ratana",123
"Invercargill","South Island general electorates","Ratana",315
"Kaikoura","South Island general electorates","Ratana",285
"Nelson","South Island general electorates","Ratana",147
"Port Hills","South Island general electorates","Ratana",138
"Rangitata","South Island general electorates","Ratana",195
"Selwyn","South Island general electorates","Ratana",165
"Waimakariri","South Island general electorates","Ratana",198
"Waitaki","South Island general electorates","Ratana",114
"West Coast-Tasman","South Island general electorates","Ratana",174
"Wigram","South Island general electorates","Ratana",216
"Area Outside General Electorate","South Island general electorates","Ratana",NA
"Auckland Central","North Island general electorates","Ringatū",36
"Bay of Plenty","North Island general electorates","Ringatū",288
"Botany","North Island general electorates","Ringatū",18
"Coromandel","North Island general electorates","Ringatū",222
"East Coast","North Island general electorates","Ringatū",5559
"East Coast Bays","North Island general electorates","Ringatū",12
"Epsom","North Island general electorates","Ringatū",27
"Hamilton East","North Island general electorates","Ringatū",222
"Hamilton West","North Island general electorates","Ringatū",189
"Helensville","North Island general electorates","Ringatū",57
"Hunua","North Island general electorates","Ringatū",60
"Hutt South","North Island general electorates","Ringatū",237
"Kelston","North Island general electorates","Ringatū",63
"Mana","North Island general electorates","Ringatū",198
"Mangere","North Island general electorates","Ringatū",180
"Manukau East","North Island general electorates","Ringatū",153
"Manurewa","North Island general electorates","Ringatū",273
"Maungakiekie","North Island general electorates","Ringatū",120
"Mt Albert","North Island general electorates","Ringatū",54
"Mt Roskill","North Island general electorates","Ringatū",33
"Napier","North Island general electorates","Ringatū",552
"New Lynn","North Island general electorates","Ringatū",33
"New Plymouth","North Island general electorates","Ringatū",63
"North Shore","North Island general electorates","Ringatū",24
"Northcote","North Island general electorates","Ringatū",39
"Northland","North Island general electorates","Ringatū",108
"Ohariu","North Island general electorates","Ringatū",66
"Otaki","North Island general electorates","Ringatū",108
"Pakuranga","North Island general electorates","Ringatū",12
"Palmerston North","North Island general electorates","Ringatū",150
"Papakura","North Island general electorates","Ringatū",213
"Rangitikei","North Island general electorates","Ringatū",156
"Rimutaka","North Island general electorates","Ringatū",201
"Rodney","North Island general electorates","Ringatū",18
"Rongotai","North Island general electorates","Ringatū",99
"Rotorua","North Island general electorates","Ringatū",831
"Tamaki","North Island general electorates","Ringatū",39
"Taranaki-King Country","North Island general electorates","Ringatū",120
"Taupo","North Island general electorates","Ringatū",264
"Tauranga","North Island general electorates","Ringatū",243
"Te Atatu","North Island general electorates","Ringatū",93
"Tukituki","North Island general electorates","Ringatū",405
"Upper Harbour","North Island general electorates","Ringatū",54
"Waikato","North Island general electorates","Ringatū",171
"Wairarapa","North Island general electorates","Ringatū",144
"Wellington Central","North Island general electorates","Ringatū",57
"Whanganui","North Island general electorates","Ringatū",153
"Whangarei","North Island general electorates","Ringatū",90
"Christchurch Central","South Island general electorates","Ringatū",51
"Christchurch East","South Island general electorates","Ringatū",87
"Clutha-Southland","South Island general electorates","Ringatū",72
"Dunedin North","South Island general electorates","Ringatū",51
"Dunedin South","South Island general electorates","Ringatū",54
"Ilam","South Island general electorates","Ringatū",21
"Invercargill","South Island general electorates","Ringatū",96
"Kaikoura","South Island general electorates","Ringatū",42
"Nelson","South Island general electorates","Ringatū",21
"Port Hills","South Island general electorates","Ringatū",36
"Rangitata","South Island general electorates","Ringatū",42
"Selwyn","South Island general electorates","Ringatū",36
"Waimakariri","South Island general electorates","Ringatū",24
"Waitaki","South Island general electorates","Ringatū",21
"West Coast-Tasman","South Island general electorates","Ringatū",45
"Wigram","South Island general electorates","Ringatū",69
"Area Outside General Electorate","South Island general electorates","Ringatū",NA
"Auckland Central","North Island general electorates","Other Māori Christian Religions",6
"Bay of Plenty","North Island general electorates","Other Māori Christian Religions",3
"Botany","North Island general electorates","Other Māori Christian Religions",3
"Coromandel","North Island general electorates","Other Māori Christian Religions",3
"East Coast","North Island general electorates","Other Māori Christian Religions",54
"East Coast Bays","North Island general electorates","Other Māori Christian Religions",0
"Epsom","North Island general electorates","Other Māori Christian Religions",0
"Hamilton East","North Island general electorates","Other Māori Christian Religions",9
"Hamilton West","North Island general electorates","Other Māori Christian Religions",3
"Helensville","North Island general electorates","Other Māori Christian Religions",0
"Hunua","North Island general electorates","Other Māori Christian Religions",3
"Hutt South","North Island general electorates","Other Māori Christian Religions",12
"Kelston","North Island general electorates","Other Māori Christian Religions",15
"Mana","North Island general electorates","Other Māori Christian Religions",6
"Mangere","North Island general electorates","Other Māori Christian Religions",15
"Manukau East","North Island general electorates","Other Māori Christian Religions",12
"Manurewa","North Island general electorates","Other Māori Christian Religions",9
"Maungakiekie","North Island general electorates","Other Māori Christian Religions",9
"Mt Albert","North Island general electorates","Other Māori Christian Religions",6
"Mt Roskill","North Island general electorates","Other Māori Christian Religions",0
"Napier","North Island general electorates","Other Māori Christian Religions",18
"New Lynn","North Island general electorates","Other Māori Christian Religions",3
"New Plymouth","North Island general electorates","Other Māori Christian Religions",9
"North Shore","North Island general electorates","Other Māori Christian Religions",0
"Northcote","North Island general electorates","Other Māori Christian Religions",0
"Northland","North Island general electorates","Other Māori Christian Religions",63
"Ohariu","North Island general electorates","Other Māori Christian Religions",6
"Otaki","North Island general electorates","Other Māori Christian Religions",21
"Pakuranga","North Island general electorates","Other Māori Christian Religions",0
"Palmerston North","North Island general electorates","Other Māori Christian Religions",3
"Papakura","North Island general electorates","Other Māori Christian Religions",15
"Rangitikei","North Island general electorates","Other Māori Christian Religions",18
"Rimutaka","North Island general electorates","Other Māori Christian Religions",6
"Rodney","North Island general electorates","Other Māori Christian Religions",3
"Rongotai","North Island general electorates","Other Māori Christian Religions",9
"Rotorua","North Island general electorates","Other Māori Christian Religions",24
"Tamaki","North Island general electorates","Other Māori Christian Religions",3
"Taranaki-King Country","North Island general electorates","Other Māori Christian Religions",9
"Taupo","North Island general electorates","Other Māori Christian Religions",21
"Tauranga","North Island general electorates","Other Māori Christian Religions",9
"Te Atatu","North Island general electorates","Other Māori Christian Religions",18
"Tukituki","North Island general electorates","Other Māori Christian Religions",18
"Upper Harbour","North Island general electorates","Other Māori Christian Religions",3
"Waikato","North Island general electorates","Other Māori Christian Religions",3
"Wairarapa","North Island general electorates","Other Māori Christian Religions",6
"Wellington Central","North Island general electorates","Other Māori Christian Religions",3
"Whanganui","North Island general electorates","Other Māori Christian Religions",30
"Whangarei","North Island general electorates","Other Māori Christian Religions",33
"Christchurch Central","South Island general electorates","Other Māori Christian Religions",0
"Christchurch East","South Island general electorates","Other Māori Christian Religions",3
"Clutha-Southland","South Island general electorates","Other Māori Christian Religions",0
"Dunedin North","South Island general electorates","Other Māori Christian Religions",0
"Dunedin South","South Island general electorates","Other Māori Christian Religions",6
"Ilam","South Island general electorates","Other Māori Christian Religions",6
"Invercargill","South Island general electorates","Other Māori Christian Religions",3
"Kaikoura","South Island general electorates","Other Māori Christian Religions",3
"Nelson","South Island general electorates","Other Māori Christian Religions",3
"Port Hills","South Island general electorates","Other Māori Christian Religions",3
"Rangitata","South Island general electorates","Other Māori Christian Religions",0
"Selwyn","South Island general electorates","Other Māori Christian Religions",3
"Waimakariri","South Island general electorates","Other Māori Christian Religions",3
"Waitaki","South Island general electorates","Other Māori Christian Religions",0
"West Coast-Tasman","South Island general electorates","Other Māori Christian Religions",3
"Wigram","South Island general electorates","Other Māori Christian Religions",6
"Area Outside General Electorate","South Island general electorates","Other Māori Christian Religions",NA
"Auckland Central","North Island general electorates","Buddhist",2016
"Bay of Plenty","North Island general electorates","Buddhist",354
"Botany","North Island general electorates","Buddhist",2883
"Coromandel","North Island general electorates","Buddhist",573
"East Coast","North Island general electorates","Buddhist",414
"East Coast Bays","North Island general electorates","Buddhist",1359
"Epsom","North Island general electorates","Buddhist",2235
"Hamilton East","North Island general electorates","Buddhist",1152
"Hamilton West","North Island general electorates","Buddhist",975
"Helensville","North Island general electorates","Buddhist",582
"Hunua","North Island general electorates","Buddhist",903
"Hutt South","North Island general electorates","Buddhist",879
"Kelston","North Island general electorates","Buddhist",1509
"Mana","North Island general electorates","Buddhist",936
"Mangere","North Island general electorates","Buddhist",753
"Manukau East","North Island general electorates","Buddhist",1599
"Manurewa","North Island general electorates","Buddhist",1779
"Maungakiekie","North Island general electorates","Buddhist",1995
"Mt Albert","North Island general electorates","Buddhist",1335
"Mt Roskill","North Island general electorates","Buddhist",1872
"Napier","North Island general electorates","Buddhist",609
"New Lynn","North Island general electorates","Buddhist",1437
"New Plymouth","North Island general electorates","Buddhist",453
"North Shore","North Island general electorates","Buddhist",1173
"Northcote","North Island general electorates","Buddhist",1518
"Northland","North Island general electorates","Buddhist",456
"Ohariu","North Island general electorates","Buddhist",1185
"Otaki","North Island general electorates","Buddhist",378
"Pakuranga","North Island general electorates","Buddhist",2031
"Palmerston North","North Island general electorates","Buddhist",810
"Papakura","North Island general electorates","Buddhist",993
"Rangitikei","North Island general electorates","Buddhist",384
"Rimutaka","North Island general electorates","Buddhist",837
"Rodney","North Island general electorates","Buddhist",582
"Rongotai","North Island general electorates","Buddhist",1272
"Rotorua","North Island general electorates","Buddhist",525
"Tamaki","North Island general electorates","Buddhist",1281
"Taranaki-King Country","North Island general electorates","Buddhist",336
"Taupo","North Island general electorates","Buddhist",456
"Tauranga","North Island general electorates","Buddhist",507
"Te Atatu","North Island general electorates","Buddhist",1521
"Tukituki","North Island general electorates","Buddhist",579
"Upper Harbour","North Island general electorates","Buddhist",1407
"Waikato","North Island general electorates","Buddhist",432
"Wairarapa","North Island general electorates","Buddhist",327
"Wellington Central","North Island general electorates","Buddhist",1338
"Whanganui","North Island general electorates","Buddhist",288
"Whangarei","North Island general electorates","Buddhist",504
"Christchurch Central","South Island general electorates","Buddhist",780
"Christchurch East","South Island general electorates","Buddhist",462
"Clutha-Southland","South Island general electorates","Buddhist",483
"Dunedin North","South Island general electorates","Buddhist",792
"Dunedin South","South Island general electorates","Buddhist",417
"Ilam","South Island general electorates","Buddhist",1104
"Invercargill","South Island general electorates","Buddhist",306
"Kaikoura","South Island general electorates","Buddhist",411
"Nelson","South Island general electorates","Buddhist",711
"Port Hills","South Island general electorates","Buddhist",573
"Rangitata","South Island general electorates","Buddhist",240
"Selwyn","South Island general electorates","Buddhist",315
"Waimakariri","South Island general electorates","Buddhist",282
"Waitaki","South Island general electorates","Buddhist",354
"West Coast-Tasman","South Island general electorates","Buddhist",459
"Wigram","South Island general electorates","Buddhist",993
"Area Outside General Electorate","South Island general electorates","Buddhist",NA
"Auckland Central","North Island general electorates","Hindu",2436
"Bay of Plenty","North Island general electorates","Hindu",342
"Botany","North Island general electorates","Hindu",4143
"Coromandel","North Island general electorates","Hindu",489
"East Coast","North Island general electorates","Hindu",375
"East Coast Bays","North Island general electorates","Hindu",771
"Epsom","North Island general electorates","Hindu",2088
"Hamilton East","North Island general electorates","Hindu",1713
"Hamilton West","North Island general electorates","Hindu",2061
"Helensville","North Island general electorates","Hindu",399
"Hunua","North Island general electorates","Hindu",1668
"Hutt South","North Island general electorates","Hindu",2361
"Kelston","North Island general electorates","Hindu",3183
"Mana","North Island general electorates","Hindu",690
"Mangere","North Island general electorates","Hindu",3315
"Manukau East","North Island general electorates","Hindu",7245
"Manurewa","North Island general electorates","Hindu",5427
"Maungakiekie","North Island general electorates","Hindu",3084
"Mt Albert","North Island general electorates","Hindu",2772
"Mt Roskill","North Island general electorates","Hindu",5991
"Napier","North Island general electorates","Hindu",294
"New Lynn","North Island general electorates","Hindu",6135
"New Plymouth","North Island general electorates","Hindu",480
"North Shore","North Island general electorates","Hindu",618
"Northcote","North Island general electorates","Hindu",1269
"Northland","North Island general electorates","Hindu",318
"Ohariu","North Island general electorates","Hindu",1941
"Otaki","North Island general electorates","Hindu",291
"Pakuranga","North Island general electorates","Hindu",1896
"Palmerston North","North Island general electorates","Hindu",1041
"Papakura","North Island general electorates","Hindu",2760
"Rangitikei","North Island general electorates","Hindu",318
"Rimutaka","North Island general electorates","Hindu",1020
"Rodney","North Island general electorates","Hindu",330
"Rongotai","North Island general electorates","Hindu",2358
"Rotorua","North Island general electorates","Hindu",1023
"Tamaki","North Island general electorates","Hindu",975
"Taranaki-King Country","North Island general electorates","Hindu",306
"Taupo","North Island general electorates","Hindu",414
"Tauranga","North Island general electorates","Hindu",591
"Te Atatu","North Island general electorates","Hindu",2652
"Tukituki","North Island general electorates","Hindu",633
"Upper Harbour","North Island general electorates","Hindu",2262
"Waikato","North Island general electorates","Hindu",495
"Wairarapa","North Island general electorates","Hindu",243
"Wellington Central","North Island general electorates","Hindu",1542
"Whanganui","North Island general electorates","Hindu",408
"Whangarei","North Island general electorates","Hindu",429
"Christchurch Central","South Island general electorates","Hindu",990
"Christchurch East","South Island general electorates","Hindu",399
"Clutha-Southland","South Island general electorates","Hindu",390
"Dunedin North","South Island general electorates","Hindu",630
"Dunedin South","South Island general electorates","Hindu",216
"Ilam","South Island general electorates","Hindu",552
"Invercargill","South Island general electorates","Hindu",282
"Kaikoura","South Island general electorates","Hindu",264
"Nelson","South Island general electorates","Hindu",279
"Port Hills","South Island general electorates","Hindu",477
"Rangitata","South Island general electorates","Hindu",300
"Selwyn","South Island general electorates","Hindu",195
"Waimakariri","South Island general electorates","Hindu",144
"Waitaki","South Island general electorates","Hindu",201
"West Coast-Tasman","South Island general electorates","Hindu",213
"Wigram","South Island general electorates","Hindu",774
"Area Outside General Electorate","South Island general electorates","Hindu",NA
"Auckland Central","North Island general electorates","Islam/Muslim",1320
"Bay of Plenty","North Island general electorates","Islam/Muslim",123
"Botany","North Island general electorates","Islam/Muslim",1929
"Coromandel","North Island general electorates","Islam/Muslim",117
"East Coast","North Island general electorates","Islam/Muslim",162
"East Coast Bays","North Island general electorates","Islam/Muslim",636
"Epsom","North Island general electorates","Islam/Muslim",765
"Hamilton East","North Island general electorates","Islam/Muslim",1641
"Hamilton West","North Island general electorates","Islam/Muslim",813
"Helensville","North Island general electorates","Islam/Muslim",213
"Hunua","North Island general electorates","Islam/Muslim",423
"Hutt South","North Island general electorates","Islam/Muslim",450
"Kelston","North Island general electorates","Islam/Muslim",1821
"Mana","North Island general electorates","Islam/Muslim",492
"Mangere","North Island general electorates","Islam/Muslim",3081
"Manukau East","North Island general electorates","Islam/Muslim",2925
"Manurewa","North Island general electorates","Islam/Muslim",1761
"Maungakiekie","North Island general electorates","Islam/Muslim",1329
"Mt Albert","North Island general electorates","Islam/Muslim",1548
"Mt Roskill","North Island general electorates","Islam/Muslim",3348
"Napier","North Island general electorates","Islam/Muslim",330
"New Lynn","North Island general electorates","Islam/Muslim",3195
"New Plymouth","North Island general electorates","Islam/Muslim",282
"North Shore","North Island general electorates","Islam/Muslim",471
"Northcote","North Island general electorates","Islam/Muslim",840
"Northland","North Island general electorates","Islam/Muslim",135
"Ohariu","North Island general electorates","Islam/Muslim",729
"Otaki","North Island general electorates","Islam/Muslim",105
"Pakuranga","North Island general electorates","Islam/Muslim",978
"Palmerston North","North Island general electorates","Islam/Muslim",816
"Papakura","North Island general electorates","Islam/Muslim",789
"Rangitikei","North Island general electorates","Islam/Muslim",270
"Rimutaka","North Island general electorates","Islam/Muslim",456
"Rodney","North Island general electorates","Islam/Muslim",123
"Rongotai","North Island general electorates","Islam/Muslim",1041
"Rotorua","North Island general electorates","Islam/Muslim",210
"Tamaki","North Island general electorates","Islam/Muslim",756
"Taranaki-King Country","North Island general electorates","Islam/Muslim",132
"Taupo","North Island general electorates","Islam/Muslim",129
"Tauranga","North Island general electorates","Islam/Muslim",228
"Te Atatu","North Island general electorates","Islam/Muslim",1614
"Tukituki","North Island general electorates","Islam/Muslim",411
"Upper Harbour","North Island general electorates","Islam/Muslim",1284
"Waikato","North Island general electorates","Islam/Muslim",126
"Wairarapa","North Island general electorates","Islam/Muslim",102
"Wellington Central","North Island general electorates","Islam/Muslim",747
"Whanganui","North Island general electorates","Islam/Muslim",210
"Whangarei","North Island general electorates","Islam/Muslim",144
"Christchurch Central","South Island general electorates","Islam/Muslim",585
"Christchurch East","South Island general electorates","Islam/Muslim",330
"Clutha-Southland","South Island general electorates","Islam/Muslim",156
"Dunedin North","South Island general electorates","Islam/Muslim",696
"Dunedin South","South Island general electorates","Islam/Muslim",171
"Ilam","South Island general electorates","Islam/Muslim",645
"Invercargill","South Island general electorates","Islam/Muslim",141
"Kaikoura","South Island general electorates","Islam/Muslim",99
"Nelson","South Island general electorates","Islam/Muslim",108
"Port Hills","South Island general electorates","Islam/Muslim",267
"Rangitata","South Island general electorates","Islam/Muslim",141
"Selwyn","South Island general electorates","Islam/Muslim",183
"Waimakariri","South Island general electorates","Islam/Muslim",159
"Waitaki","South Island general electorates","Islam/Muslim",120
"West Coast-Tasman","South Island general electorates","Islam/Muslim",93
"Wigram","South Island general electorates","Islam/Muslim",687
"Area Outside General Electorate","South Island general electorates","Islam/Muslim",NA
"Auckland Central","North Island general electorates","Judaism/ Jewish",219
"Bay of Plenty","North Island general electorates","Judaism/ Jewish",90
"Botany","North Island general electorates","Judaism/ Jewish",78
"Coromandel","North Island general electorates","Judaism/ Jewish",60
"East Coast","North Island general electorates","Judaism/ Jewish",78
"East Coast Bays","North Island general electorates","Judaism/ Jewish",123
"Epsom","North Island general electorates","Judaism/ Jewish",306
"Hamilton East","North Island general electorates","Judaism/ Jewish",96
"Hamilton West","North Island general electorates","Judaism/ Jewish",63
"Helensville","North Island general electorates","Judaism/ Jewish",111
"Hunua","North Island general electorates","Judaism/ Jewish",51
"Hutt South","North Island general electorates","Judaism/ Jewish",120
"Kelston","North Island general electorates","Judaism/ Jewish",84
"Mana","North Island general electorates","Judaism/ Jewish",117
"Mangere","North Island general electorates","Judaism/ Jewish",39
"Manukau East","North Island general electorates","Judaism/ Jewish",45
"Manurewa","North Island general electorates","Judaism/ Jewish",30
"Maungakiekie","North Island general electorates","Judaism/ Jewish",183
"Mt Albert","North Island general electorates","Judaism/ Jewish",207
"Mt Roskill","North Island general electorates","Judaism/ Jewish",108
"Napier","North Island general electorates","Judaism/ Jewish",84
"New Lynn","North Island general electorates","Judaism/ Jewish",96
"New Plymouth","North Island general electorates","Judaism/ Jewish",57
"North Shore","North Island general electorates","Judaism/ Jewish",219
"Northcote","North Island general electorates","Judaism/ Jewish",150
"Northland","North Island general electorates","Judaism/ Jewish",102
"Ohariu","North Island general electorates","Judaism/ Jewish",183
"Otaki","North Island general electorates","Judaism/ Jewish",72
"Pakuranga","North Island general electorates","Judaism/ Jewish",111
"Palmerston North","North Island general electorates","Judaism/ Jewish",60
"Papakura","North Island general electorates","Judaism/ Jewish",72
"Rangitikei","North Island general electorates","Judaism/ Jewish",66
"Rimutaka","North Island general electorates","Judaism/ Jewish",90
"Rodney","North Island general electorates","Judaism/ Jewish",117
"Rongotai","North Island general electorates","Judaism/ Jewish",213
"Rotorua","North Island general electorates","Judaism/ Jewish",84
"Tamaki","North Island general electorates","Judaism/ Jewish",585
"Taranaki-King Country","North Island general electorates","Judaism/ Jewish",60
"Taupo","North Island general electorates","Judaism/ Jewish",54
"Tauranga","North Island general electorates","Judaism/ Jewish",84
"Te Atatu","North Island general electorates","Judaism/ Jewish",66
"Tukituki","North Island general electorates","Judaism/ Jewish",90
"Upper Harbour","North Island general electorates","Judaism/ Jewish",99
"Waikato","North Island general electorates","Judaism/ Jewish",87
"Wairarapa","North Island general electorates","Judaism/ Jewish",75
"Wellington Central","North Island general electorates","Judaism/ Jewish",354
"Whanganui","North Island general electorates","Judaism/ Jewish",75
"Whangarei","North Island general electorates","Judaism/ Jewish",81
"Christchurch Central","South Island general electorates","Judaism/ Jewish",81
"Christchurch East","South Island general electorates","Judaism/ Jewish",75
"Clutha-Southland","South Island general electorates","Judaism/ Jewish",90
"Dunedin North","South Island general electorates","Judaism/ Jewish",111
"Dunedin South","South Island general electorates","Judaism/ Jewish",63
"Ilam","South Island general electorates","Judaism/ Jewish",111
"Invercargill","South Island general electorates","Judaism/ Jewish",51
"Kaikoura","South Island general electorates","Judaism/ Jewish",45
"Nelson","South Island general electorates","Judaism/ Jewish",102
"Port Hills","South Island general electorates","Judaism/ Jewish",72
"Rangitata","South Island general electorates","Judaism/ Jewish",39
"Selwyn","South Island general electorates","Judaism/ Jewish",72
"Waimakariri","South Island general electorates","Judaism/ Jewish",45
"Waitaki","South Island general electorates","Judaism/ Jewish",84
"West Coast-Tasman","South Island general electorates","Judaism/ Jewish",75
"Wigram","South Island general electorates","Judaism/ Jewish",63
"Area Outside General Electorate","South Island general electorates","Judaism/ Jewish",NA
"Auckland Central","North Island general electorates","Spiritualism and New Age Religions",300
"Bay of Plenty","North Island general electorates","Spiritualism and New Age Religions",297
"Botany","North Island general electorates","Spiritualism and New Age Religions",132
"Coromandel","North Island general electorates","Spiritualism and New Age Religions",441
"East Coast","North Island general electorates","Spiritualism and New Age Religions",333
"East Coast Bays","North Island general electorates","Spiritualism and New Age Religions",192
"Epsom","North Island general electorates","Spiritualism and New Age Religions",201
"Hamilton East","North Island general electorates","Spiritualism and New Age Religions",288
"Hamilton West","North Island general electorates","Spiritualism and New Age Religions",336
"Helensville","North Island general electorates","Spiritualism and New Age Religions",369
"Hunua","North Island general electorates","Spiritualism and New Age Religions",261
"Hutt South","North Island general electorates","Spiritualism and New Age Religions",327
"Kelston","North Island general electorates","Spiritualism and New Age Religions",318
"Mana","North Island general electorates","Spiritualism and New Age Religions",342
"Mangere","North Island general electorates","Spiritualism and New Age Religions",126
"Manukau East","North Island general electorates","Spiritualism and New Age Religions",108
"Manurewa","North Island general electorates","Spiritualism and New Age Religions",180
"Maungakiekie","North Island general electorates","Spiritualism and New Age Religions",228
"Mt Albert","North Island general electorates","Spiritualism and New Age Religions",327
"Mt Roskill","North Island general electorates","Spiritualism and New Age Religions",177
"Napier","North Island general electorates","Spiritualism and New Age Religions",396
"New Lynn","North Island general electorates","Spiritualism and New Age Religions",246
"New Plymouth","North Island general electorates","Spiritualism and New Age Religions",345
"North Shore","North Island general electorates","Spiritualism and New Age Religions",243
"Northcote","North Island general electorates","Spiritualism and New Age Religions",309
"Northland","North Island general electorates","Spiritualism and New Age Religions",405
"Ohariu","North Island general electorates","Spiritualism and New Age Religions",207
"Otaki","North Island general electorates","Spiritualism and New Age Religions",369
"Pakuranga","North Island general electorates","Spiritualism and New Age Religions",210
"Palmerston North","North Island general electorates","Spiritualism and New Age Religions",339
"Papakura","North Island general electorates","Spiritualism and New Age Religions",249
"Rangitikei","North Island general electorates","Spiritualism and New Age Religions",306
"Rimutaka","North Island general electorates","Spiritualism and New Age Religions",354
"Rodney","North Island general electorates","Spiritualism and New Age Religions",339
"Rongotai","North Island general electorates","Spiritualism and New Age Religions",342
"Rotorua","North Island general electorates","Spiritualism and New Age Religions",330
"Tamaki","North Island general electorates","Spiritualism and New Age Religions",150
"Taranaki-King Country","North Island general electorates","Spiritualism and New Age Religions",300
"Taupo","North Island general electorates","Spiritualism and New Age Religions",321
"Tauranga","North Island general electorates","Spiritualism and New Age Religions",285
"Te Atatu","North Island general electorates","Spiritualism and New Age Religions",261
"Tukituki","North Island general electorates","Spiritualism and New Age Religions",327
"Upper Harbour","North Island general electorates","Spiritualism and New Age Religions",276
"Waikato","North Island general electorates","Spiritualism and New Age Religions",279
