"level0","level1","level2","Years at usual residence","count"
"Female","35–39 Years","Hauraki-Waikato","3 Years",288
"Male","40–44 Years","Hauraki-Waikato","3 Years",225
"Female","40–44 Years","Hauraki-Waikato","3 Years",279
"Male","45–49 Years","Hauraki-Waikato","3 Years",162
"Female","45–49 Years","Hauraki-Waikato","3 Years",204
"Male","50–54 Years","Hauraki-Waikato","3 Years",156
"Female","50–54 Years","Hauraki-Waikato","3 Years",171
"Male","55–59 Years","Hauraki-Waikato","3 Years",114
"Female","55–59 Years","Hauraki-Waikato","3 Years",123
"Male","60–64 Years","Hauraki-Waikato","3 Years",69
"Female","60–64 Years","Hauraki-Waikato","3 Years",87
"Male","65–69 Years","Hauraki-Waikato","3 Years",48
"Female","65–69 Years","Hauraki-Waikato","3 Years",54
"Male","70–74 Years","Hauraki-Waikato","3 Years",30
"Female","70–74 Years","Hauraki-Waikato","3 Years",27
"Male","75–79 Years","Hauraki-Waikato","3 Years",15
"Female","75–79 Years","Hauraki-Waikato","3 Years",15
"Male","80–84 Years","Hauraki-Waikato","3 Years",9
"Female","80–84 Years","Hauraki-Waikato","3 Years",18
"Male","85 Years And Over","Hauraki-Waikato","3 Years",0
"Female","85 Years And Over","Hauraki-Waikato","3 Years",6
"Male","0–4 Years","Ikaroa-Rāwhiti","3 Years",498
"Female","0–4 Years","Ikaroa-Rāwhiti","3 Years",522
"Male","5–9 Years","Ikaroa-Rāwhiti","3 Years",456
"Female","5–9 Years","Ikaroa-Rāwhiti","3 Years",447
"Male","10–14 Years","Ikaroa-Rāwhiti","3 Years",384
"Female","10–14 Years","Ikaroa-Rāwhiti","3 Years",342
"Male","15–19 Years","Ikaroa-Rāwhiti","3 Years",258
"Female","15–19 Years","Ikaroa-Rāwhiti","3 Years",210
"Male","20–24 Years","Ikaroa-Rāwhiti","3 Years",123
"Female","20–24 Years","Ikaroa-Rāwhiti","3 Years",177
"Male","25–29 Years","Ikaroa-Rāwhiti","3 Years",168
"Female","25–29 Years","Ikaroa-Rāwhiti","3 Years",249
"Male","30–34 Years","Ikaroa-Rāwhiti","3 Years",171
"Female","30–34 Years","Ikaroa-Rāwhiti","3 Years",282
"Male","35–39 Years","Ikaroa-Rāwhiti","3 Years",207
"Female","35–39 Years","Ikaroa-Rāwhiti","3 Years",255
"Male","40–44 Years","Ikaroa-Rāwhiti","3 Years",159
"Female","40–44 Years","Ikaroa-Rāwhiti","3 Years",243
"Male","45–49 Years","Ikaroa-Rāwhiti","3 Years",144
"Female","45–49 Years","Ikaroa-Rāwhiti","3 Years",195
"Male","50–54 Years","Ikaroa-Rāwhiti","3 Years",102
"Female","50–54 Years","Ikaroa-Rāwhiti","3 Years",141
"Male","55–59 Years","Ikaroa-Rāwhiti","3 Years",93
"Female","55–59 Years","Ikaroa-Rāwhiti","3 Years",108
"Male","60–64 Years","Ikaroa-Rāwhiti","3 Years",69
"Female","60–64 Years","Ikaroa-Rāwhiti","3 Years",72
"Male","65–69 Years","Ikaroa-Rāwhiti","3 Years",39
"Female","65–69 Years","Ikaroa-Rāwhiti","3 Years",51
"Male","70–74 Years","Ikaroa-Rāwhiti","3 Years",21
"Female","70–74 Years","Ikaroa-Rāwhiti","3 Years",33
"Male","75–79 Years","Ikaroa-Rāwhiti","3 Years",12
"Female","75–79 Years","Ikaroa-Rāwhiti","3 Years",15
"Male","80–84 Years","Ikaroa-Rāwhiti","3 Years",9
"Female","80–84 Years","Ikaroa-Rāwhiti","3 Years",12
"Male","85 Years And Over","Ikaroa-Rāwhiti","3 Years",9
"Female","85 Years And Over","Ikaroa-Rāwhiti","3 Years",12
"Male","0–4 Years","Tāmaki Makaurau","3 Years",588
"Female","0–4 Years","Tāmaki Makaurau","3 Years",576
"Male","5–9 Years","Tāmaki Makaurau","3 Years",444
"Female","5–9 Years","Tāmaki Makaurau","3 Years",414
"Male","10–14 Years","Tāmaki Makaurau","3 Years",360
"Female","10–14 Years","Tāmaki Makaurau","3 Years",309
"Male","15–19 Years","Tāmaki Makaurau","3 Years",258
"Female","15–19 Years","Tāmaki Makaurau","3 Years",267
"Male","20–24 Years","Tāmaki Makaurau","3 Years",177
"Female","20–24 Years","Tāmaki Makaurau","3 Years",225
"Male","25–29 Years","Tāmaki Makaurau","3 Years",165
"Female","25–29 Years","Tāmaki Makaurau","3 Years",300
"Male","30–34 Years","Tāmaki Makaurau","3 Years",180
"Female","30–34 Years","Tāmaki Makaurau","3 Years",312
"Male","35–39 Years","Tāmaki Makaurau","3 Years",237
"Female","35–39 Years","Tāmaki Makaurau","3 Years",279
"Male","40–44 Years","Tāmaki Makaurau","3 Years",201
"Female","40–44 Years","Tāmaki Makaurau","3 Years",240
"Male","45–49 Years","Tāmaki Makaurau","3 Years",162
"Female","45–49 Years","Tāmaki Makaurau","3 Years",162
"Male","50–54 Years","Tāmaki Makaurau","3 Years",114
"Female","50–54 Years","Tāmaki Makaurau","3 Years",132
"Male","55–59 Years","Tāmaki Makaurau","3 Years",72
"Female","55–59 Years","Tāmaki Makaurau","3 Years",90
"Male","60–64 Years","Tāmaki Makaurau","3 Years",54
"Female","60–64 Years","Tāmaki Makaurau","3 Years",69
"Male","65–69 Years","Tāmaki Makaurau","3 Years",39
"Female","65–69 Years","Tāmaki Makaurau","3 Years",39
"Male","70–74 Years","Tāmaki Makaurau","3 Years",21
"Female","70–74 Years","Tāmaki Makaurau","3 Years",24
"Male","75–79 Years","Tāmaki Makaurau","3 Years",9
"Female","75–79 Years","Tāmaki Makaurau","3 Years",15
"Male","80–84 Years","Tāmaki Makaurau","3 Years",6
"Female","80–84 Years","Tāmaki Makaurau","3 Years",6
"Male","85 Years And Over","Tāmaki Makaurau","3 Years",0
"Female","85 Years And Over","Tāmaki Makaurau","3 Years",6
"Male","0–4 Years","Te Tai Hauāuru","3 Years",591
"Female","0–4 Years","Te Tai Hauāuru","3 Years",555
"Male","5–9 Years","Te Tai Hauāuru","3 Years",525
"Female","5–9 Years","Te Tai Hauāuru","3 Years",504
"Male","10–14 Years","Te Tai Hauāuru","3 Years",444
"Female","10–14 Years","Te Tai Hauāuru","3 Years",438
"Male","15–19 Years","Te Tai Hauāuru","3 Years",318
"Female","15–19 Years","Te Tai Hauāuru","3 Years",303
"Male","20–24 Years","Te Tai Hauāuru","3 Years",165
"Female","20–24 Years","Te Tai Hauāuru","3 Years",210
"Male","25–29 Years","Te Tai Hauāuru","3 Years",174
"Female","25–29 Years","Te Tai Hauāuru","3 Years",285
"Male","30–34 Years","Te Tai Hauāuru","3 Years",252
"Female","30–34 Years","Te Tai Hauāuru","3 Years",318
"Male","35–39 Years","Te Tai Hauāuru","3 Years",207
"Female","35–39 Years","Te Tai Hauāuru","3 Years",276
"Male","40–44 Years","Te Tai Hauāuru","3 Years",216
"Female","40–44 Years","Te Tai Hauāuru","3 Years",249
"Male","45–49 Years","Te Tai Hauāuru","3 Years",183
"Female","45–49 Years","Te Tai Hauāuru","3 Years",204
"Male","50–54 Years","Te Tai Hauāuru","3 Years",162
"Female","50–54 Years","Te Tai Hauāuru","3 Years",159
"Male","55–59 Years","Te Tai Hauāuru","3 Years",102
"Female","55–59 Years","Te Tai Hauāuru","3 Years",108
"Male","60–64 Years","Te Tai Hauāuru","3 Years",69
"Female","60–64 Years","Te Tai Hauāuru","3 Years",96
"Male","65–69 Years","Te Tai Hauāuru","3 Years",45
"Female","65–69 Years","Te Tai Hauāuru","3 Years",69
"Male","70–74 Years","Te Tai Hauāuru","3 Years",45
"Female","70–74 Years","Te Tai Hauāuru","3 Years",36
"Male","75–79 Years","Te Tai Hauāuru","3 Years",18
"Female","75–79 Years","Te Tai Hauāuru","3 Years",24
"Male","80–84 Years","Te Tai Hauāuru","3 Years",6
"Female","80–84 Years","Te Tai Hauāuru","3 Years",6
"Male","85 Years And Over","Te Tai Hauāuru","3 Years",3
"Female","85 Years And Over","Te Tai Hauāuru","3 Years",12
"Male","0–4 Years","Te Tai Tokerau","3 Years",615
"Female","0–4 Years","Te Tai Tokerau","3 Years",564
"Male","5–9 Years","Te Tai Tokerau","3 Years",504
"Female","5–9 Years","Te Tai Tokerau","3 Years",498
"Male","10–14 Years","Te Tai Tokerau","3 Years",393
"Female","10–14 Years","Te Tai Tokerau","3 Years",402
"Male","15–19 Years","Te Tai Tokerau","3 Years",261
"Female","15–19 Years","Te Tai Tokerau","3 Years",243
"Male","20–24 Years","Te Tai Tokerau","3 Years",162
"Female","20–24 Years","Te Tai Tokerau","3 Years",183
"Male","25–29 Years","Te Tai Tokerau","3 Years",171
"Female","25–29 Years","Te Tai Tokerau","3 Years",276
"Male","30–34 Years","Te Tai Tokerau","3 Years",219
"Female","30–34 Years","Te Tai Tokerau","3 Years",258
"Male","35–39 Years","Te Tai Tokerau","3 Years",219
"Female","35–39 Years","Te Tai Tokerau","3 Years",291
"Male","40–44 Years","Te Tai Tokerau","3 Years",243
"Female","40–44 Years","Te Tai Tokerau","3 Years",252
"Male","45–49 Years","Te Tai Tokerau","3 Years",204
"Female","45–49 Years","Te Tai Tokerau","3 Years",204
"Male","50–54 Years","Te Tai Tokerau","3 Years",156
"Female","50–54 Years","Te Tai Tokerau","3 Years",192
"Male","55–59 Years","Te Tai Tokerau","3 Years",129
"Female","55–59 Years","Te Tai Tokerau","3 Years",144
"Male","60–64 Years","Te Tai Tokerau","3 Years",84
"Female","60–64 Years","Te Tai Tokerau","3 Years",96
"Male","65–69 Years","Te Tai Tokerau","3 Years",42
"Female","65–69 Years","Te Tai Tokerau","3 Years",48
"Male","70–74 Years","Te Tai Tokerau","3 Years",42
"Female","70–74 Years","Te Tai Tokerau","3 Years",42
"Male","75–79 Years","Te Tai Tokerau","3 Years",12
"Female","75–79 Years","Te Tai Tokerau","3 Years",15
"Male","80–84 Years","Te Tai Tokerau","3 Years",15
"Female","80–84 Years","Te Tai Tokerau","3 Years",15
"Male","85 Years And Over","Te Tai Tokerau","3 Years",6
"Female","85 Years And Over","Te Tai Tokerau","3 Years",12
"Male","0–4 Years","Te Tai Tonga","3 Years",765
"Female","0–4 Years","Te Tai Tonga","3 Years",714
"Male","5–9 Years","Te Tai Tonga","3 Years",639
"Female","5–9 Years","Te Tai Tonga","3 Years",576
"Male","10–14 Years","Te Tai Tonga","3 Years",471
"Female","10–14 Years","Te Tai Tonga","3 Years",474
"Male","15–19 Years","Te Tai Tonga","3 Years",330
"Female","15–19 Years","Te Tai Tonga","3 Years",303
"Male","20–24 Years","Te Tai Tonga","3 Years",210
"Female","20–24 Years","Te Tai Tonga","3 Years",222
"Male","25–29 Years","Te Tai Tonga","3 Years",285
"Female","25–29 Years","Te Tai Tonga","3 Years",345
"Male","30–34 Years","Te Tai Tonga","3 Years",318
"Female","30–34 Years","Te Tai Tonga","3 Years",387
"Male","35–39 Years","Te Tai Tonga","3 Years",321
"Female","35–39 Years","Te Tai Tonga","3 Years",339
"Male","40–44 Years","Te Tai Tonga","3 Years",306
"Female","40–44 Years","Te Tai Tonga","3 Years",339
"Male","45–49 Years","Te Tai Tonga","3 Years",219
"Female","45–49 Years","Te Tai Tonga","3 Years",255
"Male","50–54 Years","Te Tai Tonga","3 Years",201
"Female","50–54 Years","Te Tai Tonga","3 Years",201
"Male","55–59 Years","Te Tai Tonga","3 Years",117
"Female","55–59 Years","Te Tai Tonga","3 Years",135
"Male","60–64 Years","Te Tai Tonga","3 Years",108
"Female","60–64 Years","Te Tai Tonga","3 Years",90
"Male","65–69 Years","Te Tai Tonga","3 Years",51
"Female","65–69 Years","Te Tai Tonga","3 Years",51
"Male","70–74 Years","Te Tai Tonga","3 Years",27
"Female","70–74 Years","Te Tai Tonga","3 Years",36
"Male","75–79 Years","Te Tai Tonga","3 Years",21
"Female","75–79 Years","Te Tai Tonga","3 Years",24
"Male","80–84 Years","Te Tai Tonga","3 Years",15
"Female","80–84 Years","Te Tai Tonga","3 Years",9
"Male","85 Years And Over","Te Tai Tonga","3 Years",0
"Female","85 Years And Over","Te Tai Tonga","3 Years",6
"Male","0–4 Years","Waiariki","3 Years",462
"Female","0–4 Years","Waiariki","3 Years",435
"Male","5–9 Years","Waiariki","3 Years",435
"Female","5–9 Years","Waiariki","3 Years",393
"Male","10–14 Years","Waiariki","3 Years",357
"Female","10–14 Years","Waiariki","3 Years",315
"Male","15–19 Years","Waiariki","3 Years",231
"Female","15–19 Years","Waiariki","3 Years",228
"Male","20–24 Years","Waiariki","3 Years",138
"Female","20–24 Years","Waiariki","3 Years",159
"Male","25–29 Years","Waiariki","3 Years",147
"Female","25–29 Years","Waiariki","3 Years",222
"Male","30–34 Years","Waiariki","3 Years",159
"Female","30–34 Years","Waiariki","3 Years",231
"Male","35–39 Years","Waiariki","3 Years",180
"Female","35–39 Years","Waiariki","3 Years",243
"Male","40–44 Years","Waiariki","3 Years",189
"Female","40–44 Years","Waiariki","3 Years",240
"Male","45–49 Years","Waiariki","3 Years",147
"Female","45–49 Years","Waiariki","3 Years",201
"Male","50–54 Years","Waiariki","3 Years",138
"Female","50–54 Years","Waiariki","3 Years",174
"Male","55–59 Years","Waiariki","3 Years",75
"Female","55–59 Years","Waiariki","3 Years",117
"Male","60–64 Years","Waiariki","3 Years",69
"Female","60–64 Years","Waiariki","3 Years",72
"Male","65–69 Years","Waiariki","3 Years",48
"Female","65–69 Years","Waiariki","3 Years",48
"Male","70–74 Years","Waiariki","3 Years",24
"Female","70–74 Years","Waiariki","3 Years",27
"Male","75–79 Years","Waiariki","3 Years",12
"Female","75–79 Years","Waiariki","3 Years",18
"Male","80–84 Years","Waiariki","3 Years",6
"Female","80–84 Years","Waiariki","3 Years",12
"Male","85 Years And Over","Waiariki","3 Years",6
"Female","85 Years And Over","Waiariki","3 Years",3
"Male","0–4 Years","Area Outside Māori Electorate","3 Years",NA
"Female","0–4 Years","Area Outside Māori Electorate","3 Years",NA
"Male","5–9 Years","Area Outside Māori Electorate","3 Years",NA
"Female","5–9 Years","Area Outside Māori Electorate","3 Years",NA
"Male","10–14 Years","Area Outside Māori Electorate","3 Years",NA
"Female","10–14 Years","Area Outside Māori Electorate","3 Years",NA
"Male","15–19 Years","Area Outside Māori Electorate","3 Years",NA
"Female","15–19 Years","Area Outside Māori Electorate","3 Years",NA
"Male","20–24 Years","Area Outside Māori Electorate","3 Years",NA
"Female","20–24 Years","Area Outside Māori Electorate","3 Years",NA
"Male","25–29 Years","Area Outside Māori Electorate","3 Years",NA
"Female","25–29 Years","Area Outside Māori Electorate","3 Years",NA
"Male","30–34 Years","Area Outside Māori Electorate","3 Years",NA
"Female","30–34 Years","Area Outside Māori Electorate","3 Years",NA
"Male","35–39 Years","Area Outside Māori Electorate","3 Years",NA
"Female","35–39 Years","Area Outside Māori Electorate","3 Years",NA
"Male","40–44 Years","Area Outside Māori Electorate","3 Years",NA
"Female","40–44 Years","Area Outside Māori Electorate","3 Years",NA
"Male","45–49 Years","Area Outside Māori Electorate","3 Years",NA
"Female","45–49 Years","Area Outside Māori Electorate","3 Years",NA
"Male","50–54 Years","Area Outside Māori Electorate","3 Years",NA
"Female","50–54 Years","Area Outside Māori Electorate","3 Years",NA
"Male","55–59 Years","Area Outside Māori Electorate","3 Years",NA
"Female","55–59 Years","Area Outside Māori Electorate","3 Years",NA
"Male","60–64 Years","Area Outside Māori Electorate","3 Years",NA
"Female","60–64 Years","Area Outside Māori Electorate","3 Years",NA
"Male","65–69 Years","Area Outside Māori Electorate","3 Years",NA
"Female","65–69 Years","Area Outside Māori Electorate","3 Years",NA
"Male","70–74 Years","Area Outside Māori Electorate","3 Years",NA
"Female","70–74 Years","Area Outside Māori Electorate","3 Years",NA
"Male","75–79 Years","Area Outside Māori Electorate","3 Years",NA
"Female","75–79 Years","Area Outside Māori Electorate","3 Years",NA
"Male","80–84 Years","Area Outside Māori Electorate","3 Years",NA
"Female","80–84 Years","Area Outside Māori Electorate","3 Years",NA
"Male","85 Years And Over","Area Outside Māori Electorate","3 Years",NA
"Female","85 Years And Over","Area Outside Māori Electorate","3 Years",NA
"Male","0–4 Years","Hauraki-Waikato","4 Years",399
"Female","0–4 Years","Hauraki-Waikato","4 Years",357
"Male","5–9 Years","Hauraki-Waikato","4 Years",393
"Female","5–9 Years","Hauraki-Waikato","4 Years",360
"Male","10–14 Years","Hauraki-Waikato","4 Years",330
"Female","10–14 Years","Hauraki-Waikato","4 Years",276
"Male","15–19 Years","Hauraki-Waikato","4 Years",189
"Female","15–19 Years","Hauraki-Waikato","4 Years",210
"Male","20–24 Years","Hauraki-Waikato","4 Years",96
"Female","20–24 Years","Hauraki-Waikato","4 Years",111
"Male","25–29 Years","Hauraki-Waikato","4 Years",129
"Female","25–29 Years","Hauraki-Waikato","4 Years",189
"Male","30–34 Years","Hauraki-Waikato","4 Years",147
"Female","30–34 Years","Hauraki-Waikato","4 Years",189
"Male","35–39 Years","Hauraki-Waikato","4 Years",156
"Female","35–39 Years","Hauraki-Waikato","4 Years",228
"Male","40–44 Years","Hauraki-Waikato","4 Years",138
"Female","40–44 Years","Hauraki-Waikato","4 Years",177
"Male","45–49 Years","Hauraki-Waikato","4 Years",123
"Female","45–49 Years","Hauraki-Waikato","4 Years",156
"Male","50–54 Years","Hauraki-Waikato","4 Years",93
"Female","50–54 Years","Hauraki-Waikato","4 Years",126
"Male","55–59 Years","Hauraki-Waikato","4 Years",72
"Female","55–59 Years","Hauraki-Waikato","4 Years",93
"Male","60–64 Years","Hauraki-Waikato","4 Years",60
"Female","60–64 Years","Hauraki-Waikato","4 Years",87
"Male","65–69 Years","Hauraki-Waikato","4 Years",27
"Female","65–69 Years","Hauraki-Waikato","4 Years",33
"Male","70–74 Years","Hauraki-Waikato","4 Years",27
"Female","70–74 Years","Hauraki-Waikato","4 Years",21
"Male","75–79 Years","Hauraki-Waikato","4 Years",12
"Female","75–79 Years","Hauraki-Waikato","4 Years",18
"Male","80–84 Years","Hauraki-Waikato","4 Years",9
"Female","80–84 Years","Hauraki-Waikato","4 Years",9
"Male","85 Years And Over","Hauraki-Waikato","4 Years",3
"Female","85 Years And Over","Hauraki-Waikato","4 Years",3
"Male","0–4 Years","Ikaroa-Rāwhiti","4 Years",393
"Female","0–4 Years","Ikaroa-Rāwhiti","4 Years",312
"Male","5–9 Years","Ikaroa-Rāwhiti","4 Years",309
"Female","5–9 Years","Ikaroa-Rāwhiti","4 Years",303
"Male","10–14 Years","Ikaroa-Rāwhiti","4 Years",279
"Female","10–14 Years","Ikaroa-Rāwhiti","4 Years",282
"Male","15–19 Years","Ikaroa-Rāwhiti","4 Years",168
"Female","15–19 Years","Ikaroa-Rāwhiti","4 Years",174
"Male","20–24 Years","Ikaroa-Rāwhiti","4 Years",78
"Female","20–24 Years","Ikaroa-Rāwhiti","4 Years",108
"Male","25–29 Years","Ikaroa-Rāwhiti","4 Years",87
"Female","25–29 Years","Ikaroa-Rāwhiti","4 Years",156
"Male","30–34 Years","Ikaroa-Rāwhiti","4 Years",117
"Female","30–34 Years","Ikaroa-Rāwhiti","4 Years",177
"Male","35–39 Years","Ikaroa-Rāwhiti","4 Years",111
"Female","35–39 Years","Ikaroa-Rāwhiti","4 Years",177
"Male","40–44 Years","Ikaroa-Rāwhiti","4 Years",120
"Female","40–44 Years","Ikaroa-Rāwhiti","4 Years",177
"Male","45–49 Years","Ikaroa-Rāwhiti","4 Years",96
"Female","45–49 Years","Ikaroa-Rāwhiti","4 Years",135
"Male","50–54 Years","Ikaroa-Rāwhiti","4 Years",90
"Female","50–54 Years","Ikaroa-Rāwhiti","4 Years",93
"Male","55–59 Years","Ikaroa-Rāwhiti","4 Years",78
"Female","55–59 Years","Ikaroa-Rāwhiti","4 Years",75
"Male","60–64 Years","Ikaroa-Rāwhiti","4 Years",54
"Female","60–64 Years","Ikaroa-Rāwhiti","4 Years",51
"Male","65–69 Years","Ikaroa-Rāwhiti","4 Years",27
"Female","65–69 Years","Ikaroa-Rāwhiti","4 Years",36
"Male","70–74 Years","Ikaroa-Rāwhiti","4 Years",21
"Female","70–74 Years","Ikaroa-Rāwhiti","4 Years",21
"Male","75–79 Years","Ikaroa-Rāwhiti","4 Years",6
"Female","75–79 Years","Ikaroa-Rāwhiti","4 Years",12
"Male","80–84 Years","Ikaroa-Rāwhiti","4 Years",6
"Female","80–84 Years","Ikaroa-Rāwhiti","4 Years",6
"Male","85 Years And Over","Ikaroa-Rāwhiti","4 Years",3
"Female","85 Years And Over","Ikaroa-Rāwhiti","4 Years",6
"Male","0–4 Years","Tāmaki Makaurau","4 Years",399
"Female","0–4 Years","Tāmaki Makaurau","4 Years",390
"Male","5–9 Years","Tāmaki Makaurau","4 Years",282
"Female","5–9 Years","Tāmaki Makaurau","4 Years",324
"Male","10–14 Years","Tāmaki Makaurau","4 Years",216
"Female","10–14 Years","Tāmaki Makaurau","4 Years",213
"Male","15–19 Years","Tāmaki Makaurau","4 Years",147
"Female","15–19 Years","Tāmaki Makaurau","4 Years",162
"Male","20–24 Years","Tāmaki Makaurau","4 Years",99
"Female","20–24 Years","Tāmaki Makaurau","4 Years",132
"Male","25–29 Years","Tāmaki Makaurau","4 Years",102
"Female","25–29 Years","Tāmaki Makaurau","4 Years",171
"Male","30–34 Years","Tāmaki Makaurau","4 Years",129
"Female","30–34 Years","Tāmaki Makaurau","4 Years",204
"Male","35–39 Years","Tāmaki Makaurau","4 Years",117
"Female","35–39 Years","Tāmaki Makaurau","4 Years",195
"Male","40–44 Years","Tāmaki Makaurau","4 Years",165
"Female","40–44 Years","Tāmaki Makaurau","4 Years",177
"Male","45–49 Years","Tāmaki Makaurau","4 Years",114
"Female","45–49 Years","Tāmaki Makaurau","4 Years",129
"Male","50–54 Years","Tāmaki Makaurau","4 Years",93
"Female","50–54 Years","Tāmaki Makaurau","4 Years",111
"Male","55–59 Years","Tāmaki Makaurau","4 Years",54
"Female","55–59 Years","Tāmaki Makaurau","4 Years",54
"Male","60–64 Years","Tāmaki Makaurau","4 Years",24
"Female","60–64 Years","Tāmaki Makaurau","4 Years",57
"Male","65–69 Years","Tāmaki Makaurau","4 Years",18
"Female","65–69 Years","Tāmaki Makaurau","4 Years",24
"Male","70–74 Years","Tāmaki Makaurau","4 Years",12
"Female","70–74 Years","Tāmaki Makaurau","4 Years",24
"Male","75–79 Years","Tāmaki Makaurau","4 Years",6
"Female","75–79 Years","Tāmaki Makaurau","4 Years",9
"Male","80–84 Years","Tāmaki Makaurau","4 Years",0
"Female","80–84 Years","Tāmaki Makaurau","4 Years",6
"Male","85 Years And Over","Tāmaki Makaurau","4 Years",0
"Female","85 Years And Over","Tāmaki Makaurau","4 Years",3
"Male","0–4 Years","Te Tai Hauāuru","4 Years",435
"Female","0–4 Years","Te Tai Hauāuru","4 Years",384
"Male","5–9 Years","Te Tai Hauāuru","4 Years",360
"Female","5–9 Years","Te Tai Hauāuru","4 Years",309
"Male","10–14 Years","Te Tai Hauāuru","4 Years",300
"Female","10–14 Years","Te Tai Hauāuru","4 Years",270
"Male","15–19 Years","Te Tai Hauāuru","4 Years",186
"Female","15–19 Years","Te Tai Hauāuru","4 Years",225
"Male","20–24 Years","Te Tai Hauāuru","4 Years",78
"Female","20–24 Years","Te Tai Hauāuru","4 Years",114
"Male","25–29 Years","Te Tai Hauāuru","4 Years",120
"Female","25–29 Years","Te Tai Hauāuru","4 Years",168
"Male","30–34 Years","Te Tai Hauāuru","4 Years",156
"Female","30–34 Years","Te Tai Hauāuru","4 Years",174
"Male","35–39 Years","Te Tai Hauāuru","4 Years",138
"Female","35–39 Years","Te Tai Hauāuru","4 Years",207
"Male","40–44 Years","Te Tai Hauāuru","4 Years",159
"Female","40–44 Years","Te Tai Hauāuru","4 Years",174
"Male","45–49 Years","Te Tai Hauāuru","4 Years",117
"Female","45–49 Years","Te Tai Hauāuru","4 Years",150
"Male","50–54 Years","Te Tai Hauāuru","4 Years",105
"Female","50–54 Years","Te Tai Hauāuru","4 Years",114
"Male","55–59 Years","Te Tai Hauāuru","4 Years",78
"Female","55–59 Years","Te Tai Hauāuru","4 Years",81
"Male","60–64 Years","Te Tai Hauāuru","4 Years",57
"Female","60–64 Years","Te Tai Hauāuru","4 Years",54
"Male","65–69 Years","Te Tai Hauāuru","4 Years",27
"Female","65–69 Years","Te Tai Hauāuru","4 Years",42
"Male","70–74 Years","Te Tai Hauāuru","4 Years",21
"Female","70–74 Years","Te Tai Hauāuru","4 Years",21
"Male","75–79 Years","Te Tai Hauāuru","4 Years",12
"Female","75–79 Years","Te Tai Hauāuru","4 Years",15
"Male","80–84 Years","Te Tai Hauāuru","4 Years",9
"Female","80–84 Years","Te Tai Hauāuru","4 Years",9
"Male","85 Years And Over","Te Tai Hauāuru","4 Years",3
"Female","85 Years And Over","Te Tai Hauāuru","4 Years",6
"Male","0–4 Years","Te Tai Tokerau","4 Years",462
"Female","0–4 Years","Te Tai Tokerau","4 Years",348
"Male","5–9 Years","Te Tai Tokerau","4 Years",375
"Female","5–9 Years","Te Tai Tokerau","4 Years",366
"Male","10–14 Years","Te Tai Tokerau","4 Years",270
"Female","10–14 Years","Te Tai Tokerau","4 Years",255
"Male","15–19 Years","Te Tai Tokerau","4 Years",210
"Female","15–19 Years","Te Tai Tokerau","4 Years",195
"Male","20–24 Years","Te Tai Tokerau","4 Years",99
"Female","20–24 Years","Te Tai Tokerau","4 Years",87
"Male","25–29 Years","Te Tai Tokerau","4 Years",105
"Female","25–29 Years","Te Tai Tokerau","4 Years",171
"Male","30–34 Years","Te Tai Tokerau","4 Years",144
"Female","30–34 Years","Te Tai Tokerau","4 Years",168
"Male","35–39 Years","Te Tai Tokerau","4 Years",144
"Female","35–39 Years","Te Tai Tokerau","4 Years",195
"Male","40–44 Years","Te Tai Tokerau","4 Years",153
"Female","40–44 Years","Te Tai Tokerau","4 Years",204
"Male","45–49 Years","Te Tai Tokerau","4 Years",105
"Female","45–49 Years","Te Tai Tokerau","4 Years",147
"Male","50–54 Years","Te Tai Tokerau","4 Years",105
"Female","50–54 Years","Te Tai Tokerau","4 Years",132
"Male","55–59 Years","Te Tai Tokerau","4 Years",63
"Female","55–59 Years","Te Tai Tokerau","4 Years",105
"Male","60–64 Years","Te Tai Tokerau","4 Years",63
"Female","60–64 Years","Te Tai Tokerau","4 Years",69
"Male","65–69 Years","Te Tai Tokerau","4 Years",36
"Female","65–69 Years","Te Tai Tokerau","4 Years",51
"Male","70–74 Years","Te Tai Tokerau","4 Years",30
"Female","70–74 Years","Te Tai Tokerau","4 Years",30
"Male","75–79 Years","Te Tai Tokerau","4 Years",6
"Female","75–79 Years","Te Tai Tokerau","4 Years",18
"Male","80–84 Years","Te Tai Tokerau","4 Years",9
"Female","80–84 Years","Te Tai Tokerau","4 Years",12
"Male","85 Years And Over","Te Tai Tokerau","4 Years",3
"Female","85 Years And Over","Te Tai Tokerau","4 Years",15
"Male","0–4 Years","Te Tai Tonga","4 Years",507
"Female","0–4 Years","Te Tai Tonga","4 Years",510
"Male","5–9 Years","Te Tai Tonga","4 Years",447
"Female","5–9 Years","Te Tai Tonga","4 Years",402
"Male","10–14 Years","Te Tai Tonga","4 Years",348
"Female","10–14 Years","Te Tai Tonga","4 Years",315
"Male","15–19 Years","Te Tai Tonga","4 Years",252
"Female","15–19 Years","Te Tai Tonga","4 Years",219
"Male","20–24 Years","Te Tai Tonga","4 Years",117
"Female","20–24 Years","Te Tai Tonga","4 Years",144
"Male","25–29 Years","Te Tai Tonga","4 Years",138
"Female","25–29 Years","Te Tai Tonga","4 Years",237
"Male","30–34 Years","Te Tai Tonga","4 Years",213
"Female","30–34 Years","Te Tai Tonga","4 Years",246
"Male","35–39 Years","Te Tai Tonga","4 Years",231
"Female","35–39 Years","Te Tai Tonga","4 Years",261
"Male","40–44 Years","Te Tai Tonga","4 Years",216
