"level0","level1","Partnership status in current relationship(1)","count"
"Maungakiekie","North Island general electorates","Non-partnered, never married and never in a civil union",13578
"Mt Albert","North Island general electorates","Non-partnered, never married and never in a civil union",15498
"Mt Roskill","North Island general electorates","Non-partnered, never married and never in a civil union",13266
"Napier","North Island general electorates","Non-partnered, never married and never in a civil union",11259
"New Lynn","North Island general electorates","Non-partnered, never married and never in a civil union",11553
"New Plymouth","North Island general electorates","Non-partnered, never married and never in a civil union",10641
"North Shore","North Island general electorates","Non-partnered, never married and never in a civil union",11541
"Northcote","North Island general electorates","Non-partnered, never married and never in a civil union",12225
"Northland","North Island general electorates","Non-partnered, never married and never in a civil union",11313
"Ohariu","North Island general electorates","Non-partnered, never married and never in a civil union",10119
"Otaki","North Island general electorates","Non-partnered, never married and never in a civil union",9105
"Pakuranga","North Island general electorates","Non-partnered, never married and never in a civil union",10779
"Palmerston North","North Island general electorates","Non-partnered, never married and never in a civil union",14532
"Papakura","North Island general electorates","Non-partnered, never married and never in a civil union",12624
"Rangitikei","North Island general electorates","Non-partnered, never married and never in a civil union",11028
"Rimutaka","North Island general electorates","Non-partnered, never married and never in a civil union",12201
"Rodney","North Island general electorates","Non-partnered, never married and never in a civil union",8247
"Rongotai","North Island general electorates","Non-partnered, never married and never in a civil union",14643
"Rotorua","North Island general electorates","Non-partnered, never married and never in a civil union",12267
"Tamaki","North Island general electorates","Non-partnered, never married and never in a civil union",9984
"Taranaki-King Country","North Island general electorates","Non-partnered, never married and never in a civil union",9492
"Taupo","North Island general electorates","Non-partnered, never married and never in a civil union",10872
"Tauranga","North Island general electorates","Non-partnered, never married and never in a civil union",9834
"Te Atatu","North Island general electorates","Non-partnered, never married and never in a civil union",12414
"Tukituki","North Island general electorates","Non-partnered, never married and never in a civil union",11358
"Upper Harbour","North Island general electorates","Non-partnered, never married and never in a civil union",12000
"Waikato","North Island general electorates","Non-partnered, never married and never in a civil union",10584
"Wairarapa","North Island general electorates","Non-partnered, never married and never in a civil union",9474
"Wellington Central","North Island general electorates","Non-partnered, never married and never in a civil union",22116
"Whanganui","North Island general electorates","Non-partnered, never married and never in a civil union",11454
"Whangarei","North Island general electorates","Non-partnered, never married and never in a civil union",10689
"Christchurch Central","South Island general electorates","Non-partnered, never married and never in a civil union",14676
"Christchurch East","South Island general electorates","Non-partnered, never married and never in a civil union",11736
"Clutha-Southland","South Island general electorates","Non-partnered, never married and never in a civil union",9567
"Dunedin North","South Island general electorates","Non-partnered, never married and never in a civil union",20616
"Dunedin South","South Island general electorates","Non-partnered, never married and never in a civil union",9885
"Ilam","South Island general electorates","Non-partnered, never married and never in a civil union",14112
"Invercargill","South Island general electorates","Non-partnered, never married and never in a civil union",10575
"Kaikoura","South Island general electorates","Non-partnered, never married and never in a civil union",8064
"Nelson","South Island general electorates","Non-partnered, never married and never in a civil union",9699
"Port Hills","South Island general electorates","Non-partnered, never married and never in a civil union",10314
"Rangitata","South Island general electorates","Non-partnered, never married and never in a civil union",8991
"Selwyn","South Island general electorates","Non-partnered, never married and never in a civil union",8685
"Waimakariri","South Island general electorates","Non-partnered, never married and never in a civil union",8217
"Waitaki","South Island general electorates","Non-partnered, never married and never in a civil union",7836
"West Coast-Tasman","South Island general electorates","Non-partnered, never married and never in a civil union",8505
"Wigram","South Island general electorates","Non-partnered, never married and never in a civil union",13932
"Area Outside General Electorate","South Island general electorates","Non-partnered, never married and never in a civil union",NA
"Auckland Central","North Island general electorates","Non-partnered, nfd",2145
"Bay of Plenty","North Island general electorates","Non-partnered, nfd",1191
"Botany","North Island general electorates","Non-partnered, nfd",1740
"Coromandel","North Island general electorates","Non-partnered, nfd",1449
"East Coast","North Island general electorates","Non-partnered, nfd",3093
"East Coast Bays","North Island general electorates","Non-partnered, nfd",1266
"Epsom","North Island general electorates","Non-partnered, nfd",1563
"Hamilton East","North Island general electorates","Non-partnered, nfd",2094
"Hamilton West","North Island general electorates","Non-partnered, nfd",1899
"Helensville","North Island general electorates","Non-partnered, nfd",834
"Hunua","North Island general electorates","Non-partnered, nfd",1176
"Hutt South","North Island general electorates","Non-partnered, nfd",1410
"Kelston","North Island general electorates","Non-partnered, nfd",1836
"Mana","North Island general electorates","Non-partnered, nfd",1797
"Mangere","North Island general electorates","Non-partnered, nfd",3123
"Manukau East","North Island general electorates","Non-partnered, nfd",2985
"Manurewa","North Island general electorates","Non-partnered, nfd",2976
"Maungakiekie","North Island general electorates","Non-partnered, nfd",2067
"Mt Albert","North Island general electorates","Non-partnered, nfd",1530
"Mt Roskill","North Island general electorates","Non-partnered, nfd",1956
"Napier","North Island general electorates","Non-partnered, nfd",1806
"New Lynn","North Island general electorates","Non-partnered, nfd",1755
"New Plymouth","North Island general electorates","Non-partnered, nfd",1599
"North Shore","North Island general electorates","Non-partnered, nfd",1272
"Northcote","North Island general electorates","Non-partnered, nfd",1524
"Northland","North Island general electorates","Non-partnered, nfd",2352
"Ohariu","North Island general electorates","Non-partnered, nfd",915
"Otaki","North Island general electorates","Non-partnered, nfd",1527
"Pakuranga","North Island general electorates","Non-partnered, nfd",1506
"Palmerston North","North Island general electorates","Non-partnered, nfd",1707
"Papakura","North Island general electorates","Non-partnered, nfd",2013
"Rangitikei","North Island general electorates","Non-partnered, nfd",1725
"Rimutaka","North Island general electorates","Non-partnered, nfd",1815
"Rodney","North Island general electorates","Non-partnered, nfd",957
"Rongotai","North Island general electorates","Non-partnered, nfd",1353
"Rotorua","North Island general electorates","Non-partnered, nfd",2229
"Tamaki","North Island general electorates","Non-partnered, nfd",1113
"Taranaki-King Country","North Island general electorates","Non-partnered, nfd",1560
"Taupo","North Island general electorates","Non-partnered, nfd",1788
"Tauranga","North Island general electorates","Non-partnered, nfd",1533
"Te Atatu","North Island general electorates","Non-partnered, nfd",1878
"Tukituki","North Island general electorates","Non-partnered, nfd",2073
"Upper Harbour","North Island general electorates","Non-partnered, nfd",1572
"Waikato","North Island general electorates","Non-partnered, nfd",1731
"Wairarapa","North Island general electorates","Non-partnered, nfd",1614
"Wellington Central","North Island general electorates","Non-partnered, nfd",1374
"Whanganui","North Island general electorates","Non-partnered, nfd",2025
"Whangarei","North Island general electorates","Non-partnered, nfd",1752
"Christchurch Central","South Island general electorates","Non-partnered, nfd",1761
"Christchurch East","South Island general electorates","Non-partnered, nfd",1413
"Clutha-Southland","South Island general electorates","Non-partnered, nfd",1299
"Dunedin North","South Island general electorates","Non-partnered, nfd",1335
"Dunedin South","South Island general electorates","Non-partnered, nfd",1146
"Ilam","South Island general electorates","Non-partnered, nfd",1395
"Invercargill","South Island general electorates","Non-partnered, nfd",1383
"Kaikoura","South Island general electorates","Non-partnered, nfd",1242
"Nelson","South Island general electorates","Non-partnered, nfd",1299
"Port Hills","South Island general electorates","Non-partnered, nfd",1101
"Rangitata","South Island general electorates","Non-partnered, nfd",1329
"Selwyn","South Island general electorates","Non-partnered, nfd",876
"Waimakariri","South Island general electorates","Non-partnered, nfd",924
"Waitaki","South Island general electorates","Non-partnered, nfd",1293
"West Coast-Tasman","South Island general electorates","Non-partnered, nfd",1122
"Wigram","South Island general electorates","Non-partnered, nfd",1731
"Area Outside General Electorate","South Island general electorates","Non-partnered, nfd",NA
"Auckland Central","North Island general electorates","Not stated",5682
"Bay of Plenty","North Island general electorates","Not stated",2856
"Botany","North Island general electorates","Not stated",2523
"Coromandel","North Island general electorates","Not stated",3549
"East Coast","North Island general electorates","Not stated",7146
"East Coast Bays","North Island general electorates","Not stated",2499
"Epsom","North Island general electorates","Not stated",3540
"Hamilton East","North Island general electorates","Not stated",4026
"Hamilton West","North Island general electorates","Not stated",3765
"Helensville","North Island general electorates","Not stated",3750
"Hunua","North Island general electorates","Not stated",2964
"Hutt South","North Island general electorates","Not stated",2982
"Kelston","North Island general electorates","Not stated",4221
"Mana","North Island general electorates","Not stated",3600
"Mangere","North Island general electorates","Not stated",5364
"Manukau East","North Island general electorates","Not stated",5088
"Manurewa","North Island general electorates","Not stated",5991
"Maungakiekie","North Island general electorates","Not stated",4737
"Mt Albert","North Island general electorates","Not stated",3627
"Mt Roskill","North Island general electorates","Not stated",3279
"Napier","North Island general electorates","Not stated",3906
"New Lynn","North Island general electorates","Not stated",3585
"New Plymouth","North Island general electorates","Not stated",3636
"North Shore","North Island general electorates","Not stated",2376
"Northcote","North Island general electorates","Not stated",3279
"Northland","North Island general electorates","Not stated",7080
"Ohariu","North Island general electorates","Not stated",1956
"Otaki","North Island general electorates","Not stated",3417
"Pakuranga","North Island general electorates","Not stated",2256
"Palmerston North","North Island general electorates","Not stated",3588
"Papakura","North Island general electorates","Not stated",4701
"Rangitikei","North Island general electorates","Not stated",2988
"Rimutaka","North Island general electorates","Not stated",4095
"Rodney","North Island general electorates","Not stated",2763
"Rongotai","North Island general electorates","Not stated",3312
"Rotorua","North Island general electorates","Not stated",6135
"Tamaki","North Island general electorates","Not stated",3468
"Taranaki-King Country","North Island general electorates","Not stated",3534
"Taupo","North Island general electorates","Not stated",4245
"Tauranga","North Island general electorates","Not stated",3465
"Te Atatu","North Island general electorates","Not stated",4065
"Tukituki","North Island general electorates","Not stated",4665
"Upper Harbour","North Island general electorates","Not stated",3411
"Waikato","North Island general electorates","Not stated",4527
"Wairarapa","North Island general electorates","Not stated",3195
"Wellington Central","North Island general electorates","Not stated",3372
"Whanganui","North Island general electorates","Not stated",4512
"Whangarei","North Island general electorates","Not stated",4788
"Christchurch Central","South Island general electorates","Not stated",4125
"Christchurch East","South Island general electorates","Not stated",3840
"Clutha-Southland","South Island general electorates","Not stated",3804
"Dunedin North","South Island general electorates","Not stated",3846
"Dunedin South","South Island general electorates","Not stated",2937
"Ilam","South Island general electorates","Not stated",2403
"Invercargill","South Island general electorates","Not stated",3297
"Kaikoura","South Island general electorates","Not stated",3144
"Nelson","South Island general electorates","Not stated",2655
"Port Hills","South Island general electorates","Not stated",2820
"Rangitata","South Island general electorates","Not stated",2787
"Selwyn","South Island general electorates","Not stated",2118
"Waimakariri","South Island general electorates","Not stated",1944
"Waitaki","South Island general electorates","Not stated",3156
"West Coast-Tasman","South Island general electorates","Not stated",3579
"Wigram","South Island general electorates","Not stated",3681
"Area Outside General Electorate","South Island general electorates","Not stated",NA
