"level0","level1","Tenure of household","count"
"Hutt South","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",123
"Kelston","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",213
"Mana","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",198
"Mangere","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",351
"Manukau East","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",267
"Manurewa","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",270
"Maungakiekie","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",156
"Mt Albert","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",93
"Mt Roskill","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",144
"Napier","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",204
"New Lynn","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",198
"New Plymouth","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",222
"North Shore","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",93
"Northcote","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",108
"Northland","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",357
"Ohariu","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",87
"Otaki","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",207
"Pakuranga","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",132
"Palmerston North","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",105
"Papakura","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",216
"Rangitikei","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",264
"Rimutaka","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",150
"Rodney","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",105
"Rongotai","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",111
"Rotorua","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",279
"Tamaki","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",90
"Taranaki-King Country","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",309
"Taupo","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",309
"Tauranga","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",120
"Te Atatu","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",246
"Tukituki","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",207
"Upper Harbour","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",105
"Waikato","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",216
"Wairarapa","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",255
"Wellington Central","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",87
"Whanganui","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",243
"Whangarei","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",186
"Christchurch Central","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",186
"Christchurch East","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",138
"Clutha-Southland","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",201
"Dunedin North","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",90
"Dunedin South","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",186
"Ilam","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",108
"Invercargill","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",186
"Kaikoura","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",135
"Nelson","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",117
"Port Hills","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",105
"Rangitata","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",210
"Selwyn","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",102
"Waimakariri","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",102
"Waitaki","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",156
"West Coast-Tasman","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",165
"Wigram","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",135
"Area Outside General Electorate","South Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",NA
"Auckland Central","North Island general electorates","Dwelling held in a family trust, mortgage payments made",3885
"Bay of Plenty","North Island general electorates","Dwelling held in a family trust, mortgage payments made",6084
"Botany","North Island general electorates","Dwelling held in a family trust, mortgage payments made",5772
"Coromandel","North Island general electorates","Dwelling held in a family trust, mortgage payments made",3705
"East Coast","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4347
"East Coast Bays","North Island general electorates","Dwelling held in a family trust, mortgage payments made",6528
"Epsom","North Island general electorates","Dwelling held in a family trust, mortgage payments made",8856
"Hamilton East","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4635
"Hamilton West","North Island general electorates","Dwelling held in a family trust, mortgage payments made",3747
"Helensville","North Island general electorates","Dwelling held in a family trust, mortgage payments made",7872
"Hunua","North Island general electorates","Dwelling held in a family trust, mortgage payments made",6312
"Hutt South","North Island general electorates","Dwelling held in a family trust, mortgage payments made",5139
"Kelston","North Island general electorates","Dwelling held in a family trust, mortgage payments made",2937
"Mana","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4056
"Mangere","North Island general electorates","Dwelling held in a family trust, mortgage payments made",2907
"Manukau East","North Island general electorates","Dwelling held in a family trust, mortgage payments made",2502
"Manurewa","North Island general electorates","Dwelling held in a family trust, mortgage payments made",2916
"Maungakiekie","North Island general electorates","Dwelling held in a family trust, mortgage payments made",3912
"Mt Albert","North Island general electorates","Dwelling held in a family trust, mortgage payments made",6861
"Mt Roskill","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4647
"Napier","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4458
"New Lynn","North Island general electorates","Dwelling held in a family trust, mortgage payments made",3603
"New Plymouth","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4533
"North Shore","North Island general electorates","Dwelling held in a family trust, mortgage payments made",7689
"Northcote","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4935
"Northland","North Island general electorates","Dwelling held in a family trust, mortgage payments made",3921
"Ohariu","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4467
"Otaki","North Island general electorates","Dwelling held in a family trust, mortgage payments made",3573
"Pakuranga","North Island general electorates","Dwelling held in a family trust, mortgage payments made",5598
"Palmerston North","North Island general electorates","Dwelling held in a family trust, mortgage payments made",3219
"Papakura","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4614
"Rangitikei","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4632
"Rimutaka","North Island general electorates","Dwelling held in a family trust, mortgage payments made",3519
"Rodney","North Island general electorates","Dwelling held in a family trust, mortgage payments made",5670
"Rongotai","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4044
"Rotorua","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4218
"Tamaki","North Island general electorates","Dwelling held in a family trust, mortgage payments made",8370
"Taranaki-King Country","North Island general electorates","Dwelling held in a family trust, mortgage payments made",6294
"Taupo","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4710
"Tauranga","North Island general electorates","Dwelling held in a family trust, mortgage payments made",5655
"Te Atatu","North Island general electorates","Dwelling held in a family trust, mortgage payments made",3633
"Tukituki","North Island general electorates","Dwelling held in a family trust, mortgage payments made",5499
"Upper Harbour","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4935
"Waikato","North Island general electorates","Dwelling held in a family trust, mortgage payments made",5889
"Wairarapa","North Island general electorates","Dwelling held in a family trust, mortgage payments made",3768
"Wellington Central","North Island general electorates","Dwelling held in a family trust, mortgage payments made",3516
"Whanganui","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4521
"Whangarei","North Island general electorates","Dwelling held in a family trust, mortgage payments made",4449
"Christchurch Central","South Island general electorates","Dwelling held in a family trust, mortgage payments made",2829
"Christchurch East","South Island general electorates","Dwelling held in a family trust, mortgage payments made",2649
"Clutha-Southland","South Island general electorates","Dwelling held in a family trust, mortgage payments made",5895
"Dunedin North","South Island general electorates","Dwelling held in a family trust, mortgage payments made",2853
"Dunedin South","South Island general electorates","Dwelling held in a family trust, mortgage payments made",4155
"Ilam","South Island general electorates","Dwelling held in a family trust, mortgage payments made",4671
"Invercargill","South Island general electorates","Dwelling held in a family trust, mortgage payments made",3954
"Kaikoura","South Island general electorates","Dwelling held in a family trust, mortgage payments made",3873
"Nelson","South Island general electorates","Dwelling held in a family trust, mortgage payments made",3651
"Port Hills","South Island general electorates","Dwelling held in a family trust, mortgage payments made",4611
"Rangitata","South Island general electorates","Dwelling held in a family trust, mortgage payments made",3129
"Selwyn","South Island general electorates","Dwelling held in a family trust, mortgage payments made",4803
"Waimakariri","South Island general electorates","Dwelling held in a family trust, mortgage payments made",3972
"Waitaki","South Island general electorates","Dwelling held in a family trust, mortgage payments made",4860
"West Coast-Tasman","South Island general electorates","Dwelling held in a family trust, mortgage payments made",2472
"Wigram","South Island general electorates","Dwelling held in a family trust, mortgage payments made",2058
"Area Outside General Electorate","South Island general electorates","Dwelling held in a family trust, mortgage payments made",NA
"Auckland Central","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3108
"Bay of Plenty","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",5190
"Botany","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3762
"Coromandel","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4731
"East Coast","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4629
"East Coast Bays","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4062
"Epsom","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",7935
"Hamilton East","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3252
"Hamilton West","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",2565
"Helensville","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4530
"Hunua","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3900
"Hutt South","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4671
"Kelston","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",1242
"Mana","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3222
"Mangere","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",756
"Manukau East","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",879
"Manurewa","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",1110
"Maungakiekie","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",2160
"Mt Albert","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3450
"Mt Roskill","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",2997
"Napier","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4191
"New Lynn","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",2427
"New Plymouth","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4563
"North Shore","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",6456
"Northcote","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3054
"Northland","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4695
"Ohariu","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3942
"Otaki","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4371
"Pakuranga","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4446
"Palmerston North","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3045
"Papakura","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",2853
"Rangitikei","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4002
"Rimutaka","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",2697
"Rodney","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",5121
"Rongotai","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3276
"Rotorua","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3810
"Tamaki","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",6507
"Taranaki-King Country","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4119
"Taupo","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4569
"Tauranga","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",5517
"Te Atatu","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",2109
"Tukituki","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4932
"Upper Harbour","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",2496
"Waikato","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3924
"Wairarapa","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4032
"Wellington Central","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",3363
"Whanganui","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4404
"Whangarei","North Island general electorates","Dwelling held in a family trust, mortgage payments not made",4458
"Christchurch Central","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",2607
"Christchurch East","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",2421
"Clutha-Southland","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",5175
"Dunedin North","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",3522
"Dunedin South","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",5187
"Ilam","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",5262
"Invercargill","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",4005
"Kaikoura","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",4275
"Nelson","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",4314
"Port Hills","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",5022
"Rangitata","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",4371
"Selwyn","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",3942
"Waimakariri","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",3843
"Waitaki","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",6276
"West Coast-Tasman","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",3735
"Wigram","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",2067
"Area Outside General Electorate","South Island general electorates","Dwelling held in a family trust, mortgage payments not made",NA
"Auckland Central","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",303
"Bay of Plenty","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",633
"Botany","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",429
"Coromandel","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",708
"East Coast","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",696
"East Coast Bays","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",540
"Epsom","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",867
"Hamilton East","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",459
"Hamilton West","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",411
"Helensville","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",552
"Hunua","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",537
"Hutt South","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",585
"Kelston","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",249
"Mana","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",342
"Mangere","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",189
"Manukau East","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",237
"Manurewa","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",180
"Maungakiekie","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",240
"Mt Albert","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",468
"Mt Roskill","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",327
"Napier","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",612
"New Lynn","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",339
"New Plymouth","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",594
"North Shore","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",765
"Northcote","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",387
"Northland","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",828
"Ohariu","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",384
"Otaki","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",576
"Pakuranga","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",516
"Palmerston North","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",369
"Papakura","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",396
"Rangitikei","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",615
"Rimutaka","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",354
"Rodney","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",639
"Rongotai","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",321
"Rotorua","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",516
"Tamaki","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",738
"Taranaki-King Country","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",666
"Taupo","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",675
"Tauranga","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",636
"Te Atatu","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",288
"Tukituki","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",678
"Upper Harbour","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",366
"Waikato","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",654
"Wairarapa","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",633
"Wellington Central","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",306
"Whanganui","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",651
"Whangarei","North Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",633
"Christchurch Central","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",303
"Christchurch East","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",318
"Clutha-Southland","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",753
"Dunedin North","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",483
"Dunedin South","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",543
"Ilam","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",627
"Invercargill","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",582
"Kaikoura","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",630
"Nelson","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",492
"Port Hills","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",567
"Rangitata","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",609
"Selwyn","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",519
"Waimakariri","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",519
"Waitaki","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",759
"West Coast-Tasman","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",558
"Wigram","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",246
"Area Outside General Electorate","South Island general electorates","Dwelling held in a family trust, mortgage arrangements not further defined",NA
"Auckland Central","North Island general electorates","Not elsewhere included(3)",4623
"Bay of Plenty","North Island general electorates","Not elsewhere included(3)",3162
"Botany","North Island general electorates","Not elsewhere included(3)",2790
"Coromandel","North Island general electorates","Not elsewhere included(3)",3273
"East Coast","North Island general electorates","Not elsewhere included(3)",7665
"East Coast Bays","North Island general electorates","Not elsewhere included(3)",2532
"Epsom","North Island general electorates","Not elsewhere included(3)",2832
"Hamilton East","North Island general electorates","Not elsewhere included(3)",3945
"Hamilton West","North Island general electorates","Not elsewhere included(3)",3828
"Helensville","North Island general electorates","Not elsewhere included(3)",3522
"Hunua","North Island general electorates","Not elsewhere included(3)",3375
"Hutt South","North Island general electorates","Not elsewhere included(3)",3141
"Kelston","North Island general electorates","Not elsewhere included(3)",4815
"Mana","North Island general electorates","Not elsewhere included(3)",3741
"Mangere","North Island general electorates","Not elsewhere included(3)",7116
"Manukau East","North Island general electorates","Not elsewhere included(3)",6648
"Manurewa","North Island general electorates","Not elsewhere included(3)",7605
"Maungakiekie","North Island general electorates","Not elsewhere included(3)",5136
"Mt Albert","North Island general electorates","Not elsewhere included(3)",3198
"Mt Roskill","North Island general electorates","Not elsewhere included(3)",3372
"Napier","North Island general electorates","Not elsewhere included(3)",3756
"New Lynn","North Island general electorates","Not elsewhere included(3)",3720
"New Plymouth","North Island general electorates","Not elsewhere included(3)",3195
"North Shore","North Island general electorates","Not elsewhere included(3)",2193
"Northcote","North Island general electorates","Not elsewhere included(3)",3147
"Northland","North Island general electorates","Not elsewhere included(3)",8031
"Ohariu","North Island general electorates","Not elsewhere included(3)",1845
"Otaki","North Island general electorates","Not elsewhere included(3)",3279
"Pakuranga","North Island general electorates","Not elsewhere included(3)",2253
"Palmerston North","North Island general electorates","Not elsewhere included(3)",3471
"Papakura","North Island general electorates","Not elsewhere included(3)",5244
"Rangitikei","North Island general electorates","Not elsewhere included(3)",2742
"Rimutaka","North Island general electorates","Not elsewhere included(3)",3834
"Rodney","North Island general electorates","Not elsewhere included(3)",2751
"Rongotai","North Island general electorates","Not elsewhere included(3)",3183
"Rotorua","North Island general electorates","Not elsewhere included(3)",6405
"Tamaki","North Island general electorates","Not elsewhere included(3)",3471
"Taranaki-King Country","North Island general electorates","Not elsewhere included(3)",3741
"Taupo","North Island general electorates","Not elsewhere included(3)",4362
"Tauranga","North Island general electorates","Not elsewhere included(3)",3045
"Te Atatu","North Island general electorates","Not elsewhere included(3)",4764
"Tukituki","North Island general electorates","Not elsewhere included(3)",4518
"Upper Harbour","North Island general electorates","Not elsewhere included(3)",3816
"Waikato","North Island general electorates","Not elsewhere included(3)",4326
"Wairarapa","North Island general electorates","Not elsewhere included(3)",3285
"Wellington Central","North Island general electorates","Not elsewhere included(3)",2679
"Whanganui","North Island general electorates","Not elsewhere included(3)",4311
"Whangarei","North Island general electorates","Not elsewhere included(3)",4968
"Christchurch Central","South Island general electorates","Not elsewhere included(3)",3357
"Christchurch East","South Island general electorates","Not elsewhere included(3)",3804
"Clutha-Southland","South Island general electorates","Not elsewhere included(3)",3369
"Dunedin North","South Island general electorates","Not elsewhere included(3)",3111
"Dunedin South","South Island general electorates","Not elsewhere included(3)",2424
"Ilam","South Island general electorates","Not elsewhere included(3)",1737
"Invercargill","South Island general electorates","Not elsewhere included(3)",3003
"Kaikoura","South Island general electorates","Not elsewhere included(3)",2817
"Nelson","South Island general electorates","Not elsewhere included(3)",2310
"Port Hills","South Island general electorates","Not elsewhere included(3)",2526
"Rangitata","South Island general electorates","Not elsewhere included(3)",2610
"Selwyn","South Island general electorates","Not elsewhere included(3)",1962
"Waimakariri","South Island general electorates","Not elsewhere included(3)",2013
"Waitaki","South Island general electorates","Not elsewhere included(3)",2925
"West Coast-Tasman","South Island general electorates","Not elsewhere included(3)",3633
"Wigram","South Island general electorates","Not elsewhere included(3)",3264
"Area Outside General Electorate","South Island general electorates","Not elsewhere included(3)",NA
