"level0","level1","level2","level3","Work and labour force status(1)","count"
"Female","35–39 Years","Rangitikei","North Island general electorates","Employed Part-time",498
"Male","40–44 Years","Rangitikei","North Island general electorates","Employed Part-time",96
"Female","40–44 Years","Rangitikei","North Island general electorates","Employed Part-time",597
"Male","45–49 Years","Rangitikei","North Island general electorates","Employed Part-time",108
"Female","45–49 Years","Rangitikei","North Island general electorates","Employed Part-time",615
"Male","50–54 Years","Rangitikei","North Island general electorates","Employed Part-time",138
"Female","50–54 Years","Rangitikei","North Island general electorates","Employed Part-time",582
"Male","55–59 Years","Rangitikei","North Island general electorates","Employed Part-time",150
"Female","55–59 Years","Rangitikei","North Island general electorates","Employed Part-time",510
"Male","60–64 Years","Rangitikei","North Island general electorates","Employed Part-time",159
"Female","60–64 Years","Rangitikei","North Island general electorates","Employed Part-time",492
"Male","65–69 Years","Rangitikei","North Island general electorates","Employed Part-time",261
"Female","65–69 Years","Rangitikei","North Island general electorates","Employed Part-time",342
"Male","70–74 Years","Rangitikei","North Island general electorates","Employed Part-time",168
"Female","70–74 Years","Rangitikei","North Island general electorates","Employed Part-time",168
"Male","75–79 Years","Rangitikei","North Island general electorates","Employed Part-time",117
"Female","75–79 Years","Rangitikei","North Island general electorates","Employed Part-time",69
"Male","80–84 Years","Rangitikei","North Island general electorates","Employed Part-time",45
"Female","80–84 Years","Rangitikei","North Island general electorates","Employed Part-time",27
"Male","85 Years And Over","Rangitikei","North Island general electorates","Employed Part-time",30
"Female","85 Years And Over","Rangitikei","North Island general electorates","Employed Part-time",18
"Male","15–19 Years","Rimutaka","North Island general electorates","Employed Part-time",423
"Female","15–19 Years","Rimutaka","North Island general electorates","Employed Part-time",552
"Male","20–24 Years","Rimutaka","North Island general electorates","Employed Part-time",258
"Female","20–24 Years","Rimutaka","North Island general electorates","Employed Part-time",372
"Male","25–29 Years","Rimutaka","North Island general electorates","Employed Part-time",90
"Female","25–29 Years","Rimutaka","North Island general electorates","Employed Part-time",261
"Male","30–34 Years","Rimutaka","North Island general electorates","Employed Part-time",81
"Female","30–34 Years","Rimutaka","North Island general electorates","Employed Part-time",354
"Male","35–39 Years","Rimutaka","North Island general electorates","Employed Part-time",90
"Female","35–39 Years","Rimutaka","North Island general electorates","Employed Part-time",468
"Male","40–44 Years","Rimutaka","North Island general electorates","Employed Part-time",99
"Female","40–44 Years","Rimutaka","North Island general electorates","Employed Part-time",567
"Male","45–49 Years","Rimutaka","North Island general electorates","Employed Part-time",96
"Female","45–49 Years","Rimutaka","North Island general electorates","Employed Part-time",465
"Male","50–54 Years","Rimutaka","North Island general electorates","Employed Part-time",117
"Female","50–54 Years","Rimutaka","North Island general electorates","Employed Part-time",429
"Male","55–59 Years","Rimutaka","North Island general electorates","Employed Part-time",114
"Female","55–59 Years","Rimutaka","North Island general electorates","Employed Part-time",330
"Male","60–64 Years","Rimutaka","North Island general electorates","Employed Part-time",165
"Female","60–64 Years","Rimutaka","North Island general electorates","Employed Part-time",312
"Male","65–69 Years","Rimutaka","North Island general electorates","Employed Part-time",162
"Female","65–69 Years","Rimutaka","North Island general electorates","Employed Part-time",228
"Male","70–74 Years","Rimutaka","North Island general electorates","Employed Part-time",108
"Female","70–74 Years","Rimutaka","North Island general electorates","Employed Part-time",117
"Male","75–79 Years","Rimutaka","North Island general electorates","Employed Part-time",45
"Female","75–79 Years","Rimutaka","North Island general electorates","Employed Part-time",42
"Male","80–84 Years","Rimutaka","North Island general electorates","Employed Part-time",27
"Female","80–84 Years","Rimutaka","North Island general electorates","Employed Part-time",21
"Male","85 Years And Over","Rimutaka","North Island general electorates","Employed Part-time",15
"Female","85 Years And Over","Rimutaka","North Island general electorates","Employed Part-time",12
"Male","15–19 Years","Rodney","North Island general electorates","Employed Part-time",453
"Female","15–19 Years","Rodney","North Island general electorates","Employed Part-time",651
"Male","20–24 Years","Rodney","North Island general electorates","Employed Part-time",201
"Female","20–24 Years","Rodney","North Island general electorates","Employed Part-time",309
"Male","25–29 Years","Rodney","North Island general electorates","Employed Part-time",51
"Female","25–29 Years","Rodney","North Island general electorates","Employed Part-time",174
"Male","30–34 Years","Rodney","North Island general electorates","Employed Part-time",54
"Female","30–34 Years","Rodney","North Island general electorates","Employed Part-time",297
"Male","35–39 Years","Rodney","North Island general electorates","Employed Part-time",54
"Female","35–39 Years","Rodney","North Island general electorates","Employed Part-time",492
"Male","40–44 Years","Rodney","North Island general electorates","Employed Part-time",96
"Female","40–44 Years","Rodney","North Island general electorates","Employed Part-time",684
"Male","45–49 Years","Rodney","North Island general electorates","Employed Part-time",120
"Female","45–49 Years","Rodney","North Island general electorates","Employed Part-time",627
"Male","50–54 Years","Rodney","North Island general electorates","Employed Part-time",141
"Female","50–54 Years","Rodney","North Island general electorates","Employed Part-time",531
"Male","55–59 Years","Rodney","North Island general electorates","Employed Part-time",150
"Female","55–59 Years","Rodney","North Island general electorates","Employed Part-time",435
"Male","60–64 Years","Rodney","North Island general electorates","Employed Part-time",222
"Female","60–64 Years","Rodney","North Island general electorates","Employed Part-time",486
"Male","65–69 Years","Rodney","North Island general electorates","Employed Part-time",276
"Female","65–69 Years","Rodney","North Island general electorates","Employed Part-time",393
"Male","70–74 Years","Rodney","North Island general electorates","Employed Part-time",204
"Female","70–74 Years","Rodney","North Island general electorates","Employed Part-time",186
"Male","75–79 Years","Rodney","North Island general electorates","Employed Part-time",90
"Female","75–79 Years","Rodney","North Island general electorates","Employed Part-time",72
"Male","80–84 Years","Rodney","North Island general electorates","Employed Part-time",45
"Female","80–84 Years","Rodney","North Island general electorates","Employed Part-time",30
"Male","85 Years And Over","Rodney","North Island general electorates","Employed Part-time",24
"Female","85 Years And Over","Rodney","North Island general electorates","Employed Part-time",18
"Male","15–19 Years","Rongotai","North Island general electorates","Employed Part-time",393
"Female","15–19 Years","Rongotai","North Island general electorates","Employed Part-time",417
"Male","20–24 Years","Rongotai","North Island general electorates","Employed Part-time",495
"Female","20–24 Years","Rongotai","North Island general electorates","Employed Part-time",615
"Male","25–29 Years","Rongotai","North Island general electorates","Employed Part-time",186
"Female","25–29 Years","Rongotai","North Island general electorates","Employed Part-time",276
"Male","30–34 Years","Rongotai","North Island general electorates","Employed Part-time",147
"Female","30–34 Years","Rongotai","North Island general electorates","Employed Part-time",363
"Male","35–39 Years","Rongotai","North Island general electorates","Employed Part-time",123
"Female","35–39 Years","Rongotai","North Island general electorates","Employed Part-time",495
"Male","40–44 Years","Rongotai","North Island general electorates","Employed Part-time",123
"Female","40–44 Years","Rongotai","North Island general electorates","Employed Part-time",621
"Male","45–49 Years","Rongotai","North Island general electorates","Employed Part-time",144
"Female","45–49 Years","Rongotai","North Island general electorates","Employed Part-time",495
"Male","50–54 Years","Rongotai","North Island general electorates","Employed Part-time",147
"Female","50–54 Years","Rongotai","North Island general electorates","Employed Part-time",387
"Male","55–59 Years","Rongotai","North Island general electorates","Employed Part-time",123
"Female","55–59 Years","Rongotai","North Island general electorates","Employed Part-time",309
"Male","60–64 Years","Rongotai","North Island general electorates","Employed Part-time",129
"Female","60–64 Years","Rongotai","North Island general electorates","Employed Part-time",252
"Male","65–69 Years","Rongotai","North Island general electorates","Employed Part-time",123
"Female","65–69 Years","Rongotai","North Island general electorates","Employed Part-time",174
"Male","70–74 Years","Rongotai","North Island general electorates","Employed Part-time",78
"Female","70–74 Years","Rongotai","North Island general electorates","Employed Part-time",93
"Male","75–79 Years","Rongotai","North Island general electorates","Employed Part-time",42
"Female","75–79 Years","Rongotai","North Island general electorates","Employed Part-time",36
"Male","80–84 Years","Rongotai","North Island general electorates","Employed Part-time",24
"Female","80–84 Years","Rongotai","North Island general electorates","Employed Part-time",21
"Male","85 Years And Over","Rongotai","North Island general electorates","Employed Part-time",9
"Female","85 Years And Over","Rongotai","North Island general electorates","Employed Part-time",15
"Male","15–19 Years","Rotorua","North Island general electorates","Employed Part-time",516
"Female","15–19 Years","Rotorua","North Island general electorates","Employed Part-time",594
"Male","20–24 Years","Rotorua","North Island general electorates","Employed Part-time",252
"Female","20–24 Years","Rotorua","North Island general electorates","Employed Part-time",345
"Male","25–29 Years","Rotorua","North Island general electorates","Employed Part-time",126
"Female","25–29 Years","Rotorua","North Island general electorates","Employed Part-time",312
"Male","30–34 Years","Rotorua","North Island general electorates","Employed Part-time",93
"Female","30–34 Years","Rotorua","North Island general electorates","Employed Part-time",399
"Male","35–39 Years","Rotorua","North Island general electorates","Employed Part-time",111
"Female","35–39 Years","Rotorua","North Island general electorates","Employed Part-time",573
"Male","40–44 Years","Rotorua","North Island general electorates","Employed Part-time",126
"Female","40–44 Years","Rotorua","North Island general electorates","Employed Part-time",654
"Male","45–49 Years","Rotorua","North Island general electorates","Employed Part-time",129
"Female","45–49 Years","Rotorua","North Island general electorates","Employed Part-time",597
"Male","50–54 Years","Rotorua","North Island general electorates","Employed Part-time",159
"Female","50–54 Years","Rotorua","North Island general electorates","Employed Part-time",576
"Male","55–59 Years","Rotorua","North Island general electorates","Employed Part-time",144
"Female","55–59 Years","Rotorua","North Island general electorates","Employed Part-time",537
"Male","60–64 Years","Rotorua","North Island general electorates","Employed Part-time",192
"Female","60–64 Years","Rotorua","North Island general electorates","Employed Part-time",498
"Male","65–69 Years","Rotorua","North Island general electorates","Employed Part-time",225
"Female","65–69 Years","Rotorua","North Island general electorates","Employed Part-time",333
"Male","70–74 Years","Rotorua","North Island general electorates","Employed Part-time",180
"Female","70–74 Years","Rotorua","North Island general electorates","Employed Part-time",174
"Male","75–79 Years","Rotorua","North Island general electorates","Employed Part-time",90
"Female","75–79 Years","Rotorua","North Island general electorates","Employed Part-time",93
"Male","80–84 Years","Rotorua","North Island general electorates","Employed Part-time",54
"Female","80–84 Years","Rotorua","North Island general electorates","Employed Part-time",36
"Male","85 Years And Over","Rotorua","North Island general electorates","Employed Part-time",21
"Female","85 Years And Over","Rotorua","North Island general electorates","Employed Part-time",36
"Male","15–19 Years","Tamaki","North Island general electorates","Employed Part-time",306
"Female","15–19 Years","Tamaki","North Island general electorates","Employed Part-time",435
"Male","20–24 Years","Tamaki","North Island general electorates","Employed Part-time",300
"Female","20–24 Years","Tamaki","North Island general electorates","Employed Part-time",384
"Male","25–29 Years","Tamaki","North Island general electorates","Employed Part-time",96
"Female","25–29 Years","Tamaki","North Island general electorates","Employed Part-time",153
"Male","30–34 Years","Tamaki","North Island general electorates","Employed Part-time",78
"Female","30–34 Years","Tamaki","North Island general electorates","Employed Part-time",237
"Male","35–39 Years","Tamaki","North Island general electorates","Employed Part-time",66
"Female","35–39 Years","Tamaki","North Island general electorates","Employed Part-time",468
"Male","40–44 Years","Tamaki","North Island general electorates","Employed Part-time",93
"Female","40–44 Years","Tamaki","North Island general electorates","Employed Part-time",600
"Male","45–49 Years","Tamaki","North Island general electorates","Employed Part-time",108
"Female","45–49 Years","Tamaki","North Island general electorates","Employed Part-time",543
"Male","50–54 Years","Tamaki","North Island general electorates","Employed Part-time",123
"Female","50–54 Years","Tamaki","North Island general electorates","Employed Part-time",471
"Male","55–59 Years","Tamaki","North Island general electorates","Employed Part-time",111
"Female","55–59 Years","Tamaki","North Island general electorates","Employed Part-time",408
"Male","60–64 Years","Tamaki","North Island general electorates","Employed Part-time",156
"Female","60–64 Years","Tamaki","North Island general electorates","Employed Part-time",318
"Male","65–69 Years","Tamaki","North Island general electorates","Employed Part-time",174
"Female","65–69 Years","Tamaki","North Island general electorates","Employed Part-time",270
"Male","70–74 Years","Tamaki","North Island general electorates","Employed Part-time",162
"Female","70–74 Years","Tamaki","North Island general electorates","Employed Part-time",126
"Male","75–79 Years","Tamaki","North Island general electorates","Employed Part-time",63
"Female","75–79 Years","Tamaki","North Island general electorates","Employed Part-time",51
"Male","80–84 Years","Tamaki","North Island general electorates","Employed Part-time",30
"Female","80–84 Years","Tamaki","North Island general electorates","Employed Part-time",27
"Male","85 Years And Over","Tamaki","North Island general electorates","Employed Part-time",18
"Female","85 Years And Over","Tamaki","North Island general electorates","Employed Part-time",21
"Male","15–19 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",423
"Female","15–19 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",528
"Male","20–24 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",153
"Female","20–24 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",303
"Male","25–29 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",78
"Female","25–29 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",285
"Male","30–34 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",93
"Female","30–34 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",456
"Male","35–39 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",81
"Female","35–39 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",582
"Male","40–44 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",105
"Female","40–44 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",648
"Male","45–49 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",126
"Female","45–49 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",645
"Male","50–54 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",132
"Female","50–54 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",579
"Male","55–59 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",144
"Female","55–59 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",525
"Male","60–64 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",192
"Female","60–64 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",477
"Male","65–69 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",228
"Female","65–69 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",333
"Male","70–74 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",183
"Female","70–74 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",153
"Male","75–79 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",111
"Female","75–79 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",78
"Male","80–84 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",48
"Female","80–84 Years","Taranaki-King Country","North Island general electorates","Employed Part-time",33
"Male","85 Years And Over","Taranaki-King Country","North Island general electorates","Employed Part-time",24
"Female","85 Years And Over","Taranaki-King Country","North Island general electorates","Employed Part-time",21
"Male","15–19 Years","Taupo","North Island general electorates","Employed Part-time",468
"Female","15–19 Years","Taupo","North Island general electorates","Employed Part-time",585
"Male","20–24 Years","Taupo","North Island general electorates","Employed Part-time",162
"Female","20–24 Years","Taupo","North Island general electorates","Employed Part-time",342
"Male","25–29 Years","Taupo","North Island general electorates","Employed Part-time",69
"Female","25–29 Years","Taupo","North Island general electorates","Employed Part-time",321
"Male","30–34 Years","Taupo","North Island general electorates","Employed Part-time",69
"Female","30–34 Years","Taupo","North Island general electorates","Employed Part-time",456
"Male","35–39 Years","Taupo","North Island general electorates","Employed Part-time",90
"Female","35–39 Years","Taupo","North Island general electorates","Employed Part-time",576
"Male","40–44 Years","Taupo","North Island general electorates","Employed Part-time",105
"Female","40–44 Years","Taupo","North Island general electorates","Employed Part-time",723
"Male","45–49 Years","Taupo","North Island general electorates","Employed Part-time",114
"Female","45–49 Years","Taupo","North Island general electorates","Employed Part-time",618
"Male","50–54 Years","Taupo","North Island general electorates","Employed Part-time",144
"Female","50–54 Years","Taupo","North Island general electorates","Employed Part-time",621
"Male","55–59 Years","Taupo","North Island general electorates","Employed Part-time",132
"Female","55–59 Years","Taupo","North Island general electorates","Employed Part-time",570
"Male","60–64 Years","Taupo","North Island general electorates","Employed Part-time",180
"Female","60–64 Years","Taupo","North Island general electorates","Employed Part-time",516
"Male","65–69 Years","Taupo","North Island general electorates","Employed Part-time",255
"Female","65–69 Years","Taupo","North Island general electorates","Employed Part-time",378
"Male","70–74 Years","Taupo","North Island general electorates","Employed Part-time",207
"Female","70–74 Years","Taupo","North Island general electorates","Employed Part-time",210
"Male","75–79 Years","Taupo","North Island general electorates","Employed Part-time",102
"Female","75–79 Years","Taupo","North Island general electorates","Employed Part-time",78
"Male","80–84 Years","Taupo","North Island general electorates","Employed Part-time",42
"Female","80–84 Years","Taupo","North Island general electorates","Employed Part-time",27
"Male","85 Years And Over","Taupo","North Island general electorates","Employed Part-time",24
"Female","85 Years And Over","Taupo","North Island general electorates","Employed Part-time",27
"Male","15–19 Years","Tauranga","North Island general electorates","Employed Part-time",372
"Female","15–19 Years","Tauranga","North Island general electorates","Employed Part-time",507
"Male","20–24 Years","Tauranga","North Island general electorates","Employed Part-time",237
"Female","20–24 Years","Tauranga","North Island general electorates","Employed Part-time",354
"Male","25–29 Years","Tauranga","North Island general electorates","Employed Part-time",96
"Female","25–29 Years","Tauranga","North Island general electorates","Employed Part-time",270
"Male","30–34 Years","Tauranga","North Island general electorates","Employed Part-time",75
"Female","30–34 Years","Tauranga","North Island general electorates","Employed Part-time",345
"Male","35–39 Years","Tauranga","North Island general electorates","Employed Part-time",93
"Female","35–39 Years","Tauranga","North Island general electorates","Employed Part-time",534
"Male","40–44 Years","Tauranga","North Island general electorates","Employed Part-time",99
"Female","40–44 Years","Tauranga","North Island general electorates","Employed Part-time",648
"Male","45–49 Years","Tauranga","North Island general electorates","Employed Part-time",102
"Female","45–49 Years","Tauranga","North Island general electorates","Employed Part-time",549
"Male","50–54 Years","Tauranga","North Island general electorates","Employed Part-time",132
"Female","50–54 Years","Tauranga","North Island general electorates","Employed Part-time",531
"Male","55–59 Years","Tauranga","North Island general electorates","Employed Part-time",141
"Female","55–59 Years","Tauranga","North Island general electorates","Employed Part-time",480
"Male","60–64 Years","Tauranga","North Island general electorates","Employed Part-time",168
"Female","60–64 Years","Tauranga","North Island general electorates","Employed Part-time",471
"Male","65–69 Years","Tauranga","North Island general electorates","Employed Part-time",237
"Female","65–69 Years","Tauranga","North Island general electorates","Employed Part-time",291
"Male","70–74 Years","Tauranga","North Island general electorates","Employed Part-time",171
"Female","70–74 Years","Tauranga","North Island general electorates","Employed Part-time",147
"Male","75–79 Years","Tauranga","North Island general electorates","Employed Part-time",72
"Female","75–79 Years","Tauranga","North Island general electorates","Employed Part-time",60
"Male","80–84 Years","Tauranga","North Island general electorates","Employed Part-time",33
"Female","80–84 Years","Tauranga","North Island general electorates","Employed Part-time",27
"Male","85 Years And Over","Tauranga","North Island general electorates","Employed Part-time",18
"Female","85 Years And Over","Tauranga","North Island general electorates","Employed Part-time",21
"Male","15–19 Years","Te Atatu","North Island general electorates","Employed Part-time",306
"Female","15–19 Years","Te Atatu","North Island general electorates","Employed Part-time",393
"Male","20–24 Years","Te Atatu","North Island general electorates","Employed Part-time",321
"Female","20–24 Years","Te Atatu","North Island general electorates","Employed Part-time",462
"Male","25–29 Years","Te Atatu","North Island general electorates","Employed Part-time",135
"Female","25–29 Years","Te Atatu","North Island general electorates","Employed Part-time",252
"Male","30–34 Years","Te Atatu","North Island general electorates","Employed Part-time",126
"Female","30–34 Years","Te Atatu","North Island general electorates","Employed Part-time",321
"Male","35–39 Years","Te Atatu","North Island general electorates","Employed Part-time",114
"Female","35–39 Years","Te Atatu","North Island general electorates","Employed Part-time",414
"Male","40–44 Years","Te Atatu","North Island general electorates","Employed Part-time",141
"Female","40–44 Years","Te Atatu","North Island general electorates","Employed Part-time",480
"Male","45–49 Years","Te Atatu","North Island general electorates","Employed Part-time",138
"Female","45–49 Years","Te Atatu","North Island general electorates","Employed Part-time",396
"Male","50–54 Years","Te Atatu","North Island general electorates","Employed Part-time",129
"Female","50–54 Years","Te Atatu","North Island general electorates","Employed Part-time",339
"Male","55–59 Years","Te Atatu","North Island general electorates","Employed Part-time",117
"Female","55–59 Years","Te Atatu","North Island general electorates","Employed Part-time",294
"Male","60–64 Years","Te Atatu","North Island general electorates","Employed Part-time",114
"Female","60–64 Years","Te Atatu","North Island general electorates","Employed Part-time",237
"Male","65–69 Years","Te Atatu","North Island general electorates","Employed Part-time",111
"Female","65–69 Years","Te Atatu","North Island general electorates","Employed Part-time",165
"Male","70–74 Years","Te Atatu","North Island general electorates","Employed Part-time",78
"Female","70–74 Years","Te Atatu","North Island general electorates","Employed Part-time",78
"Male","75–79 Years","Te Atatu","North Island general electorates","Employed Part-time",36
"Female","75–79 Years","Te Atatu","North Island general electorates","Employed Part-time",39
"Male","80–84 Years","Te Atatu","North Island general electorates","Employed Part-time",15
"Female","80–84 Years","Te Atatu","North Island general electorates","Employed Part-time",15
"Male","85 Years And Over","Te Atatu","North Island general electorates","Employed Part-time",12
"Female","85 Years And Over","Te Atatu","North Island general electorates","Employed Part-time",15
"Male","15–19 Years","Tukituki","North Island general electorates","Employed Part-time",438
"Female","15–19 Years","Tukituki","North Island general electorates","Employed Part-time",588
"Male","20–24 Years","Tukituki","North Island general electorates","Employed Part-time",168
"Female","20–24 Years","Tukituki","North Island general electorates","Employed Part-time",315
"Male","25–29 Years","Tukituki","North Island general electorates","Employed Part-time",87
"Female","25–29 Years","Tukituki","North Island general electorates","Employed Part-time",264
"Male","30–34 Years","Tukituki","North Island general electorates","Employed Part-time",81
"Female","30–34 Years","Tukituki","North Island general electorates","Employed Part-time",366
"Male","35–39 Years","Tukituki","North Island general electorates","Employed Part-time",99
"Female","35–39 Years","Tukituki","North Island general electorates","Employed Part-time",585
"Male","40–44 Years","Tukituki","North Island general electorates","Employed Part-time",108
"Female","40–44 Years","Tukituki","North Island general electorates","Employed Part-time",708
"Male","45–49 Years","Tukituki","North Island general electorates","Employed Part-time",114
"Female","45–49 Years","Tukituki","North Island general electorates","Employed Part-time",642
"Male","50–54 Years","Tukituki","North Island general electorates","Employed Part-time",144
"Female","50–54 Years","Tukituki","North Island general electorates","Employed Part-time",630
"Male","55–59 Years","Tukituki","North Island general electorates","Employed Part-time",156
"Female","55–59 Years","Tukituki","North Island general electorates","Employed Part-time",582
"Male","60–64 Years","Tukituki","North Island general electorates","Employed Part-time",180
"Female","60–64 Years","Tukituki","North Island general electorates","Employed Part-time",513
"Male","65–69 Years","Tukituki","North Island general electorates","Employed Part-time",261
"Female","65–69 Years","Tukituki","North Island general electorates","Employed Part-time",357
"Male","70–74 Years","Tukituki","North Island general electorates","Employed Part-time",171
"Female","70–74 Years","Tukituki","North Island general electorates","Employed Part-time",177
"Male","75–79 Years","Tukituki","North Island general electorates","Employed Part-time",93
"Female","75–79 Years","Tukituki","North Island general electorates","Employed Part-time",72
"Male","80–84 Years","Tukituki","North Island general electorates","Employed Part-time",45
"Female","80–84 Years","Tukituki","North Island general electorates","Employed Part-time",30
"Male","85 Years And Over","Tukituki","North Island general electorates","Employed Part-time",24
"Female","85 Years And Over","Tukituki","North Island general electorates","Employed Part-time",21
"Male","15–19 Years","Upper Harbour","North Island general electorates","Employed Part-time",357
"Female","15–19 Years","Upper Harbour","North Island general electorates","Employed Part-time",516
"Male","20–24 Years","Upper Harbour","North Island general electorates","Employed Part-time",366
"Female","20–24 Years","Upper Harbour","North Island general electorates","Employed Part-time",519
"Male","25–29 Years","Upper Harbour","North Island general electorates","Employed Part-time",120
"Female","25–29 Years","Upper Harbour","North Island general electorates","Employed Part-time",282
"Male","30–34 Years","Upper Harbour","North Island general electorates","Employed Part-time",117
"Female","30–34 Years","Upper Harbour","North Island general electorates","Employed Part-time",360
"Male","35–39 Years","Upper Harbour","North Island general electorates","Employed Part-time",102
"Female","35–39 Years","Upper Harbour","North Island general electorates","Employed Part-time",483
"Male","40–44 Years","Upper Harbour","North Island general electorates","Employed Part-time",126
"Female","40–44 Years","Upper Harbour","North Island general electorates","Employed Part-time",504
"Male","45–49 Years","Upper Harbour","North Island general electorates","Employed Part-time",111
"Female","45–49 Years","Upper Harbour","North Island general electorates","Employed Part-time",477
"Male","50–54 Years","Upper Harbour","North Island general electorates","Employed Part-time",114
"Female","50–54 Years","Upper Harbour","North Island general electorates","Employed Part-time",393
"Male","55–59 Years","Upper Harbour","North Island general electorates","Employed Part-time",129
"Female","55–59 Years","Upper Harbour","North Island general electorates","Employed Part-time",324
"Male","60–64 Years","Upper Harbour","North Island general electorates","Employed Part-time",129
"Female","60–64 Years","Upper Harbour","North Island general electorates","Employed Part-time",237
"Male","65–69 Years","Upper Harbour","North Island general electorates","Employed Part-time",111
"Female","65–69 Years","Upper Harbour","North Island general electorates","Employed Part-time",183
"Male","70–74 Years","Upper Harbour","North Island general electorates","Employed Part-time",81
"Female","70–74 Years","Upper Harbour","North Island general electorates","Employed Part-time",63
"Male","75–79 Years","Upper Harbour","North Island general electorates","Employed Part-time",30
"Female","75–79 Years","Upper Harbour","North Island general electorates","Employed Part-time",24
"Male","80–84 Years","Upper Harbour","North Island general electorates","Employed Part-time",6
"Female","80–84 Years","Upper Harbour","North Island general electorates","Employed Part-time",9
"Male","85 Years And Over","Upper Harbour","North Island general electorates","Employed Part-time",9
"Female","85 Years And Over","Upper Harbour","North Island general electorates","Employed Part-time",6
"Male","15–19 Years","Waikato","North Island general electorates","Employed Part-time",405
"Female","15–19 Years","Waikato","North Island general electorates","Employed Part-time",555
"Male","20–24 Years","Waikato","North Island general electorates","Employed Part-time",168
"Female","20–24 Years","Waikato","North Island general electorates","Employed Part-time",339
"Male","25–29 Years","Waikato","North Island general electorates","Employed Part-time",84
"Female","25–29 Years","Waikato","North Island general electorates","Employed Part-time",267
"Male","30–34 Years","Waikato","North Island general electorates","Employed Part-time",72
"Female","30–34 Years","Waikato","North Island general electorates","Employed Part-time",408
"Male","35–39 Years","Waikato","North Island general electorates","Employed Part-time",78
"Female","35–39 Years","Waikato","North Island general electorates","Employed Part-time",561
"Male","40–44 Years","Waikato","North Island general electorates","Employed Part-time",105
"Female","40–44 Years","Waikato","North Island general electorates","Employed Part-time",792
"Male","45–49 Years","Waikato","North Island general electorates","Employed Part-time",99
"Female","45–49 Years","Waikato","North Island general electorates","Employed Part-time",651
"Male","50–54 Years","Waikato","North Island general electorates","Employed Part-time",126
"Female","50–54 Years","Waikato","North Island general electorates","Employed Part-time",630
"Male","55–59 Years","Waikato","North Island general electorates","Employed Part-time",168
"Female","55–59 Years","Waikato","North Island general electorates","Employed Part-time",495
"Male","60–64 Years","Waikato","North Island general electorates","Employed Part-time",162
"Female","60–64 Years","Waikato","North Island general electorates","Employed Part-time",462
"Male","65–69 Years","Waikato","North Island general electorates","Employed Part-time",222
"Female","65–69 Years","Waikato","North Island general electorates","Employed Part-time",330
"Male","70–74 Years","Waikato","North Island general electorates","Employed Part-time",165
"Female","70–74 Years","Waikato","North Island general electorates","Employed Part-time",162
"Male","75–79 Years","Waikato","North Island general electorates","Employed Part-time",129
"Female","75–79 Years","Waikato","North Island general electorates","Employed Part-time",72
"Male","80–84 Years","Waikato","North Island general electorates","Employed Part-time",63
"Female","80–84 Years","Waikato","North Island general electorates","Employed Part-time",36
"Male","85 Years And Over","Waikato","North Island general electorates","Employed Part-time",39
"Female","85 Years And Over","Waikato","North Island general electorates","Employed Part-time",30
"Male","15–19 Years","Wairarapa","North Island general electorates","Employed Part-time",411
"Female","15–19 Years","Wairarapa","North Island general electorates","Employed Part-time",540
"Male","20–24 Years","Wairarapa","North Island general electorates","Employed Part-time",105
"Female","20–24 Years","Wairarapa","North Island general electorates","Employed Part-time",294
"Male","25–29 Years","Wairarapa","North Island general electorates","Employed Part-time",60
"Female","25–29 Years","Wairarapa","North Island general electorates","Employed Part-time",291
"Male","30–34 Years","Wairarapa","North Island general electorates","Employed Part-time",69
"Female","30–34 Years","Wairarapa","North Island general electorates","Employed Part-time",429
"Male","35–39 Years","Wairarapa","North Island general electorates","Employed Part-time",78
"Female","35–39 Years","Wairarapa","North Island general electorates","Employed Part-time",552
"Male","40–44 Years","Wairarapa","North Island general electorates","Employed Part-time",105
"Female","40–44 Years","Wairarapa","North Island general electorates","Employed Part-time",678
