"level0","level1","level2","Total personal income(1)","count"
"Female","85 Years And Over","Ikaroa-Rāwhiti","$10,001– $15,000",27
"Male","15–19 Years","Tāmaki Makaurau","$10,001– $15,000",186
"Female","15–19 Years","Tāmaki Makaurau","$10,001– $15,000",246
"Male","20–24 Years","Tāmaki Makaurau","$10,001– $15,000",417
"Female","20–24 Years","Tāmaki Makaurau","$10,001– $15,000",534
"Male","25–29 Years","Tāmaki Makaurau","$10,001– $15,000",189
"Female","25–29 Years","Tāmaki Makaurau","$10,001– $15,000",309
"Male","30–34 Years","Tāmaki Makaurau","$10,001– $15,000",144
"Female","30–34 Years","Tāmaki Makaurau","$10,001– $15,000",219
"Male","35–39 Years","Tāmaki Makaurau","$10,001– $15,000",153
"Female","35–39 Years","Tāmaki Makaurau","$10,001– $15,000",195
"Male","40–44 Years","Tāmaki Makaurau","$10,001– $15,000",174
"Female","40–44 Years","Tāmaki Makaurau","$10,001– $15,000",252
"Male","45–49 Years","Tāmaki Makaurau","$10,001– $15,000",174
"Female","45–49 Years","Tāmaki Makaurau","$10,001– $15,000",240
"Male","50–54 Years","Tāmaki Makaurau","$10,001– $15,000",186
"Female","50–54 Years","Tāmaki Makaurau","$10,001– $15,000",234
"Male","55–59 Years","Tāmaki Makaurau","$10,001– $15,000",141
"Female","55–59 Years","Tāmaki Makaurau","$10,001– $15,000",177
"Male","60–64 Years","Tāmaki Makaurau","$10,001– $15,000",123
"Female","60–64 Years","Tāmaki Makaurau","$10,001– $15,000",186
"Male","65–69 Years","Tāmaki Makaurau","$10,001– $15,000",114
"Female","65–69 Years","Tāmaki Makaurau","$10,001– $15,000",156
"Male","70–74 Years","Tāmaki Makaurau","$10,001– $15,000",93
"Female","70–74 Years","Tāmaki Makaurau","$10,001– $15,000",117
"Male","75–79 Years","Tāmaki Makaurau","$10,001– $15,000",57
"Female","75–79 Years","Tāmaki Makaurau","$10,001– $15,000",72
"Male","80–84 Years","Tāmaki Makaurau","$10,001– $15,000",24
"Female","80–84 Years","Tāmaki Makaurau","$10,001– $15,000",30
"Male","85 Years And Over","Tāmaki Makaurau","$10,001– $15,000",6
"Female","85 Years And Over","Tāmaki Makaurau","$10,001– $15,000",21
"Male","15–19 Years","Te Tai Hauāuru","$10,001– $15,000",231
"Female","15–19 Years","Te Tai Hauāuru","$10,001– $15,000",246
"Male","20–24 Years","Te Tai Hauāuru","$10,001– $15,000",357
"Female","20–24 Years","Te Tai Hauāuru","$10,001– $15,000",504
"Male","25–29 Years","Te Tai Hauāuru","$10,001– $15,000",204
"Female","25–29 Years","Te Tai Hauāuru","$10,001– $15,000",405
"Male","30–34 Years","Te Tai Hauāuru","$10,001– $15,000",180
"Female","30–34 Years","Te Tai Hauāuru","$10,001– $15,000",282
"Male","35–39 Years","Te Tai Hauāuru","$10,001– $15,000",177
"Female","35–39 Years","Te Tai Hauāuru","$10,001– $15,000",318
"Male","40–44 Years","Te Tai Hauāuru","$10,001– $15,000",213
"Female","40–44 Years","Te Tai Hauāuru","$10,001– $15,000",327
"Male","45–49 Years","Te Tai Hauāuru","$10,001– $15,000",219
"Female","45–49 Years","Te Tai Hauāuru","$10,001– $15,000",306
"Male","50–54 Years","Te Tai Hauāuru","$10,001– $15,000",222
"Female","50–54 Years","Te Tai Hauāuru","$10,001– $15,000",324
"Male","55–59 Years","Te Tai Hauāuru","$10,001– $15,000",189
"Female","55–59 Years","Te Tai Hauāuru","$10,001– $15,000",282
"Male","60–64 Years","Te Tai Hauāuru","$10,001– $15,000",174
"Female","60–64 Years","Te Tai Hauāuru","$10,001– $15,000",309
"Male","65–69 Years","Te Tai Hauāuru","$10,001– $15,000",159
"Female","65–69 Years","Te Tai Hauāuru","$10,001– $15,000",225
"Male","70–74 Years","Te Tai Hauāuru","$10,001– $15,000",150
"Female","70–74 Years","Te Tai Hauāuru","$10,001– $15,000",150
"Male","75–79 Years","Te Tai Hauāuru","$10,001– $15,000",84
"Female","75–79 Years","Te Tai Hauāuru","$10,001– $15,000",99
"Male","80–84 Years","Te Tai Hauāuru","$10,001– $15,000",42
"Female","80–84 Years","Te Tai Hauāuru","$10,001– $15,000",39
"Male","85 Years And Over","Te Tai Hauāuru","$10,001– $15,000",12
"Female","85 Years And Over","Te Tai Hauāuru","$10,001– $15,000",24
"Male","15–19 Years","Te Tai Tokerau","$10,001– $15,000",201
"Female","15–19 Years","Te Tai Tokerau","$10,001– $15,000",234
"Male","20–24 Years","Te Tai Tokerau","$10,001– $15,000",354
"Female","20–24 Years","Te Tai Tokerau","$10,001– $15,000",450
"Male","25–29 Years","Te Tai Tokerau","$10,001– $15,000",210
"Female","25–29 Years","Te Tai Tokerau","$10,001– $15,000",318
"Male","30–34 Years","Te Tai Tokerau","$10,001– $15,000",150
"Female","30–34 Years","Te Tai Tokerau","$10,001– $15,000",249
"Male","35–39 Years","Te Tai Tokerau","$10,001– $15,000",162
"Female","35–39 Years","Te Tai Tokerau","$10,001– $15,000",282
"Male","40–44 Years","Te Tai Tokerau","$10,001– $15,000",201
"Female","40–44 Years","Te Tai Tokerau","$10,001– $15,000",336
"Male","45–49 Years","Te Tai Tokerau","$10,001– $15,000",222
"Female","45–49 Years","Te Tai Tokerau","$10,001– $15,000",303
"Male","50–54 Years","Te Tai Tokerau","$10,001– $15,000",231
"Female","50–54 Years","Te Tai Tokerau","$10,001– $15,000",285
"Male","55–59 Years","Te Tai Tokerau","$10,001– $15,000",186
"Female","55–59 Years","Te Tai Tokerau","$10,001– $15,000",288
"Male","60–64 Years","Te Tai Tokerau","$10,001– $15,000",180
"Female","60–64 Years","Te Tai Tokerau","$10,001– $15,000",267
"Male","65–69 Years","Te Tai Tokerau","$10,001– $15,000",171
"Female","65–69 Years","Te Tai Tokerau","$10,001– $15,000",225
"Male","70–74 Years","Te Tai Tokerau","$10,001– $15,000",159
"Female","70–74 Years","Te Tai Tokerau","$10,001– $15,000",153
"Male","75–79 Years","Te Tai Tokerau","$10,001– $15,000",90
"Female","75–79 Years","Te Tai Tokerau","$10,001– $15,000",117
"Male","80–84 Years","Te Tai Tokerau","$10,001– $15,000",54
"Female","80–84 Years","Te Tai Tokerau","$10,001– $15,000",57
"Male","85 Years And Over","Te Tai Tokerau","$10,001– $15,000",15
"Female","85 Years And Over","Te Tai Tokerau","$10,001– $15,000",27
"Male","15–19 Years","Te Tai Tonga","$10,001– $15,000",363
"Female","15–19 Years","Te Tai Tonga","$10,001– $15,000",387
"Male","20–24 Years","Te Tai Tonga","$10,001– $15,000",555
"Female","20–24 Years","Te Tai Tonga","$10,001– $15,000",771
"Male","25–29 Years","Te Tai Tonga","$10,001– $15,000",240
"Female","25–29 Years","Te Tai Tonga","$10,001– $15,000",393
"Male","30–34 Years","Te Tai Tonga","$10,001– $15,000",198
"Female","30–34 Years","Te Tai Tonga","$10,001– $15,000",363
"Male","35–39 Years","Te Tai Tonga","$10,001– $15,000",186
"Female","35–39 Years","Te Tai Tonga","$10,001– $15,000",309
"Male","40–44 Years","Te Tai Tonga","$10,001– $15,000",201
"Female","40–44 Years","Te Tai Tonga","$10,001– $15,000",351
"Male","45–49 Years","Te Tai Tonga","$10,001– $15,000",240
"Female","45–49 Years","Te Tai Tonga","$10,001– $15,000",324
"Male","50–54 Years","Te Tai Tonga","$10,001– $15,000",174
"Female","50–54 Years","Te Tai Tonga","$10,001– $15,000",291
"Male","55–59 Years","Te Tai Tonga","$10,001– $15,000",171
"Female","55–59 Years","Te Tai Tonga","$10,001– $15,000",255
"Male","60–64 Years","Te Tai Tonga","$10,001– $15,000",159
"Female","60–64 Years","Te Tai Tonga","$10,001– $15,000",249
"Male","65–69 Years","Te Tai Tonga","$10,001– $15,000",138
"Female","65–69 Years","Te Tai Tonga","$10,001– $15,000",195
"Male","70–74 Years","Te Tai Tonga","$10,001– $15,000",162
"Female","70–74 Years","Te Tai Tonga","$10,001– $15,000",171
"Male","75–79 Years","Te Tai Tonga","$10,001– $15,000",78
"Female","75–79 Years","Te Tai Tonga","$10,001– $15,000",78
"Male","80–84 Years","Te Tai Tonga","$10,001– $15,000",39
"Female","80–84 Years","Te Tai Tonga","$10,001– $15,000",51
"Male","85 Years And Over","Te Tai Tonga","$10,001– $15,000",18
"Female","85 Years And Over","Te Tai Tonga","$10,001– $15,000",27
"Male","15–19 Years","Waiariki","$10,001– $15,000",177
"Female","15–19 Years","Waiariki","$10,001– $15,000",195
"Male","20–24 Years","Waiariki","$10,001– $15,000",264
"Female","20–24 Years","Waiariki","$10,001– $15,000",432
"Male","25–29 Years","Waiariki","$10,001– $15,000",183
"Female","25–29 Years","Waiariki","$10,001– $15,000",321
"Male","30–34 Years","Waiariki","$10,001– $15,000",147
"Female","30–34 Years","Waiariki","$10,001– $15,000",261
"Male","35–39 Years","Waiariki","$10,001– $15,000",165
"Female","35–39 Years","Waiariki","$10,001– $15,000",279
"Male","40–44 Years","Waiariki","$10,001– $15,000",180
"Female","40–44 Years","Waiariki","$10,001– $15,000",297
"Male","45–49 Years","Waiariki","$10,001– $15,000",183
"Female","45–49 Years","Waiariki","$10,001– $15,000",279
"Male","50–54 Years","Waiariki","$10,001– $15,000",207
"Female","50–54 Years","Waiariki","$10,001– $15,000",330
"Male","55–59 Years","Waiariki","$10,001– $15,000",144
"Female","55–59 Years","Waiariki","$10,001– $15,000",273
"Male","60–64 Years","Waiariki","$10,001– $15,000",171
"Female","60–64 Years","Waiariki","$10,001– $15,000",276
"Male","65–69 Years","Waiariki","$10,001– $15,000",144
"Female","65–69 Years","Waiariki","$10,001– $15,000",183
"Male","70–74 Years","Waiariki","$10,001– $15,000",144
"Female","70–74 Years","Waiariki","$10,001– $15,000",156
"Male","75–79 Years","Waiariki","$10,001– $15,000",99
"Female","75–79 Years","Waiariki","$10,001– $15,000",96
"Male","80–84 Years","Waiariki","$10,001– $15,000",36
"Female","80–84 Years","Waiariki","$10,001– $15,000",51
"Male","85 Years And Over","Waiariki","$10,001– $15,000",15
"Female","85 Years And Over","Waiariki","$10,001– $15,000",27
"Male","15–19 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","15–19 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","20–24 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","20–24 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","25–29 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","25–29 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","30–34 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","30–34 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","35–39 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","35–39 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","40–44 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","40–44 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","45–49 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","45–49 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","50–54 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","50–54 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","55–59 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","55–59 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","60–64 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","60–64 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","65–69 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","65–69 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","70–74 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","70–74 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","75–79 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","75–79 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","80–84 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","80–84 Years","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","85 Years And Over","Area Outside Māori Electorate","$10,001– $15,000",NA
"Female","85 Years And Over","Area Outside Māori Electorate","$10,001– $15,000",NA
"Male","15–19 Years","Hauraki-Waikato","$15,001– $20,000",129
"Female","15–19 Years","Hauraki-Waikato","$15,001– $20,000",156
"Male","20–24 Years","Hauraki-Waikato","$15,001– $20,000",291
"Female","20–24 Years","Hauraki-Waikato","$15,001– $20,000",489
"Male","25–29 Years","Hauraki-Waikato","$15,001– $20,000",180
"Female","25–29 Years","Hauraki-Waikato","$15,001– $20,000",339
"Male","30–34 Years","Hauraki-Waikato","$15,001– $20,000",132
"Female","30–34 Years","Hauraki-Waikato","$15,001– $20,000",303
"Male","35–39 Years","Hauraki-Waikato","$15,001– $20,000",132
"Female","35–39 Years","Hauraki-Waikato","$15,001– $20,000",279
"Male","40–44 Years","Hauraki-Waikato","$15,001– $20,000",138
"Female","40–44 Years","Hauraki-Waikato","$15,001– $20,000",330
"Male","45–49 Years","Hauraki-Waikato","$15,001– $20,000",123
"Female","45–49 Years","Hauraki-Waikato","$15,001– $20,000",249
"Male","50–54 Years","Hauraki-Waikato","$15,001– $20,000",123
"Female","50–54 Years","Hauraki-Waikato","$15,001– $20,000",231
"Male","55–59 Years","Hauraki-Waikato","$15,001– $20,000",108
"Female","55–59 Years","Hauraki-Waikato","$15,001– $20,000",201
"Male","60–64 Years","Hauraki-Waikato","$15,001– $20,000",96
"Female","60–64 Years","Hauraki-Waikato","$15,001– $20,000",168
"Male","65–69 Years","Hauraki-Waikato","$15,001– $20,000",159
"Female","65–69 Years","Hauraki-Waikato","$15,001– $20,000",201
"Male","70–74 Years","Hauraki-Waikato","$15,001– $20,000",147
"Female","70–74 Years","Hauraki-Waikato","$15,001– $20,000",186
"Male","75–79 Years","Hauraki-Waikato","$15,001– $20,000",87
"Female","75–79 Years","Hauraki-Waikato","$15,001– $20,000",111
"Male","80–84 Years","Hauraki-Waikato","$15,001– $20,000",48
"Female","80–84 Years","Hauraki-Waikato","$15,001– $20,000",81
"Male","85 Years And Over","Hauraki-Waikato","$15,001– $20,000",18
"Female","85 Years And Over","Hauraki-Waikato","$15,001– $20,000",39
"Male","15–19 Years","Ikaroa-Rāwhiti","$15,001– $20,000",117
"Female","15–19 Years","Ikaroa-Rāwhiti","$15,001– $20,000",129
"Male","20–24 Years","Ikaroa-Rāwhiti","$15,001– $20,000",246
"Female","20–24 Years","Ikaroa-Rāwhiti","$15,001– $20,000",408
"Male","25–29 Years","Ikaroa-Rāwhiti","$15,001– $20,000",165
"Female","25–29 Years","Ikaroa-Rāwhiti","$15,001– $20,000",336
"Male","30–34 Years","Ikaroa-Rāwhiti","$15,001– $20,000",117
"Female","30–34 Years","Ikaroa-Rāwhiti","$15,001– $20,000",294
"Male","35–39 Years","Ikaroa-Rāwhiti","$15,001– $20,000",120
"Female","35–39 Years","Ikaroa-Rāwhiti","$15,001– $20,000",306
"Male","40–44 Years","Ikaroa-Rāwhiti","$15,001– $20,000",144
"Female","40–44 Years","Ikaroa-Rāwhiti","$15,001– $20,000",315
"Male","45–49 Years","Ikaroa-Rāwhiti","$15,001– $20,000",123
"Female","45–49 Years","Ikaroa-Rāwhiti","$15,001– $20,000",282
"Male","50–54 Years","Ikaroa-Rāwhiti","$15,001– $20,000",129
"Female","50–54 Years","Ikaroa-Rāwhiti","$15,001– $20,000",291
"Male","55–59 Years","Ikaroa-Rāwhiti","$15,001– $20,000",114
"Female","55–59 Years","Ikaroa-Rāwhiti","$15,001– $20,000",204
"Male","60–64 Years","Ikaroa-Rāwhiti","$15,001– $20,000",123
"Female","60–64 Years","Ikaroa-Rāwhiti","$15,001– $20,000",204
"Male","65–69 Years","Ikaroa-Rāwhiti","$15,001– $20,000",168
"Female","65–69 Years","Ikaroa-Rāwhiti","$15,001– $20,000",213
"Male","70–74 Years","Ikaroa-Rāwhiti","$15,001– $20,000",171
"Female","70–74 Years","Ikaroa-Rāwhiti","$15,001– $20,000",219
"Male","75–79 Years","Ikaroa-Rāwhiti","$15,001– $20,000",90
"Female","75–79 Years","Ikaroa-Rāwhiti","$15,001– $20,000",147
"Male","80–84 Years","Ikaroa-Rāwhiti","$15,001– $20,000",60
"Female","80–84 Years","Ikaroa-Rāwhiti","$15,001– $20,000",84
"Male","85 Years And Over","Ikaroa-Rāwhiti","$15,001– $20,000",18
"Female","85 Years And Over","Ikaroa-Rāwhiti","$15,001– $20,000",42
"Male","15–19 Years","Tāmaki Makaurau","$15,001– $20,000",93
"Female","15–19 Years","Tāmaki Makaurau","$15,001– $20,000",135
"Male","20–24 Years","Tāmaki Makaurau","$15,001– $20,000",306
"Female","20–24 Years","Tāmaki Makaurau","$15,001– $20,000",504
"Male","25–29 Years","Tāmaki Makaurau","$15,001– $20,000",183
"Female","25–29 Years","Tāmaki Makaurau","$15,001– $20,000",300
"Male","30–34 Years","Tāmaki Makaurau","$15,001– $20,000",120
"Female","30–34 Years","Tāmaki Makaurau","$15,001– $20,000",252
"Male","35–39 Years","Tāmaki Makaurau","$15,001– $20,000",123
"Female","35–39 Years","Tāmaki Makaurau","$15,001– $20,000",231
"Male","40–44 Years","Tāmaki Makaurau","$15,001– $20,000",135
"Female","40–44 Years","Tāmaki Makaurau","$15,001– $20,000",267
"Male","45–49 Years","Tāmaki Makaurau","$15,001– $20,000",120
"Female","45–49 Years","Tāmaki Makaurau","$15,001– $20,000",201
"Male","50–54 Years","Tāmaki Makaurau","$15,001– $20,000",117
"Female","50–54 Years","Tāmaki Makaurau","$15,001– $20,000",198
"Male","55–59 Years","Tāmaki Makaurau","$15,001– $20,000",81
"Female","55–59 Years","Tāmaki Makaurau","$15,001– $20,000",177
"Male","60–64 Years","Tāmaki Makaurau","$15,001– $20,000",63
"Female","60–64 Years","Tāmaki Makaurau","$15,001– $20,000",132
"Male","65–69 Years","Tāmaki Makaurau","$15,001– $20,000",114
"Female","65–69 Years","Tāmaki Makaurau","$15,001– $20,000",174
"Male","70–74 Years","Tāmaki Makaurau","$15,001– $20,000",117
"Female","70–74 Years","Tāmaki Makaurau","$15,001– $20,000",150
"Male","75–79 Years","Tāmaki Makaurau","$15,001– $20,000",66
"Female","75–79 Years","Tāmaki Makaurau","$15,001– $20,000",96
"Male","80–84 Years","Tāmaki Makaurau","$15,001– $20,000",30
"Female","80–84 Years","Tāmaki Makaurau","$15,001– $20,000",69
"Male","85 Years And Over","Tāmaki Makaurau","$15,001– $20,000",12
"Female","85 Years And Over","Tāmaki Makaurau","$15,001– $20,000",42
"Male","15–19 Years","Te Tai Hauāuru","$15,001– $20,000",138
"Female","15–19 Years","Te Tai Hauāuru","$15,001– $20,000",135
"Male","20–24 Years","Te Tai Hauāuru","$15,001– $20,000",267
"Female","20–24 Years","Te Tai Hauāuru","$15,001– $20,000",477
"Male","25–29 Years","Te Tai Hauāuru","$15,001– $20,000",153
"Female","25–29 Years","Te Tai Hauāuru","$15,001– $20,000",369
"Male","30–34 Years","Te Tai Hauāuru","$15,001– $20,000",126
"Female","30–34 Years","Te Tai Hauāuru","$15,001– $20,000",324
"Male","35–39 Years","Te Tai Hauāuru","$15,001– $20,000",129
"Female","35–39 Years","Te Tai Hauāuru","$15,001– $20,000",330
"Male","40–44 Years","Te Tai Hauāuru","$15,001– $20,000",135
"Female","40–44 Years","Te Tai Hauāuru","$15,001– $20,000",306
"Male","45–49 Years","Te Tai Hauāuru","$15,001– $20,000",129
"Female","45–49 Years","Te Tai Hauāuru","$15,001– $20,000",306
"Male","50–54 Years","Te Tai Hauāuru","$15,001– $20,000",141
"Female","50–54 Years","Te Tai Hauāuru","$15,001– $20,000",255
"Male","55–59 Years","Te Tai Hauāuru","$15,001– $20,000",129
"Female","55–59 Years","Te Tai Hauāuru","$15,001– $20,000",225
"Male","60–64 Years","Te Tai Hauāuru","$15,001– $20,000",117
"Female","60–64 Years","Te Tai Hauāuru","$15,001– $20,000",204
"Male","65–69 Years","Te Tai Hauāuru","$15,001– $20,000",183
"Female","65–69 Years","Te Tai Hauāuru","$15,001– $20,000",261
"Male","70–74 Years","Te Tai Hauāuru","$15,001– $20,000",201
"Female","70–74 Years","Te Tai Hauāuru","$15,001– $20,000",216
"Male","75–79 Years","Te Tai Hauāuru","$15,001– $20,000",126
"Female","75–79 Years","Te Tai Hauāuru","$15,001– $20,000",159
"Male","80–84 Years","Te Tai Hauāuru","$15,001– $20,000",66
"Female","80–84 Years","Te Tai Hauāuru","$15,001– $20,000",90
"Male","85 Years And Over","Te Tai Hauāuru","$15,001– $20,000",21
"Female","85 Years And Over","Te Tai Hauāuru","$15,001– $20,000",51
"Male","15–19 Years","Te Tai Tokerau","$15,001– $20,000",138
"Female","15–19 Years","Te Tai Tokerau","$15,001– $20,000",129
"Male","20–24 Years","Te Tai Tokerau","$15,001– $20,000",243
"Female","20–24 Years","Te Tai Tokerau","$15,001– $20,000",405
"Male","25–29 Years","Te Tai Tokerau","$15,001– $20,000",159
"Female","25–29 Years","Te Tai Tokerau","$15,001– $20,000",288
"Male","30–34 Years","Te Tai Tokerau","$15,001– $20,000",129
"Female","30–34 Years","Te Tai Tokerau","$15,001– $20,000",255
"Male","35–39 Years","Te Tai Tokerau","$15,001– $20,000",132
"Female","35–39 Years","Te Tai Tokerau","$15,001– $20,000",315
"Male","40–44 Years","Te Tai Tokerau","$15,001– $20,000",126
"Female","40–44 Years","Te Tai Tokerau","$15,001– $20,000",276
"Male","45–49 Years","Te Tai Tokerau","$15,001– $20,000",168
"Female","45–49 Years","Te Tai Tokerau","$15,001– $20,000",297
"Male","50–54 Years","Te Tai Tokerau","$15,001– $20,000",168
"Female","50–54 Years","Te Tai Tokerau","$15,001– $20,000",303
"Male","55–59 Years","Te Tai Tokerau","$15,001– $20,000",138
"Female","55–59 Years","Te Tai Tokerau","$15,001– $20,000",219
"Male","60–64 Years","Te Tai Tokerau","$15,001– $20,000",120
"Female","60–64 Years","Te Tai Tokerau","$15,001– $20,000",207
"Male","65–69 Years","Te Tai Tokerau","$15,001– $20,000",180
"Female","65–69 Years","Te Tai Tokerau","$15,001– $20,000",255
"Male","70–74 Years","Te Tai Tokerau","$15,001– $20,000",183
"Female","70–74 Years","Te Tai Tokerau","$15,001– $20,000",249
"Male","75–79 Years","Te Tai Tokerau","$15,001– $20,000",126
"Female","75–79 Years","Te Tai Tokerau","$15,001– $20,000",177
"Male","80–84 Years","Te Tai Tokerau","$15,001– $20,000",84
"Female","80–84 Years","Te Tai Tokerau","$15,001– $20,000",114
"Male","85 Years And Over","Te Tai Tokerau","$15,001– $20,000",36
"Female","85 Years And Over","Te Tai Tokerau","$15,001– $20,000",75
"Male","15–19 Years","Te Tai Tonga","$15,001– $20,000",207
"Female","15–19 Years","Te Tai Tonga","$15,001– $20,000",210
"Male","20–24 Years","Te Tai Tonga","$15,001– $20,000",429
"Female","20–24 Years","Te Tai Tonga","$15,001– $20,000",699
"Male","25–29 Years","Te Tai Tonga","$15,001– $20,000",207
"Female","25–29 Years","Te Tai Tonga","$15,001– $20,000",405
"Male","30–34 Years","Te Tai Tonga","$15,001– $20,000",147
"Female","30–34 Years","Te Tai Tonga","$15,001– $20,000",366
"Male","35–39 Years","Te Tai Tonga","$15,001– $20,000",129
"Female","35–39 Years","Te Tai Tonga","$15,001– $20,000",324
"Male","40–44 Years","Te Tai Tonga","$15,001– $20,000",147
"Female","40–44 Years","Te Tai Tonga","$15,001– $20,000",375
"Male","45–49 Years","Te Tai Tonga","$15,001– $20,000",174
"Female","45–49 Years","Te Tai Tonga","$15,001– $20,000",318
"Male","50–54 Years","Te Tai Tonga","$15,001– $20,000",153
"Female","50–54 Years","Te Tai Tonga","$15,001– $20,000",342
"Male","55–59 Years","Te Tai Tonga","$15,001– $20,000",135
"Female","55–59 Years","Te Tai Tonga","$15,001– $20,000",249
"Male","60–64 Years","Te Tai Tonga","$15,001– $20,000",123
"Female","60–64 Years","Te Tai Tonga","$15,001– $20,000",180
"Male","65–69 Years","Te Tai Tonga","$15,001– $20,000",177
"Female","65–69 Years","Te Tai Tonga","$15,001– $20,000",252
"Male","70–74 Years","Te Tai Tonga","$15,001– $20,000",249
"Female","70–74 Years","Te Tai Tonga","$15,001– $20,000",216
"Male","75–79 Years","Te Tai Tonga","$15,001– $20,000",135
"Female","75–79 Years","Te Tai Tonga","$15,001– $20,000",138
"Male","80–84 Years","Te Tai Tonga","$15,001– $20,000",78
"Female","80–84 Years","Te Tai Tonga","$15,001– $20,000",93
"Male","85 Years And Over","Te Tai Tonga","$15,001– $20,000",27
"Female","85 Years And Over","Te Tai Tonga","$15,001– $20,000",51
"Male","15–19 Years","Waiariki","$15,001– $20,000",96
"Female","15–19 Years","Waiariki","$15,001– $20,000",117
"Male","20–24 Years","Waiariki","$15,001– $20,000",243
"Female","20–24 Years","Waiariki","$15,001– $20,000",387
"Male","25–29 Years","Waiariki","$15,001– $20,000",138
"Female","25–29 Years","Waiariki","$15,001– $20,000",306
"Male","30–34 Years","Waiariki","$15,001– $20,000",129
"Female","30–34 Years","Waiariki","$15,001– $20,000",312
"Male","35–39 Years","Waiariki","$15,001– $20,000",153
"Female","35–39 Years","Waiariki","$15,001– $20,000",336
"Male","40–44 Years","Waiariki","$15,001– $20,000",141
"Female","40–44 Years","Waiariki","$15,001– $20,000",315
"Male","45–49 Years","Waiariki","$15,001– $20,000",117
"Female","45–49 Years","Waiariki","$15,001– $20,000",291
"Male","50–54 Years","Waiariki","$15,001– $20,000",132
"Female","50–54 Years","Waiariki","$15,001– $20,000",243
"Male","55–59 Years","Waiariki","$15,001– $20,000",93
"Female","55–59 Years","Waiariki","$15,001– $20,000",234
"Male","60–64 Years","Waiariki","$15,001– $20,000",114
"Female","60–64 Years","Waiariki","$15,001– $20,000",180
"Male","65–69 Years","Waiariki","$15,001– $20,000",183
"Female","65–69 Years","Waiariki","$15,001– $20,000",246
"Male","70–74 Years","Waiariki","$15,001– $20,000",195
"Female","70–74 Years","Waiariki","$15,001– $20,000",237
"Male","75–79 Years","Waiariki","$15,001– $20,000",141
"Female","75–79 Years","Waiariki","$15,001– $20,000",144
"Male","80–84 Years","Waiariki","$15,001– $20,000",63
"Female","80–84 Years","Waiariki","$15,001– $20,000",93
"Male","85 Years And Over","Waiariki","$15,001– $20,000",27
"Female","85 Years And Over","Waiariki","$15,001– $20,000",54
"Male","15–19 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Female","15–19 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Male","20–24 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Female","20–24 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Male","25–29 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Female","25–29 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Male","30–34 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Female","30–34 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Male","35–39 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Female","35–39 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Male","40–44 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Female","40–44 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Male","45–49 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Female","45–49 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Male","50–54 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Female","50–54 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Male","55–59 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
"Female","55–59 Years","Area Outside Māori Electorate","$15,001– $20,000",NA
