"level0","level1","level2","Sources of personal income(1)(2)","count"
"Wages, Salary, Commissions, Bonuses etc","Pakuranga","North Island general electorates","Male",13305
"Self–employment or Business","Pakuranga","North Island general electorates","Male",4380
"Interest, Dividends, Rent, Other Invest.","Pakuranga","North Island general electorates","Male",5370
"Payments from a Work Accident Insurer","Pakuranga","North Island general electorates","Male",210
"NZ Superannuation or Veterans Pension","Pakuranga","North Island general electorates","Male",3249
"Other Super., Pensions, Annuities","Pakuranga","North Island general electorates","Male",621
"Unemployment Benefit","Pakuranga","North Island general electorates","Male",444
"Sickness Benefit","Pakuranga","North Island general electorates","Male",408
"Domestic Purposes Benefit","Pakuranga","North Island general electorates","Male",57
"Invalids Benefit","Pakuranga","North Island general electorates","Male",189
"Student Allowance","Pakuranga","North Island general electorates","Male",609
"Other Govt Benefits, Payments or Pension","Pakuranga","North Island general electorates","Male",456
"Other Sources of Income","Pakuranga","North Island general electorates","Male",261
"No Source of Income During That Time(3)","Pakuranga","North Island general electorates","Male",2058
"Not Stated","Pakuranga","North Island general electorates","Male",1176
"Wages, Salary, Commissions, Bonuses etc","Palmerston North","North Island general electorates","Male",14670
"Self–employment or Business","Palmerston North","North Island general electorates","Male",2919
"Interest, Dividends, Rent, Other Invest.","Palmerston North","North Island general electorates","Male",4653
"Payments from a Work Accident Insurer","Palmerston North","North Island general electorates","Male",369
"NZ Superannuation or Veterans Pension","Palmerston North","North Island general electorates","Male",3498
"Other Super., Pensions, Annuities","Palmerston North","North Island general electorates","Male",870
"Unemployment Benefit","Palmerston North","North Island general electorates","Male",948
"Sickness Benefit","Palmerston North","North Island general electorates","Male",585
"Domestic Purposes Benefit","Palmerston North","North Island general electorates","Male",147
"Invalids Benefit","Palmerston North","North Island general electorates","Male",834
"Student Allowance","Palmerston North","North Island general electorates","Male",1206
"Other Govt Benefits, Payments or Pension","Palmerston North","North Island general electorates","Male",651
"Other Sources of Income","Palmerston North","North Island general electorates","Male",459
"No Source of Income During That Time(3)","Palmerston North","North Island general electorates","Male",1362
"Not Stated","Palmerston North","North Island general electorates","Male",1776
"Wages, Salary, Commissions, Bonuses etc","Papakura","North Island general electorates","Male",14598
"Self–employment or Business","Papakura","North Island general electorates","Male",3873
"Interest, Dividends, Rent, Other Invest.","Papakura","North Island general electorates","Male",3945
"Payments from a Work Accident Insurer","Papakura","North Island general electorates","Male",306
"NZ Superannuation or Veterans Pension","Papakura","North Island general electorates","Male",3027
"Other Super., Pensions, Annuities","Papakura","North Island general electorates","Male",546
"Unemployment Benefit","Papakura","North Island general electorates","Male",1047
"Sickness Benefit","Papakura","North Island general electorates","Male",798
"Domestic Purposes Benefit","Papakura","North Island general electorates","Male",249
"Invalids Benefit","Papakura","North Island general electorates","Male",573
"Student Allowance","Papakura","North Island general electorates","Male",543
"Other Govt Benefits, Payments or Pension","Papakura","North Island general electorates","Male",528
"Other Sources of Income","Papakura","North Island general electorates","Male",189
"No Source of Income During That Time(3)","Papakura","North Island general electorates","Male",1767
"Not Stated","Papakura","North Island general electorates","Male",2376
"Wages, Salary, Commissions, Bonuses etc","Rangitikei","North Island general electorates","Male",14844
"Self–employment or Business","Rangitikei","North Island general electorates","Male",5541
"Interest, Dividends, Rent, Other Invest.","Rangitikei","North Island general electorates","Male",5319
"Payments from a Work Accident Insurer","Rangitikei","North Island general electorates","Male",468
"NZ Superannuation or Veterans Pension","Rangitikei","North Island general electorates","Male",4329
"Other Super., Pensions, Annuities","Rangitikei","North Island general electorates","Male",717
"Unemployment Benefit","Rangitikei","North Island general electorates","Male",792
"Sickness Benefit","Rangitikei","North Island general electorates","Male",579
"Domestic Purposes Benefit","Rangitikei","North Island general electorates","Male",147
"Invalids Benefit","Rangitikei","North Island general electorates","Male",723
"Student Allowance","Rangitikei","North Island general electorates","Male",387
"Other Govt Benefits, Payments or Pension","Rangitikei","North Island general electorates","Male",513
"Other Sources of Income","Rangitikei","North Island general electorates","Male",258
"No Source of Income During That Time(3)","Rangitikei","North Island general electorates","Male",1377
"Not Stated","Rangitikei","North Island general electorates","Male",1584
"Wages, Salary, Commissions, Bonuses etc","Rimutaka","North Island general electorates","Male",14781
"Self–employment or Business","Rimutaka","North Island general electorates","Male",3309
"Interest, Dividends, Rent, Other Invest.","Rimutaka","North Island general electorates","Male",4437
"Payments from a Work Accident Insurer","Rimutaka","North Island general electorates","Male",402
"NZ Superannuation or Veterans Pension","Rimutaka","North Island general electorates","Male",3732
"Other Super., Pensions, Annuities","Rimutaka","North Island general electorates","Male",957
"Unemployment Benefit","Rimutaka","North Island general electorates","Male",1104
"Sickness Benefit","Rimutaka","North Island general electorates","Male",714
"Domestic Purposes Benefit","Rimutaka","North Island general electorates","Male",174
"Invalids Benefit","Rimutaka","North Island general electorates","Male",717
"Student Allowance","Rimutaka","North Island general electorates","Male",420
"Other Govt Benefits, Payments or Pension","Rimutaka","North Island general electorates","Male",573
"Other Sources of Income","Rimutaka","North Island general electorates","Male",222
"No Source of Income During That Time(3)","Rimutaka","North Island general electorates","Male",1698
"Not Stated","Rimutaka","North Island general electorates","Male",2076
"Wages, Salary, Commissions, Bonuses etc","Rodney","North Island general electorates","Male",11442
"Self–employment or Business","Rodney","North Island general electorates","Male",5772
"Interest, Dividends, Rent, Other Invest.","Rodney","North Island general electorates","Male",6093
"Payments from a Work Accident Insurer","Rodney","North Island general electorates","Male",336
"NZ Superannuation or Veterans Pension","Rodney","North Island general electorates","Male",5586
"Other Super., Pensions, Annuities","Rodney","North Island general electorates","Male",1110
"Unemployment Benefit","Rodney","North Island general electorates","Male",474
"Sickness Benefit","Rodney","North Island general electorates","Male",477
"Domestic Purposes Benefit","Rodney","North Island general electorates","Male",93
"Invalids Benefit","Rodney","North Island general electorates","Male",351
"Student Allowance","Rodney","North Island general electorates","Male",348
"Other Govt Benefits, Payments or Pension","Rodney","North Island general electorates","Male",504
"Other Sources of Income","Rodney","North Island general electorates","Male",186
"No Source of Income During That Time(3)","Rodney","North Island general electorates","Male",1068
"Not Stated","Rodney","North Island general electorates","Male",1302
"Wages, Salary, Commissions, Bonuses etc","Rongotai","North Island general electorates","Male",14694
"Self–employment or Business","Rongotai","North Island general electorates","Male",5043
"Interest, Dividends, Rent, Other Invest.","Rongotai","North Island general electorates","Male",5898
"Payments from a Work Accident Insurer","Rongotai","North Island general electorates","Male",222
"NZ Superannuation or Veterans Pension","Rongotai","North Island general electorates","Male",2403
"Other Super., Pensions, Annuities","Rongotai","North Island general electorates","Male",654
"Unemployment Benefit","Rongotai","North Island general electorates","Male",942
"Sickness Benefit","Rongotai","North Island general electorates","Male",516
"Domestic Purposes Benefit","Rongotai","North Island general electorates","Male",90
"Invalids Benefit","Rongotai","North Island general electorates","Male",534
"Student Allowance","Rongotai","North Island general electorates","Male",849
"Other Govt Benefits, Payments or Pension","Rongotai","North Island general electorates","Male",474
"Other Sources of Income","Rongotai","North Island general electorates","Male",450
"No Source of Income During That Time(3)","Rongotai","North Island general electorates","Male",1233
"Not Stated","Rongotai","North Island general electorates","Male",1665
"Wages, Salary, Commissions, Bonuses etc","Rotorua","North Island general electorates","Male",14895
"Self–employment or Business","Rotorua","North Island general electorates","Male",4791
"Interest, Dividends, Rent, Other Invest.","Rotorua","North Island general electorates","Male",4734
"Payments from a Work Accident Insurer","Rotorua","North Island general electorates","Male",438
"NZ Superannuation or Veterans Pension","Rotorua","North Island general electorates","Male",4245
"Other Super., Pensions, Annuities","Rotorua","North Island general electorates","Male",711
"Unemployment Benefit","Rotorua","North Island general electorates","Male",1146
"Sickness Benefit","Rotorua","North Island general electorates","Male",759
"Domestic Purposes Benefit","Rotorua","North Island general electorates","Male",285
"Invalids Benefit","Rotorua","North Island general electorates","Male",618
"Student Allowance","Rotorua","North Island general electorates","Male",555
"Other Govt Benefits, Payments or Pension","Rotorua","North Island general electorates","Male",528
"Other Sources of Income","Rotorua","North Island general electorates","Male",261
"No Source of Income During That Time(3)","Rotorua","North Island general electorates","Male",1554
"Not Stated","Rotorua","North Island general electorates","Male",3063
"Wages, Salary, Commissions, Bonuses etc","Tamaki","North Island general electorates","Male",11994
"Self–employment or Business","Tamaki","North Island general electorates","Male",5208
"Interest, Dividends, Rent, Other Invest.","Tamaki","North Island general electorates","Male",7092
"Payments from a Work Accident Insurer","Tamaki","North Island general electorates","Male",138
"NZ Superannuation or Veterans Pension","Tamaki","North Island general electorates","Male",3105
"Other Super., Pensions, Annuities","Tamaki","North Island general electorates","Male",663
"Unemployment Benefit","Tamaki","North Island general electorates","Male",444
"Sickness Benefit","Tamaki","North Island general electorates","Male",381
"Domestic Purposes Benefit","Tamaki","North Island general electorates","Male",51
"Invalids Benefit","Tamaki","North Island general electorates","Male",186
"Student Allowance","Tamaki","North Island general electorates","Male",495
"Other Govt Benefits, Payments or Pension","Tamaki","North Island general electorates","Male",291
"Other Sources of Income","Tamaki","North Island general electorates","Male",336
"No Source of Income During That Time(3)","Tamaki","North Island general electorates","Male",1281
"Not Stated","Tamaki","North Island general electorates","Male",1689
"Wages, Salary, Commissions, Bonuses etc","Taranaki-King Country","North Island general electorates","Male",13473
"Self–employment or Business","Taranaki-King Country","North Island general electorates","Male",6696
"Interest, Dividends, Rent, Other Invest.","Taranaki-King Country","North Island general electorates","Male",5205
"Payments from a Work Accident Insurer","Taranaki-King Country","North Island general electorates","Male",459
"NZ Superannuation or Veterans Pension","Taranaki-King Country","North Island general electorates","Male",3921
"Other Super., Pensions, Annuities","Taranaki-King Country","North Island general electorates","Male",507
"Unemployment Benefit","Taranaki-King Country","North Island general electorates","Male",546
"Sickness Benefit","Taranaki-King Country","North Island general electorates","Male",549
"Domestic Purposes Benefit","Taranaki-King Country","North Island general electorates","Male",150
"Invalids Benefit","Taranaki-King Country","North Island general electorates","Male",597
"Student Allowance","Taranaki-King Country","North Island general electorates","Male",318
"Other Govt Benefits, Payments or Pension","Taranaki-King Country","North Island general electorates","Male",444
"Other Sources of Income","Taranaki-King Country","North Island general electorates","Male",249
"No Source of Income During That Time(3)","Taranaki-King Country","North Island general electorates","Male",1332
"Not Stated","Taranaki-King Country","North Island general electorates","Male",1815
"Wages, Salary, Commissions, Bonuses etc","Taupo","North Island general electorates","Male",15033
"Self–employment or Business","Taupo","North Island general electorates","Male",5364
"Interest, Dividends, Rent, Other Invest.","Taupo","North Island general electorates","Male",5229
"Payments from a Work Accident Insurer","Taupo","North Island general electorates","Male",426
"NZ Superannuation or Veterans Pension","Taupo","North Island general electorates","Male",5043
"Other Super., Pensions, Annuities","Taupo","North Island general electorates","Male",846
"Unemployment Benefit","Taupo","North Island general electorates","Male",885
"Sickness Benefit","Taupo","North Island general electorates","Male",633
"Domestic Purposes Benefit","Taupo","North Island general electorates","Male",207
"Invalids Benefit","Taupo","North Island general electorates","Male",603
"Student Allowance","Taupo","North Island general electorates","Male",327
"Other Govt Benefits, Payments or Pension","Taupo","North Island general electorates","Male",471
"Other Sources of Income","Taupo","North Island general electorates","Male",243
"No Source of Income During That Time(3)","Taupo","North Island general electorates","Male",1389
"Not Stated","Taupo","North Island general electorates","Male",2091
"Wages, Salary, Commissions, Bonuses etc","Tauranga","North Island general electorates","Male",12267
"Self–employment or Business","Tauranga","North Island general electorates","Male",4497
"Interest, Dividends, Rent, Other Invest.","Tauranga","North Island general electorates","Male",5793
"Payments from a Work Accident Insurer","Tauranga","North Island general electorates","Male",306
"NZ Superannuation or Veterans Pension","Tauranga","North Island general electorates","Male",4929
"Other Super., Pensions, Annuities","Tauranga","North Island general electorates","Male",840
"Unemployment Benefit","Tauranga","North Island general electorates","Male",660
"Sickness Benefit","Tauranga","North Island general electorates","Male",717
"Domestic Purposes Benefit","Tauranga","North Island general electorates","Male",138
"Invalids Benefit","Tauranga","North Island general electorates","Male",546
"Student Allowance","Tauranga","North Island general electorates","Male",483
"Other Govt Benefits, Payments or Pension","Tauranga","North Island general electorates","Male",582
"Other Sources of Income","Tauranga","North Island general electorates","Male",228
"No Source of Income During That Time(3)","Tauranga","North Island general electorates","Male",1203
"Not Stated","Tauranga","North Island general electorates","Male",1455
"Wages, Salary, Commissions, Bonuses etc","Te Atatu","North Island general electorates","Male",13260
"Self–employment or Business","Te Atatu","North Island general electorates","Male",3408
"Interest, Dividends, Rent, Other Invest.","Te Atatu","North Island general electorates","Male",3021
"Payments from a Work Accident Insurer","Te Atatu","North Island general electorates","Male",288
"NZ Superannuation or Veterans Pension","Te Atatu","North Island general electorates","Male",2772
"Other Super., Pensions, Annuities","Te Atatu","North Island general electorates","Male",435
"Unemployment Benefit","Te Atatu","North Island general electorates","Male",882
"Sickness Benefit","Te Atatu","North Island general electorates","Male",894
"Domestic Purposes Benefit","Te Atatu","North Island general electorates","Male",180
"Invalids Benefit","Te Atatu","North Island general electorates","Male",609
"Student Allowance","Te Atatu","North Island general electorates","Male",693
"Other Govt Benefits, Payments or Pension","Te Atatu","North Island general electorates","Male",654
"Other Sources of Income","Te Atatu","North Island general electorates","Male",258
"No Source of Income During That Time(3)","Te Atatu","North Island general electorates","Male",1968
"Not Stated","Te Atatu","North Island general electorates","Male",2193
"Wages, Salary, Commissions, Bonuses etc","Tukituki","North Island general electorates","Male",14484
"Self–employment or Business","Tukituki","North Island general electorates","Male",4764
"Interest, Dividends, Rent, Other Invest.","Tukituki","North Island general electorates","Male",5301
"Payments from a Work Accident Insurer","Tukituki","North Island general electorates","Male",480
"NZ Superannuation or Veterans Pension","Tukituki","North Island general electorates","Male",4452
"Other Super., Pensions, Annuities","Tukituki","North Island general electorates","Male",687
"Unemployment Benefit","Tukituki","North Island general electorates","Male",870
"Sickness Benefit","Tukituki","North Island general electorates","Male",702
"Domestic Purposes Benefit","Tukituki","North Island general electorates","Male",198
"Invalids Benefit","Tukituki","North Island general electorates","Male",795
"Student Allowance","Tukituki","North Island general electorates","Male",405
"Other Govt Benefits, Payments or Pension","Tukituki","North Island general electorates","Male",537
"Other Sources of Income","Tukituki","North Island general electorates","Male",204
"No Source of Income During That Time(3)","Tukituki","North Island general electorates","Male",1458
"Not Stated","Tukituki","North Island general electorates","Male",2526
"Wages, Salary, Commissions, Bonuses etc","Upper Harbour","North Island general electorates","Male",14688
"Self–employment or Business","Upper Harbour","North Island general electorates","Male",4062
"Interest, Dividends, Rent, Other Invest.","Upper Harbour","North Island general electorates","Male",3684
"Payments from a Work Accident Insurer","Upper Harbour","North Island general electorates","Male",273
"NZ Superannuation or Veterans Pension","Upper Harbour","North Island general electorates","Male",2241
"Other Super., Pensions, Annuities","Upper Harbour","North Island general electorates","Male",453
"Unemployment Benefit","Upper Harbour","North Island general electorates","Male",708
"Sickness Benefit","Upper Harbour","North Island general electorates","Male",645
"Domestic Purposes Benefit","Upper Harbour","North Island general electorates","Male",108
"Invalids Benefit","Upper Harbour","North Island general electorates","Male",414
"Student Allowance","Upper Harbour","North Island general electorates","Male",720
"Other Govt Benefits, Payments or Pension","Upper Harbour","North Island general electorates","Male",630
"Other Sources of Income","Upper Harbour","North Island general electorates","Male",285
"No Source of Income During That Time(3)","Upper Harbour","North Island general electorates","Male",1836
"Not Stated","Upper Harbour","North Island general electorates","Male",1932
"Wages, Salary, Commissions, Bonuses etc","Waikato","North Island general electorates","Male",14169
"Self–employment or Business","Waikato","North Island general electorates","Male",6396
"Interest, Dividends, Rent, Other Invest.","Waikato","North Island general electorates","Male",5313
"Payments from a Work Accident Insurer","Waikato","North Island general electorates","Male",456
"NZ Superannuation or Veterans Pension","Waikato","North Island general electorates","Male",4158
"Other Super., Pensions, Annuities","Waikato","North Island general electorates","Male",519
"Unemployment Benefit","Waikato","North Island general electorates","Male",774
"Sickness Benefit","Waikato","North Island general electorates","Male",657
"Domestic Purposes Benefit","Waikato","North Island general electorates","Male",198
"Invalids Benefit","Waikato","North Island general electorates","Male",585
"Student Allowance","Waikato","North Island general electorates","Male",294
"Other Govt Benefits, Payments or Pension","Waikato","North Island general electorates","Male",462
"Other Sources of Income","Waikato","North Island general electorates","Male",216
"No Source of Income During That Time(3)","Waikato","North Island general electorates","Male",1593
"Not Stated","Waikato","North Island general electorates","Male",2466
"Wages, Salary, Commissions, Bonuses etc","Wairarapa","North Island general electorates","Male",13281
"Self–employment or Business","Wairarapa","North Island general electorates","Male",5898
"Interest, Dividends, Rent, Other Invest.","Wairarapa","North Island general electorates","Male",5382
"Payments from a Work Accident Insurer","Wairarapa","North Island general electorates","Male",489
"NZ Superannuation or Veterans Pension","Wairarapa","North Island general electorates","Male",5211
"Other Super., Pensions, Annuities","Wairarapa","North Island general electorates","Male",801
"Unemployment Benefit","Wairarapa","North Island general electorates","Male",882
"Sickness Benefit","Wairarapa","North Island general electorates","Male",621
"Domestic Purposes Benefit","Wairarapa","North Island general electorates","Male",156
"Invalids Benefit","Wairarapa","North Island general electorates","Male",831
"Student Allowance","Wairarapa","North Island general electorates","Male",246
"Other Govt Benefits, Payments or Pension","Wairarapa","North Island general electorates","Male",465
"Other Sources of Income","Wairarapa","North Island general electorates","Male",201
"No Source of Income During That Time(3)","Wairarapa","North Island general electorates","Male",984
"Not Stated","Wairarapa","North Island general electorates","Male",1485
"Wages, Salary, Commissions, Bonuses etc","Wellington Central","North Island general electorates","Male",18234
"Self–employment or Business","Wellington Central","North Island general electorates","Male",4644
"Interest, Dividends, Rent, Other Invest.","Wellington Central","North Island general electorates","Male",7422
"Payments from a Work Accident Insurer","Wellington Central","North Island general electorates","Male",192
"NZ Superannuation or Veterans Pension","Wellington Central","North Island general electorates","Male",1989
"Other Super., Pensions, Annuities","Wellington Central","North Island general electorates","Male",870
"Unemployment Benefit","Wellington Central","North Island general electorates","Male",864
"Sickness Benefit","Wellington Central","North Island general electorates","Male",342
"Domestic Purposes Benefit","Wellington Central","North Island general electorates","Male",42
"Invalids Benefit","Wellington Central","North Island general electorates","Male",321
"Student Allowance","Wellington Central","North Island general electorates","Male",2058
"Other Govt Benefits, Payments or Pension","Wellington Central","North Island general electorates","Male",510
"Other Sources of Income","Wellington Central","North Island general electorates","Male",1134
"No Source of Income During That Time(3)","Wellington Central","North Island general electorates","Male",1284
"Not Stated","Wellington Central","North Island general electorates","Male",1653
"Wages, Salary, Commissions, Bonuses etc","Whanganui","North Island general electorates","Male",13890
"Self–employment or Business","Whanganui","North Island general electorates","Male",4422
"Interest, Dividends, Rent, Other Invest.","Whanganui","North Island general electorates","Male",4725
"Payments from a Work Accident Insurer","Whanganui","North Island general electorates","Male",471
"NZ Superannuation or Veterans Pension","Whanganui","North Island general electorates","Male",4905
"Other Super., Pensions, Annuities","Whanganui","North Island general electorates","Male",747
"Unemployment Benefit","Whanganui","North Island general electorates","Male",1266
"Sickness Benefit","Whanganui","North Island general electorates","Male",693
"Domestic Purposes Benefit","Whanganui","North Island general electorates","Male",234
"Invalids Benefit","Whanganui","North Island general electorates","Male",1047
"Student Allowance","Whanganui","North Island general electorates","Male",324
"Other Govt Benefits, Payments or Pension","Whanganui","North Island general electorates","Male",477
"Other Sources of Income","Whanganui","North Island general electorates","Male",207
"No Source of Income During That Time(3)","Whanganui","North Island general electorates","Male",1359
"Not Stated","Whanganui","North Island general electorates","Male",2310
"Wages, Salary, Commissions, Bonuses etc","Whangarei","North Island general electorates","Male",12738
"Self–employment or Business","Whangarei","North Island general electorates","Male",4950
"Interest, Dividends, Rent, Other Invest.","Whangarei","North Island general electorates","Male",5211
"Payments from a Work Accident Insurer","Whangarei","North Island general electorates","Male",474
"NZ Superannuation or Veterans Pension","Whangarei","North Island general electorates","Male",5271
"Other Super., Pensions, Annuities","Whangarei","North Island general electorates","Male",924
"Unemployment Benefit","Whangarei","North Island general electorates","Male",1173
"Sickness Benefit","Whangarei","North Island general electorates","Male",735
"Domestic Purposes Benefit","Whangarei","North Island general electorates","Male",216
"Invalids Benefit","Whangarei","North Island general electorates","Male",777
"Student Allowance","Whangarei","North Island general electorates","Male",351
"Other Govt Benefits, Payments or Pension","Whangarei","North Island general electorates","Male",546
"Other Sources of Income","Whangarei","North Island general electorates","Male",222
"No Source of Income During That Time(3)","Whangarei","North Island general electorates","Male",1476
"Not Stated","Whangarei","North Island general electorates","Male",2382
"Wages, Salary, Commissions, Bonuses etc","Christchurch Central","South Island general electorates","Male",16791
"Self–employment or Business","Christchurch Central","South Island general electorates","Male",3807
"Interest, Dividends, Rent, Other Invest.","Christchurch Central","South Island general electorates","Male",4776
"Payments from a Work Accident Insurer","Christchurch Central","South Island general electorates","Male",348
"NZ Superannuation or Veterans Pension","Christchurch Central","South Island general electorates","Male",3171
"Other Super., Pensions, Annuities","Christchurch Central","South Island general electorates","Male",666
"Unemployment Benefit","Christchurch Central","South Island general electorates","Male",771
"Sickness Benefit","Christchurch Central","South Island general electorates","Male",720
"Domestic Purposes Benefit","Christchurch Central","South Island general electorates","Male",105
"Invalids Benefit","Christchurch Central","South Island general electorates","Male",912
"Student Allowance","Christchurch Central","South Island general electorates","Male",798
"Other Govt Benefits, Payments or Pension","Christchurch Central","South Island general electorates","Male",555
"Other Sources of Income","Christchurch Central","South Island general electorates","Male",324
"No Source of Income During That Time(3)","Christchurch Central","South Island general electorates","Male",978
"Not Stated","Christchurch Central","South Island general electorates","Male",1938
"Wages, Salary, Commissions, Bonuses etc","Christchurch East","South Island general electorates","Male",15186
"Self–employment or Business","Christchurch East","South Island general electorates","Male",3495
"Interest, Dividends, Rent, Other Invest.","Christchurch East","South Island general electorates","Male",4050
"Payments from a Work Accident Insurer","Christchurch East","South Island general electorates","Male",405
"NZ Superannuation or Veterans Pension","Christchurch East","South Island general electorates","Male",3396
"Other Super., Pensions, Annuities","Christchurch East","South Island general electorates","Male",609
"Unemployment Benefit","Christchurch East","South Island general electorates","Male",699
"Sickness Benefit","Christchurch East","South Island general electorates","Male",720
"Domestic Purposes Benefit","Christchurch East","South Island general electorates","Male",150
"Invalids Benefit","Christchurch East","South Island general electorates","Male",981
"Student Allowance","Christchurch East","South Island general electorates","Male",486
"Other Govt Benefits, Payments or Pension","Christchurch East","South Island general electorates","Male",546
"Other Sources of Income","Christchurch East","South Island general electorates","Male",195
"No Source of Income During That Time(3)","Christchurch East","South Island general electorates","Male",1092
"Not Stated","Christchurch East","South Island general electorates","Male",1851
"Wages, Salary, Commissions, Bonuses etc","Clutha-Southland","South Island general electorates","Male",15351
"Self–employment or Business","Clutha-Southland","South Island general electorates","Male",7122
"Interest, Dividends, Rent, Other Invest.","Clutha-Southland","South Island general electorates","Male",5919
"Payments from a Work Accident Insurer","Clutha-Southland","South Island general electorates","Male",477
"NZ Superannuation or Veterans Pension","Clutha-Southland","South Island general electorates","Male",3795
"Other Super., Pensions, Annuities","Clutha-Southland","South Island general electorates","Male",396
"Unemployment Benefit","Clutha-Southland","South Island general electorates","Male",588
"Sickness Benefit","Clutha-Southland","South Island general electorates","Male",342
"Domestic Purposes Benefit","Clutha-Southland","South Island general electorates","Male",63
"Invalids Benefit","Clutha-Southland","South Island general electorates","Male",333
"Student Allowance","Clutha-Southland","South Island general electorates","Male",195
"Other Govt Benefits, Payments or Pension","Clutha-Southland","South Island general electorates","Male",360
"Other Sources of Income","Clutha-Southland","South Island general electorates","Male",234
"No Source of Income During That Time(3)","Clutha-Southland","South Island general electorates","Male",690
"Not Stated","Clutha-Southland","South Island general electorates","Male",1965
"Wages, Salary, Commissions, Bonuses etc","Dunedin North","South Island general electorates","Male",15021
"Self–employment or Business","Dunedin North","South Island general electorates","Male",3387
"Interest, Dividends, Rent, Other Invest.","Dunedin North","South Island general electorates","Male",4872
"Payments from a Work Accident Insurer","Dunedin North","South Island general electorates","Male",372
"NZ Superannuation or Veterans Pension","Dunedin North","South Island general electorates","Male",2892
"Other Super., Pensions, Annuities","Dunedin North","South Island general electorates","Male",750
"Unemployment Benefit","Dunedin North","South Island general electorates","Male",1137
"Sickness Benefit","Dunedin North","South Island general electorates","Male",657
"Domestic Purposes Benefit","Dunedin North","South Island general electorates","Male",72
"Invalids Benefit","Dunedin North","South Island general electorates","Male",654
"Student Allowance","Dunedin North","South Island general electorates","Male",2631
"Other Govt Benefits, Payments or Pension","Dunedin North","South Island general electorates","Male",696
"Other Sources of Income","Dunedin North","South Island general electorates","Male",996
"No Source of Income During That Time(3)","Dunedin North","South Island general electorates","Male",1554
"Not Stated","Dunedin North","South Island general electorates","Male",1746
"Wages, Salary, Commissions, Bonuses etc","Dunedin South","South Island general electorates","Male",13179
"Self–employment or Business","Dunedin South","South Island general electorates","Male",3639
"Interest, Dividends, Rent, Other Invest.","Dunedin South","South Island general electorates","Male",5133
"Payments from a Work Accident Insurer","Dunedin South","South Island general electorates","Male",420
"NZ Superannuation or Veterans Pension","Dunedin South","South Island general electorates","Male",4410
"Other Super., Pensions, Annuities","Dunedin South","South Island general electorates","Male",918
"Unemployment Benefit","Dunedin South","South Island general electorates","Male",744
"Sickness Benefit","Dunedin South","South Island general electorates","Male",591
"Domestic Purposes Benefit","Dunedin South","South Island general electorates","Male",87
"Invalids Benefit","Dunedin South","South Island general electorates","Male",720
"Student Allowance","Dunedin South","South Island general electorates","Male",465
"Other Govt Benefits, Payments or Pension","Dunedin South","South Island general electorates","Male",501
"Other Sources of Income","Dunedin South","South Island general electorates","Male",267
"No Source of Income During That Time(3)","Dunedin South","South Island general electorates","Male",981
"Not Stated","Dunedin South","South Island general electorates","Male",1227
"Wages, Salary, Commissions, Bonuses etc","Ilam","South Island general electorates","Male",14754
"Self–employment or Business","Ilam","South Island general electorates","Male",4416
"Interest, Dividends, Rent, Other Invest.","Ilam","South Island general electorates","Male",7230
"Payments from a Work Accident Insurer","Ilam","South Island general electorates","Male",258
"NZ Superannuation or Veterans Pension","Ilam","South Island general electorates","Male",3828
"Other Super., Pensions, Annuities","Ilam","South Island general electorates","Male",1059
"Unemployment Benefit","Ilam","South Island general electorates","Male",450
"Sickness Benefit","Ilam","South Island general electorates","Male",336
"Domestic Purposes Benefit","Ilam","South Island general electorates","Male",63
"Invalids Benefit","Ilam","South Island general electorates","Male",456
"Student Allowance","Ilam","South Island general electorates","Male",1305
"Other Govt Benefits, Payments or Pension","Ilam","South Island general electorates","Male",489
"Other Sources of Income","Ilam","South Island general electorates","Male",540
"No Source of Income During That Time(3)","Ilam","South Island general electorates","Male",1515
"Not Stated","Ilam","South Island general electorates","Male",1053
"Wages, Salary, Commissions, Bonuses etc","Invercargill","South Island general electorates","Male",14865
"Self–employment or Business","Invercargill","South Island general electorates","Male",4143
"Interest, Dividends, Rent, Other Invest.","Invercargill","South Island general electorates","Male",4788
"Payments from a Work Accident Insurer","Invercargill","South Island general electorates","Male",501
"NZ Superannuation or Veterans Pension","Invercargill","South Island general electorates","Male",3948
"Other Super., Pensions, Annuities","Invercargill","South Island general electorates","Male",486
"Unemployment Benefit","Invercargill","South Island general electorates","Male",1212
"Sickness Benefit","Invercargill","South Island general electorates","Male",435
"Domestic Purposes Benefit","Invercargill","South Island general electorates","Male",102
"Invalids Benefit","Invercargill","South Island general electorates","Male",603
"Student Allowance","Invercargill","South Island general electorates","Male",426
"Other Govt Benefits, Payments or Pension","Invercargill","South Island general electorates","Male",411
"Other Sources of Income","Invercargill","South Island general electorates","Male",198
"No Source of Income During That Time(3)","Invercargill","South Island general electorates","Male",1011
"Not Stated","Invercargill","South Island general electorates","Male",1428
"Wages, Salary, Commissions, Bonuses etc","Kaikoura","South Island general electorates","Male",13530
"Self–employment or Business","Kaikoura","South Island general electorates","Male",6210
"Interest, Dividends, Rent, Other Invest.","Kaikoura","South Island general electorates","Male",5967
"Payments from a Work Accident Insurer","Kaikoura","South Island general electorates","Male",477
"NZ Superannuation or Veterans Pension","Kaikoura","South Island general electorates","Male",5184
"Other Super., Pensions, Annuities","Kaikoura","South Island general electorates","Male",987
"Unemployment Benefit","Kaikoura","South Island general electorates","Male",339
