"level0","level1","level2","Number of children born alive","count"
"25–29 Years","Port Hills","South Island general electorates","No Children",915
"30–34 Years","Port Hills","South Island general electorates","No Children",699
"35–39 Years","Port Hills","South Island general electorates","No Children",504
"40–44 Years","Port Hills","South Island general electorates","No Children",486
"45–49 Years","Port Hills","South Island general electorates","No Children",483
"50–54 Years","Port Hills","South Island general electorates","No Children",435
"55–59 Years","Port Hills","South Island general electorates","No Children",348
"60–64 Years","Port Hills","South Island general electorates","No Children",237
"65–69 Years","Port Hills","South Island general electorates","No Children",165
"70–74 Years","Port Hills","South Island general electorates","No Children",126
"75–79 Years","Port Hills","South Island general electorates","No Children",78
"80–84 Years","Port Hills","South Island general electorates","No Children",69
"85 Years And Over","Port Hills","South Island general electorates","No Children",96
"15–19 Years","Rangitata","South Island general electorates","No Children",1623
"20–24 Years","Rangitata","South Island general electorates","No Children",1065
"25–29 Years","Rangitata","South Island general electorates","No Children",753
"30–34 Years","Rangitata","South Island general electorates","No Children",423
"35–39 Years","Rangitata","South Island general electorates","No Children",318
"40–44 Years","Rangitata","South Island general electorates","No Children",249
"45–49 Years","Rangitata","South Island general electorates","No Children",270
"50–54 Years","Rangitata","South Island general electorates","No Children",261
"55–59 Years","Rangitata","South Island general electorates","No Children",180
"60–64 Years","Rangitata","South Island general electorates","No Children",156
"65–69 Years","Rangitata","South Island general electorates","No Children",132
"70–74 Years","Rangitata","South Island general electorates","No Children",111
"75–79 Years","Rangitata","South Island general electorates","No Children",90
"80–84 Years","Rangitata","South Island general electorates","No Children",87
"85 Years And Over","Rangitata","South Island general electorates","No Children",96
"15–19 Years","Selwyn","South Island general electorates","No Children",1779
"20–24 Years","Selwyn","South Island general electorates","No Children",1083
"25–29 Years","Selwyn","South Island general electorates","No Children",702
"30–34 Years","Selwyn","South Island general electorates","No Children",468
"35–39 Years","Selwyn","South Island general electorates","No Children",339
"40–44 Years","Selwyn","South Island general electorates","No Children",354
"45–49 Years","Selwyn","South Island general electorates","No Children",333
"50–54 Years","Selwyn","South Island general electorates","No Children",300
"55–59 Years","Selwyn","South Island general electorates","No Children",219
"60–64 Years","Selwyn","South Island general electorates","No Children",168
"65–69 Years","Selwyn","South Island general electorates","No Children",96
"70–74 Years","Selwyn","South Island general electorates","No Children",54
"75–79 Years","Selwyn","South Island general electorates","No Children",33
"80–84 Years","Selwyn","South Island general electorates","No Children",27
"85 Years And Over","Selwyn","South Island general electorates","No Children",24
"15–19 Years","Waimakariri","South Island general electorates","No Children",1728
"20–24 Years","Waimakariri","South Island general electorates","No Children",936
"25–29 Years","Waimakariri","South Island general electorates","No Children",609
"30–34 Years","Waimakariri","South Island general electorates","No Children",363
"35–39 Years","Waimakariri","South Island general electorates","No Children",300
"40–44 Years","Waimakariri","South Island general electorates","No Children",303
"45–49 Years","Waimakariri","South Island general electorates","No Children",342
"50–54 Years","Waimakariri","South Island general electorates","No Children",291
"55–59 Years","Waimakariri","South Island general electorates","No Children",222
"60–64 Years","Waimakariri","South Island general electorates","No Children",159
"65–69 Years","Waimakariri","South Island general electorates","No Children",114
"70–74 Years","Waimakariri","South Island general electorates","No Children",81
"75–79 Years","Waimakariri","South Island general electorates","No Children",60
"80–84 Years","Waimakariri","South Island general electorates","No Children",42
"85 Years And Over","Waimakariri","South Island general electorates","No Children",42
"15–19 Years","Waitaki","South Island general electorates","No Children",1308
"20–24 Years","Waitaki","South Island general electorates","No Children",834
"25–29 Years","Waitaki","South Island general electorates","No Children",669
"30–34 Years","Waitaki","South Island general electorates","No Children",489
"35–39 Years","Waitaki","South Island general electorates","No Children",324
"40–44 Years","Waitaki","South Island general electorates","No Children",318
"45–49 Years","Waitaki","South Island general electorates","No Children",345
"50–54 Years","Waitaki","South Island general electorates","No Children",312
"55–59 Years","Waitaki","South Island general electorates","No Children",276
"60–64 Years","Waitaki","South Island general electorates","No Children",174
"65–69 Years","Waitaki","South Island general electorates","No Children",126
"70–74 Years","Waitaki","South Island general electorates","No Children",108
"75–79 Years","Waitaki","South Island general electorates","No Children",81
"80–84 Years","Waitaki","South Island general electorates","No Children",69
"85 Years And Over","Waitaki","South Island general electorates","No Children",72
"15–19 Years","West Coast-Tasman","South Island general electorates","No Children",1383
"20–24 Years","West Coast-Tasman","South Island general electorates","No Children",846
"25–29 Years","West Coast-Tasman","South Island general electorates","No Children",600
"30–34 Years","West Coast-Tasman","South Island general electorates","No Children",438
"35–39 Years","West Coast-Tasman","South Island general electorates","No Children",303
"40–44 Years","West Coast-Tasman","South Island general electorates","No Children",345
"45–49 Years","West Coast-Tasman","South Island general electorates","No Children",375
"50–54 Years","West Coast-Tasman","South Island general electorates","No Children",369
"55–59 Years","West Coast-Tasman","South Island general electorates","No Children",282
"60–64 Years","West Coast-Tasman","South Island general electorates","No Children",213
"65–69 Years","West Coast-Tasman","South Island general electorates","No Children",150
"70–74 Years","West Coast-Tasman","South Island general electorates","No Children",99
"75–79 Years","West Coast-Tasman","South Island general electorates","No Children",57
"80–84 Years","West Coast-Tasman","South Island general electorates","No Children",42
"85 Years And Over","West Coast-Tasman","South Island general electorates","No Children",48
"15–19 Years","Wigram","South Island general electorates","No Children",1713
"20–24 Years","Wigram","South Island general electorates","No Children",2415
"25–29 Years","Wigram","South Island general electorates","No Children",1437
"30–34 Years","Wigram","South Island general electorates","No Children",849
"35–39 Years","Wigram","South Island general electorates","No Children",492
"40–44 Years","Wigram","South Island general electorates","No Children",405
"45–49 Years","Wigram","South Island general electorates","No Children",306
"50–54 Years","Wigram","South Island general electorates","No Children",285
"55–59 Years","Wigram","South Island general electorates","No Children",228
"60–64 Years","Wigram","South Island general electorates","No Children",138
"65–69 Years","Wigram","South Island general electorates","No Children",123
"70–74 Years","Wigram","South Island general electorates","No Children",78
"75–79 Years","Wigram","South Island general electorates","No Children",57
"80–84 Years","Wigram","South Island general electorates","No Children",63
"85 Years And Over","Wigram","South Island general electorates","No Children",72
"15–19 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"20–24 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"25–29 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"30–34 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"35–39 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"40–44 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"45–49 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"50–54 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"55–59 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"60–64 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"65–69 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"70–74 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"75–79 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"80–84 Years","Area Outside General Electorate","South Island general electorates","No Children",NA
"85 Years And Over","Area Outside General Electorate","South Island general electorates","No Children",NA
"15–19 Years","Auckland Central","North Island general electorates","One Child",12
"20–24 Years","Auckland Central","North Island general electorates","One Child",69
"25–29 Years","Auckland Central","North Island general electorates","One Child",255
"30–34 Years","Auckland Central","North Island general electorates","One Child",426
"35–39 Years","Auckland Central","North Island general electorates","One Child",366
"40–44 Years","Auckland Central","North Island general electorates","One Child",303
"45–49 Years","Auckland Central","North Island general electorates","One Child",252
"50–54 Years","Auckland Central","North Island general electorates","One Child",252
"55–59 Years","Auckland Central","North Island general electorates","One Child",234
"60–64 Years","Auckland Central","North Island general electorates","One Child",168
"65–69 Years","Auckland Central","North Island general electorates","One Child",102
"70–74 Years","Auckland Central","North Island general electorates","One Child",42
"75–79 Years","Auckland Central","North Island general electorates","One Child",18
"80–84 Years","Auckland Central","North Island general electorates","One Child",15
"85 Years And Over","Auckland Central","North Island general electorates","One Child",12
"15–19 Years","Bay of Plenty","North Island general electorates","One Child",51
"20–24 Years","Bay of Plenty","North Island general electorates","One Child",258
"25–29 Years","Bay of Plenty","North Island general electorates","One Child",333
"30–34 Years","Bay of Plenty","North Island general electorates","One Child",348
"35–39 Years","Bay of Plenty","North Island general electorates","One Child",339
"40–44 Years","Bay of Plenty","North Island general electorates","One Child",351
"45–49 Years","Bay of Plenty","North Island general electorates","One Child",312
"50–54 Years","Bay of Plenty","North Island general electorates","One Child",249
"55–59 Years","Bay of Plenty","North Island general electorates","One Child",183
"60–64 Years","Bay of Plenty","North Island general electorates","One Child",186
"65–69 Years","Bay of Plenty","North Island general electorates","One Child",117
"70–74 Years","Bay of Plenty","North Island general electorates","One Child",99
"75–79 Years","Bay of Plenty","North Island general electorates","One Child",54
"80–84 Years","Bay of Plenty","North Island general electorates","One Child",36
"85 Years And Over","Bay of Plenty","North Island general electorates","One Child",42
"15–19 Years","Botany","North Island general electorates","One Child",30
"20–24 Years","Botany","North Island general electorates","One Child",168
"25–29 Years","Botany","North Island general electorates","One Child",387
"30–34 Years","Botany","North Island general electorates","One Child",624
"35–39 Years","Botany","North Island general electorates","One Child",432
"40–44 Years","Botany","North Island general electorates","One Child",468
"45–49 Years","Botany","North Island general electorates","One Child",420
"50–54 Years","Botany","North Island general electorates","One Child",336
"55–59 Years","Botany","North Island general electorates","One Child",348
"60–64 Years","Botany","North Island general electorates","One Child",198
"65–69 Years","Botany","North Island general electorates","One Child",93
"70–74 Years","Botany","North Island general electorates","One Child",45
"75–79 Years","Botany","North Island general electorates","One Child",39
"80–84 Years","Botany","North Island general electorates","One Child",30
"85 Years And Over","Botany","North Island general electorates","One Child",33
"15–19 Years","Coromandel","North Island general electorates","One Child",45
"20–24 Years","Coromandel","North Island general electorates","One Child",234
"25–29 Years","Coromandel","North Island general electorates","One Child",291
"30–34 Years","Coromandel","North Island general electorates","One Child",240
"35–39 Years","Coromandel","North Island general electorates","One Child",234
"40–44 Years","Coromandel","North Island general electorates","One Child",255
"45–49 Years","Coromandel","North Island general electorates","One Child",258
"50–54 Years","Coromandel","North Island general electorates","One Child",264
"55–59 Years","Coromandel","North Island general electorates","One Child",222
"60–64 Years","Coromandel","North Island general electorates","One Child",234
"65–69 Years","Coromandel","North Island general electorates","One Child",168
"70–74 Years","Coromandel","North Island general electorates","One Child",114
"75–79 Years","Coromandel","North Island general electorates","One Child",42
"80–84 Years","Coromandel","North Island general electorates","One Child",48
"85 Years And Over","Coromandel","North Island general electorates","One Child",60
"15–19 Years","East Coast","North Island general electorates","One Child",159
"20–24 Years","East Coast","North Island general electorates","One Child",570
"25–29 Years","East Coast","North Island general electorates","One Child",519
"30–34 Years","East Coast","North Island general electorates","One Child",432
"35–39 Years","East Coast","North Island general electorates","One Child",336
"40–44 Years","East Coast","North Island general electorates","One Child",321
"45–49 Years","East Coast","North Island general electorates","One Child",330
"50–54 Years","East Coast","North Island general electorates","One Child",324
"55–59 Years","East Coast","North Island general electorates","One Child",234
"60–64 Years","East Coast","North Island general electorates","One Child",189
"65–69 Years","East Coast","North Island general electorates","One Child",162
"70–74 Years","East Coast","North Island general electorates","One Child",81
"75–79 Years","East Coast","North Island general electorates","One Child",45
"80–84 Years","East Coast","North Island general electorates","One Child",45
"85 Years And Over","East Coast","North Island general electorates","One Child",54
"15–19 Years","East Coast Bays","North Island general electorates","One Child",18
"20–24 Years","East Coast Bays","North Island general electorates","One Child",96
"25–29 Years","East Coast Bays","North Island general electorates","One Child",309
"30–34 Years","East Coast Bays","North Island general electorates","One Child",495
"35–39 Years","East Coast Bays","North Island general electorates","One Child",414
"40–44 Years","East Coast Bays","North Island general electorates","One Child",489
"45–49 Years","East Coast Bays","North Island general electorates","One Child",390
"50–54 Years","East Coast Bays","North Island general electorates","One Child",327
"55–59 Years","East Coast Bays","North Island general electorates","One Child",288
"60–64 Years","East Coast Bays","North Island general electorates","One Child",183
"65–69 Years","East Coast Bays","North Island general electorates","One Child",108
"70–74 Years","East Coast Bays","North Island general electorates","One Child",66
"75–79 Years","East Coast Bays","North Island general electorates","One Child",51
"80–84 Years","East Coast Bays","North Island general electorates","One Child",33
"85 Years And Over","East Coast Bays","North Island general electorates","One Child",54
"15–19 Years","Epsom","North Island general electorates","One Child",6
"20–24 Years","Epsom","North Island general electorates","One Child",33
"25–29 Years","Epsom","North Island general electorates","One Child",129
"30–34 Years","Epsom","North Island general electorates","One Child",351
"35–39 Years","Epsom","North Island general electorates","One Child",351
"40–44 Years","Epsom","North Island general electorates","One Child",501
"45–49 Years","Epsom","North Island general electorates","One Child",456
"50–54 Years","Epsom","North Island general electorates","One Child",351
"55–59 Years","Epsom","North Island general electorates","One Child",252
"60–64 Years","Epsom","North Island general electorates","One Child",201
"65–69 Years","Epsom","North Island general electorates","One Child",132
"70–74 Years","Epsom","North Island general electorates","One Child",60
"75–79 Years","Epsom","North Island general electorates","One Child",45
"80–84 Years","Epsom","North Island general electorates","One Child",33
"85 Years And Over","Epsom","North Island general electorates","One Child",51
"15–19 Years","Hamilton East","North Island general electorates","One Child",63
"20–24 Years","Hamilton East","North Island general electorates","One Child",300
"25–29 Years","Hamilton East","North Island general electorates","One Child",429
"30–34 Years","Hamilton East","North Island general electorates","One Child",489
"35–39 Years","Hamilton East","North Island general electorates","One Child",390
"40–44 Years","Hamilton East","North Island general electorates","One Child",366
"45–49 Years","Hamilton East","North Island general electorates","One Child",300
"50–54 Years","Hamilton East","North Island general electorates","One Child",234
"55–59 Years","Hamilton East","North Island general electorates","One Child",204
"60–64 Years","Hamilton East","North Island general electorates","One Child",156
"65–69 Years","Hamilton East","North Island general electorates","One Child",93
"70–74 Years","Hamilton East","North Island general electorates","One Child",63
"75–79 Years","Hamilton East","North Island general electorates","One Child",48
"80–84 Years","Hamilton East","North Island general electorates","One Child",36
"85 Years And Over","Hamilton East","North Island general electorates","One Child",60
"15–19 Years","Hamilton West","North Island general electorates","One Child",105
"20–24 Years","Hamilton West","North Island general electorates","One Child",471
"25–29 Years","Hamilton West","North Island general electorates","One Child",657
"30–34 Years","Hamilton West","North Island general electorates","One Child",576
"35–39 Years","Hamilton West","North Island general electorates","One Child",396
"40–44 Years","Hamilton West","North Island general electorates","One Child",357
"45–49 Years","Hamilton West","North Island general electorates","One Child",300
"50–54 Years","Hamilton West","North Island general electorates","One Child",234
"55–59 Years","Hamilton West","North Island general electorates","One Child",174
"60–64 Years","Hamilton West","North Island general electorates","One Child",150
"65–69 Years","Hamilton West","North Island general electorates","One Child",72
"70–74 Years","Hamilton West","North Island general electorates","One Child",39
"75–79 Years","Hamilton West","North Island general electorates","One Child",36
"80–84 Years","Hamilton West","North Island general electorates","One Child",33
"85 Years And Over","Hamilton West","North Island general electorates","One Child",27
"15–19 Years","Helensville","North Island general electorates","One Child",18
"20–24 Years","Helensville","North Island general electorates","One Child",147
"25–29 Years","Helensville","North Island general electorates","One Child",252
"30–34 Years","Helensville","North Island general electorates","One Child",333
"35–39 Years","Helensville","North Island general electorates","One Child",351
"40–44 Years","Helensville","North Island general electorates","One Child",450
"45–49 Years","Helensville","North Island general electorates","One Child",372
"50–54 Years","Helensville","North Island general electorates","One Child",306
"55–59 Years","Helensville","North Island general electorates","One Child",213
"60–64 Years","Helensville","North Island general electorates","One Child",135
"65–69 Years","Helensville","North Island general electorates","One Child",114
"70–74 Years","Helensville","North Island general electorates","One Child",48
"75–79 Years","Helensville","North Island general electorates","One Child",27
"80–84 Years","Helensville","North Island general electorates","One Child",15
"85 Years And Over","Helensville","North Island general electorates","One Child",33
"15–19 Years","Hunua","North Island general electorates","One Child",48
"20–24 Years","Hunua","North Island general electorates","One Child",201
"25–29 Years","Hunua","North Island general electorates","One Child",303
"30–34 Years","Hunua","North Island general electorates","One Child",420
"35–39 Years","Hunua","North Island general electorates","One Child",345
"40–44 Years","Hunua","North Island general electorates","One Child",363
"45–49 Years","Hunua","North Island general electorates","One Child",309
"50–54 Years","Hunua","North Island general electorates","One Child",258
"55–59 Years","Hunua","North Island general electorates","One Child",195
"60–64 Years","Hunua","North Island general electorates","One Child",174
"65–69 Years","Hunua","North Island general electorates","One Child",108
"70–74 Years","Hunua","North Island general electorates","One Child",63
"75–79 Years","Hunua","North Island general electorates","One Child",33
"80–84 Years","Hunua","North Island general electorates","One Child",24
"85 Years And Over","Hunua","North Island general electorates","One Child",39
"15–19 Years","Hutt South","North Island general electorates","One Child",51
"20–24 Years","Hutt South","North Island general electorates","One Child",285
"25–29 Years","Hutt South","North Island general electorates","One Child",411
"30–34 Years","Hutt South","North Island general electorates","One Child",516
"35–39 Years","Hutt South","North Island general electorates","One Child",480
"40–44 Years","Hutt South","North Island general electorates","One Child",438
"45–49 Years","Hutt South","North Island general electorates","One Child",360
"50–54 Years","Hutt South","North Island general electorates","One Child",315
"55–59 Years","Hutt South","North Island general electorates","One Child",228
"60–64 Years","Hutt South","North Island general electorates","One Child",153
"65–69 Years","Hutt South","North Island general electorates","One Child",99
"70–74 Years","Hutt South","North Island general electorates","One Child",60
"75–79 Years","Hutt South","North Island general electorates","One Child",51
"80–84 Years","Hutt South","North Island general electorates","One Child",36
"85 Years And Over","Hutt South","North Island general electorates","One Child",36
"15–19 Years","Kelston","North Island general electorates","One Child",75
"20–24 Years","Kelston","North Island general electorates","One Child",336
"25–29 Years","Kelston","North Island general electorates","One Child",498
"30–34 Years","Kelston","North Island general electorates","One Child",633
"35–39 Years","Kelston","North Island general electorates","One Child",486
"40–44 Years","Kelston","North Island general electorates","One Child",417
"45–49 Years","Kelston","North Island general electorates","One Child",336
"50–54 Years","Kelston","North Island general electorates","One Child",297
"55–59 Years","Kelston","North Island general electorates","One Child",237
"60–64 Years","Kelston","North Island general electorates","One Child",147
"65–69 Years","Kelston","North Island general electorates","One Child",96
"70–74 Years","Kelston","North Island general electorates","One Child",51
"75–79 Years","Kelston","North Island general electorates","One Child",36
"80–84 Years","Kelston","North Island general electorates","One Child",27
"85 Years And Over","Kelston","North Island general electorates","One Child",36
"15–19 Years","Mana","North Island general electorates","One Child",69
"20–24 Years","Mana","North Island general electorates","One Child",351
"25–29 Years","Mana","North Island general electorates","One Child",390
"30–34 Years","Mana","North Island general electorates","One Child",504
"35–39 Years","Mana","North Island general electorates","One Child",417
"40–44 Years","Mana","North Island general electorates","One Child",405
"45–49 Years","Mana","North Island general electorates","One Child",324
"50–54 Years","Mana","North Island general electorates","One Child",282
"55–59 Years","Mana","North Island general electorates","One Child",210
"60–64 Years","Mana","North Island general electorates","One Child",186
"65–69 Years","Mana","North Island general electorates","One Child",81
"70–74 Years","Mana","North Island general electorates","One Child",51
"75–79 Years","Mana","North Island general electorates","One Child",36
"80–84 Years","Mana","North Island general electorates","One Child",36
"85 Years And Over","Mana","North Island general electorates","One Child",42
"15–19 Years","Mangere","North Island general electorates","One Child",120
"20–24 Years","Mangere","North Island general electorates","One Child",465
"25–29 Years","Mangere","North Island general electorates","One Child",492
"30–34 Years","Mangere","North Island general electorates","One Child",414
"35–39 Years","Mangere","North Island general electorates","One Child",294
"40–44 Years","Mangere","North Island general electorates","One Child",228
"45–49 Years","Mangere","North Island general electorates","One Child",201
"50–54 Years","Mangere","North Island general electorates","One Child",138
"55–59 Years","Mangere","North Island general electorates","One Child",114
"60–64 Years","Mangere","North Island general electorates","One Child",84
"65–69 Years","Mangere","North Island general electorates","One Child",60
"70–74 Years","Mangere","North Island general electorates","One Child",39
"75–79 Years","Mangere","North Island general electorates","One Child",21
"80–84 Years","Mangere","North Island general electorates","One Child",18
"85 Years And Over","Mangere","North Island general electorates","One Child",15
"15–19 Years","Manukau East","North Island general electorates","One Child",93
"20–24 Years","Manukau East","North Island general electorates","One Child",456
"25–29 Years","Manukau East","North Island general electorates","One Child",594
"30–34 Years","Manukau East","North Island general electorates","One Child",507
"35–39 Years","Manukau East","North Island general electorates","One Child",357
"40–44 Years","Manukau East","North Island general electorates","One Child",276
"45–49 Years","Manukau East","North Island general electorates","One Child",249
"50–54 Years","Manukau East","North Island general electorates","One Child",180
"55–59 Years","Manukau East","North Island general electorates","One Child",159
"60–64 Years","Manukau East","North Island general electorates","One Child",78
"65–69 Years","Manukau East","North Island general electorates","One Child",66
"70–74 Years","Manukau East","North Island general electorates","One Child",42
"75–79 Years","Manukau East","North Island general electorates","One Child",24
"80–84 Years","Manukau East","North Island general electorates","One Child",21
"85 Years And Over","Manukau East","North Island general electorates","One Child",24
"15–19 Years","Manurewa","North Island general electorates","One Child",138
"20–24 Years","Manurewa","North Island general electorates","One Child",504
"25–29 Years","Manurewa","North Island general electorates","One Child",612
"30–34 Years","Manurewa","North Island general electorates","One Child",528
"35–39 Years","Manurewa","North Island general electorates","One Child",348
"40–44 Years","Manurewa","North Island general electorates","One Child",267
"45–49 Years","Manurewa","North Island general electorates","One Child",231
"50–54 Years","Manurewa","North Island general electorates","One Child",219
"55–59 Years","Manurewa","North Island general electorates","One Child",174
"60–64 Years","Manurewa","North Island general electorates","One Child",105
"65–69 Years","Manurewa","North Island general electorates","One Child",54
"70–74 Years","Manurewa","North Island general electorates","One Child",45
"75–79 Years","Manurewa","North Island general electorates","One Child",18
"80–84 Years","Manurewa","North Island general electorates","One Child",21
"85 Years And Over","Manurewa","North Island general electorates","One Child",18
"15–19 Years","Maungakiekie","North Island general electorates","One Child",48
"20–24 Years","Maungakiekie","North Island general electorates","One Child",282
"25–29 Years","Maungakiekie","North Island general electorates","One Child",444
"30–34 Years","Maungakiekie","North Island general electorates","One Child",801
"35–39 Years","Maungakiekie","North Island general electorates","One Child",603
"40–44 Years","Maungakiekie","North Island general electorates","One Child",423
"45–49 Years","Maungakiekie","North Island general electorates","One Child",375
"50–54 Years","Maungakiekie","North Island general electorates","One Child",309
"55–59 Years","Maungakiekie","North Island general electorates","One Child",297
"60–64 Years","Maungakiekie","North Island general electorates","One Child",201
"65–69 Years","Maungakiekie","North Island general electorates","One Child",114
"70–74 Years","Maungakiekie","North Island general electorates","One Child",69
"75–79 Years","Maungakiekie","North Island general electorates","One Child",36
"80–84 Years","Maungakiekie","North Island general electorates","One Child",24
"85 Years And Over","Maungakiekie","North Island general electorates","One Child",45
"15–19 Years","Mt Albert","North Island general electorates","One Child",18
"20–24 Years","Mt Albert","North Island general electorates","One Child",108
"25–29 Years","Mt Albert","North Island general electorates","One Child",291
"30–34 Years","Mt Albert","North Island general electorates","One Child",642
"35–39 Years","Mt Albert","North Island general electorates","One Child",585
"40–44 Years","Mt Albert","North Island general electorates","One Child",498
"45–49 Years","Mt Albert","North Island general electorates","One Child",411
"50–54 Years","Mt Albert","North Island general electorates","One Child",336
"55–59 Years","Mt Albert","North Island general electorates","One Child",270
"60–64 Years","Mt Albert","North Island general electorates","One Child",180
"65–69 Years","Mt Albert","North Island general electorates","One Child",96
"70–74 Years","Mt Albert","North Island general electorates","One Child",51
"75–79 Years","Mt Albert","North Island general electorates","One Child",36
"80–84 Years","Mt Albert","North Island general electorates","One Child",33
"85 Years And Over","Mt Albert","North Island general electorates","One Child",39
"15–19 Years","Mt Roskill","North Island general electorates","One Child",33
"20–24 Years","Mt Roskill","North Island general electorates","One Child",171
"25–29 Years","Mt Roskill","North Island general electorates","One Child",336
"30–34 Years","Mt Roskill","North Island general electorates","One Child",513
"35–39 Years","Mt Roskill","North Island general electorates","One Child",456
"40–44 Years","Mt Roskill","North Island general electorates","One Child",408
"45–49 Years","Mt Roskill","North Island general electorates","One Child",432
"50–54 Years","Mt Roskill","North Island general electorates","One Child",345
"55–59 Years","Mt Roskill","North Island general electorates","One Child",267
"60–64 Years","Mt Roskill","North Island general electorates","One Child",204
"65–69 Years","Mt Roskill","North Island general electorates","One Child",102
"70–74 Years","Mt Roskill","North Island general electorates","One Child",69
"75–79 Years","Mt Roskill","North Island general electorates","One Child",48
"80–84 Years","Mt Roskill","North Island general electorates","One Child",42
"85 Years And Over","Mt Roskill","North Island general electorates","One Child",54
"15–19 Years","Napier","North Island general electorates","One Child",81
"20–24 Years","Napier","North Island general electorates","One Child",363
"25–29 Years","Napier","North Island general electorates","One Child",363
"30–34 Years","Napier","North Island general electorates","One Child",348
"35–39 Years","Napier","North Island general electorates","One Child",321
"40–44 Years","Napier","North Island general electorates","One Child",324
"45–49 Years","Napier","North Island general electorates","One Child",315
"50–54 Years","Napier","North Island general electorates","One Child",312
"55–59 Years","Napier","North Island general electorates","One Child",216
"60–64 Years","Napier","North Island general electorates","One Child",198
"65–69 Years","Napier","North Island general electorates","One Child",123
"70–74 Years","Napier","North Island general electorates","One Child",81
"75–79 Years","Napier","North Island general electorates","One Child",51
"80–84 Years","Napier","North Island general electorates","One Child",57
"85 Years And Over","Napier","North Island general electorates","One Child",87
"15–19 Years","New Lynn","North Island general electorates","One Child",24
"20–24 Years","New Lynn","North Island general electorates","One Child",204
"25–29 Years","New Lynn","North Island general electorates","One Child",414
"30–34 Years","New Lynn","North Island general electorates","One Child",633
"35–39 Years","New Lynn","North Island general electorates","One Child",465
"40–44 Years","New Lynn","North Island general electorates","One Child",438
"45–49 Years","New Lynn","North Island general electorates","One Child",408
"50–54 Years","New Lynn","North Island general electorates","One Child",351
"55–59 Years","New Lynn","North Island general electorates","One Child",282
"60–64 Years","New Lynn","North Island general electorates","One Child",198
"65–69 Years","New Lynn","North Island general electorates","One Child",114
"70–74 Years","New Lynn","North Island general electorates","One Child",78
"75–79 Years","New Lynn","North Island general electorates","One Child",72
"80–84 Years","New Lynn","North Island general electorates","One Child",51
"85 Years And Over","New Lynn","North Island general electorates","One Child",63
"15–19 Years","New Plymouth","North Island general electorates","One Child",57
"20–24 Years","New Plymouth","North Island general electorates","One Child",282
"25–29 Years","New Plymouth","North Island general electorates","One Child",420
"30–34 Years","New Plymouth","North Island general electorates","One Child",420
"35–39 Years","New Plymouth","North Island general electorates","One Child",333
"40–44 Years","New Plymouth","North Island general electorates","One Child",351
"45–49 Years","New Plymouth","North Island general electorates","One Child",258
"50–54 Years","New Plymouth","North Island general electorates","One Child",237
"55–59 Years","New Plymouth","North Island general electorates","One Child",204
"60–64 Years","New Plymouth","North Island general electorates","One Child",138
"65–69 Years","New Plymouth","North Island general electorates","One Child",102
"70–74 Years","New Plymouth","North Island general electorates","One Child",63
"75–79 Years","New Plymouth","North Island general electorates","One Child",51
"80–84 Years","New Plymouth","North Island general electorates","One Child",54
"85 Years And Over","New Plymouth","North Island general electorates","One Child",63
"15–19 Years","North Shore","North Island general electorates","One Child",9
"20–24 Years","North Shore","North Island general electorates","One Child",87
"25–29 Years","North Shore","North Island general electorates","One Child",237
"30–34 Years","North Shore","North Island general electorates","One Child",468
"35–39 Years","North Shore","North Island general electorates","One Child",453
"40–44 Years","North Shore","North Island general electorates","One Child",462
"45–49 Years","North Shore","North Island general electorates","One Child",441
"50–54 Years","North Shore","North Island general electorates","One Child",396
"55–59 Years","North Shore","North Island general electorates","One Child",297
"60–64 Years","North Shore","North Island general electorates","One Child",207
"65–69 Years","North Shore","North Island general electorates","One Child",159
"70–74 Years","North Shore","North Island general electorates","One Child",87
"75–79 Years","North Shore","North Island general electorates","One Child",66
"80–84 Years","North Shore","North Island general electorates","One Child",60
"85 Years And Over","North Shore","North Island general electorates","One Child",93
"15–19 Years","Northcote","North Island general electorates","One Child",21
"20–24 Years","Northcote","North Island general electorates","One Child",147
"25–29 Years","Northcote","North Island general electorates","One Child",369
"30–34 Years","Northcote","North Island general electorates","One Child",681
"35–39 Years","Northcote","North Island general electorates","One Child",558
"40–44 Years","Northcote","North Island general electorates","One Child",480
"45–49 Years","Northcote","North Island general electorates","One Child",414
"50–54 Years","Northcote","North Island general electorates","One Child",339
"55–59 Years","Northcote","North Island general electorates","One Child",288
"60–64 Years","Northcote","North Island general electorates","One Child",192
"65–69 Years","Northcote","North Island general electorates","One Child",141
"70–74 Years","Northcote","North Island general electorates","One Child",78
"75–79 Years","Northcote","North Island general electorates","One Child",45
"80–84 Years","Northcote","North Island general electorates","One Child",30
